Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.06.,Ferrari G.,2,,,,,,"['3', '3', '5', '3']","['1', '0']","['1', '0', '4', '1']",[],[],1.50
18.09.2024,Hasson J.,1,,,,,,"['2', '0', '4', '0', '6', '2']",[],[],[],[],1.65
31.07.2024,Speziali F.,2,,,,,,"['3', '2', '6', '3']",[],"['1', '1', '3', '1', '5', '1']",[],[],2.05
31.07.2024,Baroni N.,1,,,,,,[],"['2', '1']","['1', '0']",[],[],1.70
30.07.2024,Baroni N.,2,,,,,,"['2', '1', '6', '3']","['4', '4', '6', '4']",[],[],[],1.22
30.07.2024,Tresca G.,0,,,,,,[],"['1', '0']",[],[],[],3.96
23.07.2024,Ambrogi L. E.,2,,,,,,"['5', '3']","['3', '2', '6', '3']",[],[],[],1.63
23.07.2024,Baroni N.,0,,,,,,[],[],[],[],[],2.18
26.06.2024,Pecci A.,2,,,,,,"['4', '2']","['1', '0', '4', '1']",[],[],[],1.83
26.06.2024,Baroni N.,0,,,,,,[],[],[],[],[],1.89
19.06.2024,Lopez Montagud C.,2,,,,,,"['2', '0']",[],"['4', '4', '7', '5']",[],[],1.59
19.06.2024,Baroni N.,1,,,,,,[],"['2', '0', '4', '0']","['4', '3']",[],[],2.26
17.06.2024,Baroni N.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['3', '2', '5', '2']",[],[],[],1.13
17.06.2024,Pampanin P.,0,,,,,,[],[],[],[],[],5.40
26.05.2024,Pecci A.,2,,,,,,"['2', '0']","['5', '4']",[],[],[],1.97
26.05.2024,Baroni N.,0,,,,,,[],[],[],[],[],1.76
24.05.2024,Baroni N.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '1']",[],[],[],1.68
24.05.2024,Bondioli F.,0,,,,,,[],[],[],[],[],2.10
23.05.2024,Baroni N.,2,,,,,,"['2', '3', '5', '4']","['3', '2', '6', '3']","['3', '1', '5', '1', '6', '2']",[],[],3.23
23.05.2024,La Vela G.,1,,,,,,"['3', '1', '5', '5', '7', '5']",[],"['2', '5']",[],[],1.34
22.05.2024,Baroni N.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.47
22.05.2024,Perruzza V.,0,,,,,,"['1', '1']","['1', '3']",[],[],[],2.56
03.04.2024,Ribecai M.,2,,,,,,"['3', '1']","['1', '0', '5', '2', '6', '4']",[],[],[],1.88
03.04.2024,Baroni N.,0,,,,,,[],"['1', '1', '3', '5']",[],[],[],1.79
02.04.2024,Baroni N.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '2', '4', '2', '6', '2']",[],[],[],1.14
02.04.2024,Taylor J.,0,,,,,,[],"['1', '0']",[],[],[],5.08
28.03.2024,Royer V.,2,,,,,,"['2', '0', '3', '1', '4', '2']","['1', '0']",[],[],[],1.14
28.03.2024,Baroni N.,0,,,,,,"['1', '2', '2', '3', '4', '5']","['5', '5']",[],[],[],5.24
26.03.2024,Baroni N.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.24
26.03.2024,Agostini S.,0,,,,,,[],[],[],[],[],3.77
20.09.2023,Catini N.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['3', '3', '4', '4', '6', '4']",[],[],[],1.68
20.09.2023,Baroni N.,0,,,,,,"['1', '0']","['2', '1', '4', '3']",[],[],[],2.06
19.09.2023,Baroni N.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1', '3', '1', '6', '4']",[],[],[],2.03
19.09.2023,Bellifemine A.,0,,,,,,[],"['1', '0', '2', '3']",[],[],[],1.70
30.08.2023,Angelini L.,2,,,,,,"['2', '0', '3', '1', '5', '3', '6', '4']","['2', '4', '5', '5']","['1', '2', '3', '2', '6', '3']",[],[],5.41
30.08.2023,Baroni N.,1,,,,,,"['1', '2', '3', '4', '4', '5']","['1', '0', '4', '1']","['2', '0']",[],[],1.13
24.08.2023,Legout T.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '5', '4']",[],[],[],1.15
24.08.2023,Baroni N.,0,,,,,,[],"['4', '4']",[],[],[],4.94
23.08.2023,Baroni N.,1,,,,,,"['1', '1', '2', '2', '4', '2', '6', '2']",[],[],[],[],1.73
23.08.2023,Ortenzi G. M.,0,,,,,,"['1', '0', '2', '1']",[],[],[],[],1.99
24.05.2023,Monzon I.,1,,,,,,[],[],[],[],[],1.68
24.05.2023,Baroni N.,0,,,,,,[],[],[],[],[],2.09
19.04.2023,Oliveira G.,2,,,,,,"['5', '3']","['1', '0', '3', '4', '6', '5']",[],[],[],-
19.04.2023,Baroni N.,0,,,,,,[],"['1', '1', '4', '2']",[],[],[],12.50
18.04.2023,Baroni N.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '3', '1', '6', '2']",[],[],[],1.26
18.04.2023,Lorusso L.,0,,,,,,[],"['1', '2']",[],[],[],3.54
05.04.2023,Pampanin P.,2,,,,,,"['2', '1', '3', '2']","['1', '0', '5', '4']",[],[],[],4.88
05.04.2023,Baroni N.,0,,,,,,"['2', '2']","['4', '4']",[],[],[],1.15
