Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.06.,Palosi S.,2,,,,,,"['1', '0']","['4', '2', '6', '2']","['2', '2', '4', '2', '5', '3']",[],[],1.29
27.08.2024,Filar K.,1,,,,,,"['1', '0', '6', '5']",[],[],[],[],1.18
20.08.2024,Bouquet L.,2,,,,,,"['7', '5']","['3', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.07
20.08.2024,Majdandzic M.,1,,,,,,[],"['1', '0']",[],[],[],7.28
14.08.2024,Michocki P.,2,,,,,,"['3', '4', '5', '4']","['2', '0', '4', '0']",[],[],[],2.30
14.08.2024,Majdandzic M.,0,,,,,,"['2', '0', '5', '5']",[],[],[],[],1.57
18.06.2024,Fix D.,2,,,,,,"['1', '0', '4', '1']",[],"['5', '3', '7', '5']",[],[],1.41
18.06.2024,Majdandzic M.,1,,,,,,[],"['2', '0', '5', '1']","['4', '5']",[],[],2.75
23.04.2024,Braynin A.,2,,,,,,"['1', '0', '6', '3']","['3', '1', '5', '1']",[],[],[],1.23
23.04.2024,Majdandzic M.,0,,,,,,[],[],[],[],[],3.86
18.01.2024,Gentzsch T.,2,,,,,,"['4', '2']","['1', '0', '3', '0']",[],[],[],1.66
18.01.2024,Majdandzic M.,0,,,,,,[],[],[],[],[],2.13
16.01.2024,Majdandzic M.,2,,,,,,"['5', '4', '6', '5']",[],[],[],[],1.34
16.01.2024,Horak V.,0,,,,,,"['5', '5']",[],[],[],[],3.08
15.09.2023,Forejtek J.,2,,,,,,"['5', '4']","['2', '1', '5', '2']",[],[],[],1.30
15.09.2023,Majdandzic M.,0,,,,,,[],[],[],[],[],3.32
14.09.2023,Majdandzic M.,2,,,,,,[],"['1', '0']","['1', '2', '5', '4']",[],[],2.25
14.09.2023,Gentzsch T.,1,,,,,,"['4', '3', '6', '3']",[],"['2', '0']",[],[],1.59
13.09.2023,Majdandzic M.,2,,,,,,"['2', '1', '6', '3']","['3', '1']",[],[],[],1.30
13.09.2023,Carnevale-Miino T.,0,,,,,,[],[],[],[],[],3.28
31.08.2023,Maute J.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],2.60
31.08.2023,Majdandzic M.,0,,,,,,"['3', '5']",[],[],[],[],1.45
30.08.2023,Majdandzic M.,2,,,,,,"['2', '2', '4', '2']","['1', '0']",[],[],[],1.14
30.08.2023,Waldner N.,0,,,,,,"['2', '1']",[],[],[],[],5.04
16.08.2023,Ivanov S. A.,2,,,,,,[],[],[],[],[],2.36
16.08.2023,Majdandzic M.,0,,,,,,[],[],[],[],[],1.54
