Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.11.2024,Tirante T. A.,2,,,,,,8,5,60%,84% (36/43),41% (12/29),67% (2/3),36% (21/59),56% (15/27),29% (2/7),67% (48/72),42% (36/86),53% (84/158),6,0,91% (10/11),20% (2/10),57% (12/21),"['4', '3']","['3', '1']",[],[],[],1.03
02.11.2024,Maksimovic M.,0,,,,,,0,1,69%,64% (38/59),44% (12/27),71% (5/7),16% (7/43),59% (17/29),33% (1/3),58% (50/86),33% (24/72),47% (74/158),4,2,80% (8/10),9% (1/11),43% (9/21),"['5', '5']",[],[],[],[],12.50
15.10.2024,Caniato C. A.,2,,,,,,"['2', '0', '5', '5']","['2', '1', '3', '2', '6', '5']",[],[],[],1.45
15.10.2024,Maksimovic M.,0,,,,,,"['1', '2', '3', '2']","['2', '2', '4', '4']",[],[],[],2.59
25.09.2024,Poljicak M.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '4', '0', '5', '1']",[],[],[],1.14
25.09.2024,Maksimovic M.,0,,,,,,[],"['1', '4']",[],[],[],5.05
01.09.2024,Johnston N.,2,,,,,,"['2', '3']","['3', '3', '5', '3']","['1', '0', '5', '2']",[],[],-
01.09.2024,Maksimovic M.,1,,,,,,"['3', '1', '5', '3']","['1', '0']",[],[],[],-
06.07.2024,Swaine C.,2,,,,,,"['1', '0', '4', '1']","['6', '5']",[],[],[],-
06.07.2024,Maksimovic M.,0,,,,,,[],[],[],[],[],-
