Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.02.,Faut P. A.,2,,,,,,"['5', '3']","['5', '4']",[],[],[],2.62
19.08.2024,Bar Biryukov P.,0,,,,,,5,3,38%,56% (5/9),47% (7/15),33% (1/3),0 km/h,0 km/h,15% (2/13),33% (4/12),0% (0/3),50% (12/24),24% (6/25),37% (18/49),1,0,50% (2/4),0% (0/4),25% (2/8),[],[],[],[],[],1.98
18.08.2024,Bradshaw J.,2,,,,,,1,3,64%,75% (24/32),56% (10/18),50% (2/4),0 km/h,0 km/h,38% (11/29),67% (18/27),50% (5/10),68% (34/50),52% (29/56),59% (63/106),6,0,78% (7/9),56% (5/9),67% (12/18),"['3', '4', '5', '4']","['1', '0', '2', '1', '4', '1']",[],[],[],1.39
18.08.2024,Ho R.,0,,,,,,3,6,52%,62% (18/29),33% (9/27),50% (5/10),0 km/h,0 km/h,25% (8/32),44% (8/18),50% (2/4),48% (27/56),32% (16/50),41% (43/106),4,0,44% (4/9),22% (2/9),33% (6/18),"['4', '2']","['1', '1']",[],[],[],2.89
02.08.2024,Donnet E.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '2']",[],[],[],1.50
02.08.2024,Bradshaw J.,0,,,,,,[],"['1', '1']",[],[],[],2.47
01.08.2024,Bradshaw J.,2,,,,,,"['3', '4']","['4', '4']","['3', '3', '7', '5']",[],[],-
01.08.2024,Bertimon M.,1,,,,,,"['4', '2']","['3', '2', '5', '4']","['1', '0']",[],[],-
31.07.2024,Bradshaw J.,2,,,,,,"['2', '2', '3', '3', '5', '3']","['1', '0', '2', '1', '4', '1']",[],[],[],1.21
31.07.2024,Trifi A.,0,,,,,,"['2', '1', '3', '2']","['1', '1', '2', '4']",[],[],[],4.08
24.07.2024,Dong C.,2,,,,,,"['2', '1']","['4', '2', '6', '2']",[],[],[],2.68
24.07.2024,Bradshaw J.,0,,,,,,"['3', '3']",[],[],[],[],1.43
