Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Uesugi K.,1,,,,,,2,3,58%,60% (29/48),60% (21/35),44% (4/9),35% (20/57),38% (15/39),10% (1/10),60% (50/83),36% (35/96),47% (85/179),3,1,62% (8/13),9% (1/11),38% (9/24),[],"['4', '5']",[],[],[],2.94
26.08.,Huang T.,1,,,,,,1,3,59%,65% (37/57),62% (24/39),90% (9/10),40% (19/48),40% (14/35),56% (5/9),64% (61/96),40% (33/83),53% (94/179),7,0,91% (10/11),38% (5/13),63% (15/24),"['1', '0', '4', '1', '6', '1']","['2', '0']","['3', '2']",[],[],1.37
25.08.,Huang T.,2,,,,,,2,2,62%,65% (22/34),52% (11/21),50% (2/4),44% (12/27),67% (16/24),50% (5/10),60% (33/55),53% (27/51),57% (60/106),6,0,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '4', '1']","['1', '2', '2', '3', '4', '3']",[],[],[],1.61
25.08.,Nam Ji S.,0,,,,,,3,2,53%,59% (16/27),33% (8/24),50% (5/10),35% (12/34),48% (10/21),50% (2/4),47% (24/51),40% (22/55),43% (46/106),4,0,44% (4/9),22% (2/9),33% (6/18),[],"['2', '0', '3', '1']",[],[],[],2.23
24.08.,Huang T.,2,,,,,,0,0,56%,71% (22/31),63% (15/24),33% (1/3),41% (16/39),58% (14/24),33% (4/12),8,22,0% (0/2),67% (37/55),48% (30/63),57% (67/118),7,0,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '4', '0']","['1', '0', '5', '4']",[],[],[],1.36
24.08.,Nakagawa S.,0,,,,,,4,8,62%,59% (23/39),42% (10/24),67% (8/12),32% (10/31),38% (9/24),67% (2/3),17,47,55% (6/11),52% (33/63),33% (18/55),43% (51/118),3,1,56% (5/9),20% (2/10),37% (7/19),"['1', '4']","['4', '4']",[],[],[],2.99
22.08.,Kwon S.,2,,,,,,"['4', '3', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],1.08
13.06.,Sasikumar M.,2,,,,,,"['2', '0']","['1', '0', '4', '1']",[],[],[],1.41
13.06.,Huang T.,0,,,,,,[],[],[],[],[],2.73
12.06.,Huang T.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['6', '4']",[],[],[],1.22
12.06.,Lomakin G.,0,,,,,,"['2', '2']",[],[],[],[],3.91
11.06.,Huang T.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.26
11.06.,Chen X. D.,0,,,,,,[],[],[],[],[],3.54
08.06.,Te R.,2,,,,,,"['3', '1', '5', '1']","['3', '4', '5', '4']",[],[],[],1.30
08.06.,Huang T.,0,,,,,,[],"['4', '2']",[],[],[],3.26
07.06.,Huang T.,2,,,,,,[],"['1', '0', '4', '1', '5', '2']",[],[],[],1.30
07.06.,Sun Qian,0,,,,,,[],"['2', '4']",[],[],[],3.30
06.06.,Huang T.,2,,,,,,"['3', '1']","['4', '2', '6', '4']","['3', '5', '5', '5', '7', '5']",[],[],1.72
06.06.,Chappell N.,1,,,,,,"['2', '3', '5', '4']","['4', '5']","['3', '2', '5', '2']",[],[],2.00
05.06.,Huang T.,2,,,,,,"['3', '2']","['2', '1', '6', '3']",[],[],[],1.14
05.06.,Hou C.,0,,,,,,[],[],[],[],[],4.95
04.06.,Huang T.,2,,,,,,"['1', '0', '4', '1']","['1', '0']",[],[],[],1.19
04.06.,Dong Z.,0,,,,,,[],[],[],[],[],4.28
30.05.,Zeng Y.,2,,,,,,"['1', '0']","['3', '4', '6', '5']",[],[],[],2.85
30.05.,Huang T.,0,,,,,,[],"['3', '1']",[],[],[],1.38
29.05.,Huang T.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '4', '1']",[],[],[],1.32
29.05.,Jin Y.,0,,,,,,"['2', '2']",[],[],[],[],3.14
27.05.,Huang T.,2,,,,,,"['2', '0']","['5', '4']",[],[],[],-
27.05.,Lu P.,0,,,,,,[],[],[],[],[],-
16.05.,Shin W.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.57
16.05.,Huang T.,0,,,,,,[],[],[],[],[],2.28
15.05.,Huang T.,2,,,,,,"['3', '4']","['2', '0', '5', '1']","['1', '0', '2', '1', '5', '2', '6', '3']",[],[],1.06
15.05.,Mingzhou Z.,1,,,,,,"['4', '2', '5', '3']",[],"['1', '1', '3', '5']",[],[],7.10
13.05.,Huang T.,2,,,,,,"['2', '0']","['1', '2', '3', '2']",[],[],[],-
13.05.,Lu P.,0,,,,,,"['4', '5']","['2', '0']",[],[],[],-
06.05.,Huang T.,2,,,,,,"['2', '0']","['2', '0', '5', '1']","['6', '5']",[],[],1.44
06.05.,Chiu J.,1,,,,,,"['4', '5', '6', '5']",[],[],[],[],2.62
24.04.,Imai S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],1.41
24.04.,Huang T.,0,,,,,,[],[],[],[],[],2.73
22.04.,Huang T.,2,,,,,,"['1', '0', '3', '0']","['4', '3']",[],[],[],1.33
22.04.,Oki Y.,0,,,,,,[],[],[],[],[],3.09
20.04.,Huang T.,2,,,,,,"['3', '1', '7', '5']","['5', '3']",[],[],[],2.81
20.04.,Mochizuki Y.,0,,,,,,"['2', '3']",[],[],[],[],1.39
19.04.,Huang T.,2,,,,,,"['4', '4']",[],"['6', '4']",[],[],2.94
19.04.,Tokuda R.,1,,,,,,"['4', '3']","['2', '0', '5', '1']",[],[],[],1.36
18.04.,Huang T.,2,,,,,,"['2', '3', '4', '3', '5', '4']","['1', '2', '3', '2', '5', '2']","['2', '1', '5', '2']",[],[],2.03
18.04.,Ichikawa T.,1,,,,,,"['2', '0', '4', '4']","['2', '0', '3', '5', '5', '5', '7', '5']",[],[],[],1.70
17.04.,Huang T.,2,,,,,,"['2', '1']",[],"['3', '1', '6', '4']",[],[],2.10
17.04.,Fukuda S.,1,,,,,,[],"['2', '0', '4', '0']","['3', '4']",[],[],1.67
16.04.,Huang T.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '6', '3']",[],[],[],-
16.04.,Inui Y.,0,,,,,,[],"['2', '4']",[],[],[],-
01.04.,Taka Y.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],3.04
01.04.,Huang T.,0,,,,,,[],"['1', '3']",[],[],[],1.34
27.03.,Peliwo F.,2,,,,,,"['3', '5']","['1', '0', '3', '2', '4', '3', '5', '4', '6', '5']","['2', '1', '4', '1', '5', '2', '6', '5']",[],[],1.61
27.03.,Huang T.,1,,,,,,"['1', '0', '5', '2', '6', '3']","['2', '2', '3', '3', '4', '4', '5', '5']","['2', '4', '3', '5', '5', '5', '6', '6']",[],[],2.20
