31.05. 01:55,Andreeva M.,2,6,3,7,,,2,3,49%,61% (30/49),36% (18/50),47% (8/17),50% (33/66),66% (19/29),77% (10/13),32,23,56% (9/16),49% (47/95),54% (51/95),52% (98/190),7,0,40% (6/15),67% (10/15),53% (16/30),"['1', '0', '2', '1', '3', '2', '6', '3']","['2', '0', '3', '5']","['1', '0', '4', '3', '5', '4', '6', '5']",[],[],2.03
28.05. 23:45,Azarenka V.,2,6,6,,,,1,4,57%,85% (22/26),55% (11/20),100% (2/2),61% (14/23),67% (8/12),83% (5/6),22,11,100% (12/12),72% (33/46),63% (22/35),68% (55/81),7,0,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.21
28.05. 23:45,Podoroska N.,0,1,0,,,,2,1,66%,39% (9/23),33% (4/12),17% (1/6),15% (4/26),45% (9/20),0% (0/2),10,16,33% (1/3),37% (13/35),28% (13/46),32% (26/81),3,0,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],4.54
WTA - SINGLES :  Rome (Italy),clay,header
15.05. 22:35,Azarenka V.,0,4,3,,,,0,9,66%,60% (26/43),27% (6/22),67% (10/15),32% (12/38),59% (17/29),30% (3/10),49% (32/65),43% (29/67),46% (61/132),3,1,44% (4/9),30% (3/10),37% (7/19),"['1', '0', '4', '5']","['3', '4']",[],[],[],2.67
15.05. 22:35,Collins D.,2,6,6,,,,6,8,57%,68% (26/38),41% (12/29),70% (7/10),40% (17/43),73% (16/22),33% (5/15),57% (38/67),51% (33/65),54% (71/132),7,0,70% (7/10),56% (5/9),63% (12/19),"['2', '2', '4', '2', '6', '4']","['3', '1', '5', '3']",[],[],[],1.49
14.05. 01:40,Azarenka V.,2,6,6,,,,0,1,79%,65% (24/37),60% (6/10),33% (1/3),44% (12/27),71% (20/28),60% (6/10),64% (30/47),58% (32/55),61% (62/102),7,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '4', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],2.78
14.05. 01:40,Sakkari M.,0,4,1,,,,2,1,49%,56% (15/27),29% (8/28),40% (4/10),35% (13/37),40% (4/10),67% (2/3),42% (23/55),36% (17/47),39% (40/102),3,2,33% (3/9),25% (2/8),29% (5/17),"['1', '3', '3', '3']",[],[],[],[],1.46
12.05. 21:00,Azarenka V.,2,6,6^6,6,,,0,4,74%,58% (46/80),36% (10/28),30% (3/10),54% (39/72),63% (19/30),59% (10/17),52% (56/108),57% (58/102),54% (114/210),6,0,53% (8/15),71% (10/14),62% (18/29),"['1', '0', '2', '1', '4', '1', '5', '2']","['1', '4', '2', '5', '4', '5']","['2', '0', '4', '2', '5', '3']",[],[],1.46
12.05. 21:00,Sherif M.,1,2,7^8,3,,,0,2,71%,46% (33/72),37% (11/30),41% (7/17),43% (34/80),64% (18/28),70% (7/10),43% (44/102),48% (52/108),46% (96/210),4,1,29% (4/14),47% (7/15),38% (11/29),"['1', '1', '2', '4']","['2', '0', '4', '0', '5', '1']","['2', '3', '3', '4']",[],[],2.78
10.05. 18:20,Azarenka V.,2,6^5,6,6,,,1,12,57%,69% (44/64),44% (21/48),38% (3/8),35% (18/52),56% (22/39),70% (7/10),58% (65/112),44% (40/91),52% (105/203),5,0,69% (11/16),47% (7/15),58% (18/31),"['2', '1', '3', '2', '5', '4']","['2', '2', '6', '4']","['3', '1', '5', '1']",[],[],1.46
10.05. 18:20,Linette M.,1,7^7,4,3,,,4,7,57%,65% (34/52),44% (17/39),30% (3/10),31% (20/64),56% (27/48),63% (5/8),56% (51/91),42% (47/112),48% (98/203),5,5,53% (8/15),31% (5/16),42% (13/31),"['2', '2', '3', '3', '5', '5']","['2', '1']","['2', '5']",[],[],2.74
WTA - SINGLES :  Madrid (Spain),clay,header
27.04. 14:40,Azarenka V.,0,6^0,3,,,,1,2,71%,55% (30/55),30% (7/23),44% (4/9),41% (30/74),58% (11/19),33% (4/12),47% (37/78),44% (41/93),46% (78/171),2,0,50% (5/10),36% (4/11),43% (9/21),"['2', '2', '5', '5']","['1', '0', '2', '1']",[],[],[],1.36
27.04. 14:40,Sorribes Tormo S.,2,7^7,6,,,,0,0,80%,59% (44/74),42% (8/19),67% (8/12),45% (25/55),70% (16/23),56% (5/9),56% (52/93),53% (41/78),54% (93/171),8,0,64% (7/11),50% (5/10),57% (12/21),"['1', '0', '5', '4']","['1', '1', '2', '2', '5', '3']",[],[],[],3.20
