Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Sharm ElSheikh 18 (Egypt),hard,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 17 (Egypt),hard,header
CHALLENGER MEN - SINGLES :  Olbia (Italy) - Qualification,hard,header
21.02.2023,Harrison C.,1,6,4,3,,,7,5,54%,69% (34/49),54% (22/41),70% (7/10),18% (8/45),61% (20/33),50% (3/6),5,62% (56/90),36% (28/78),50% (84/168),3,77% (10/13),23% (3/13),50% (13/26),"['2', '0', '5', '1']","['3', '4']",[],[],[],1.89
CHALLENGER MEN - SINGLES :  Cherbourg (France),hard,header
17.02.2023,Moraing M.,0,5,4,,,,13,4,66%,78% (38/49),36% (9/25),78% (7/9),30% (10/33),19% (5/26),0% (0/0),5,64% (47/74),25% (15/59),47% (62/133),1,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],2.05
17.02.2023,Zeppieri G.,2,7,6,,,,10,2,56%,70% (23/33),81% (21/26),0% (0/0),22% (11/49),64% (16/25),22% (2/9),7,75% (44/59),36% (27/74),53% (71/133),3,100% (11/11),18% (2/11),59% (13/22),"['7', '5']","['6', '4']",[],[],[],1.73
15.02.2023,Moraing M.,2,6^6,6,6,,,14,7,54%,78% (45/58),45% (22/49),75% (6/8),23% (13/57),64% (28/44),50% (5/10),7,63% (67/107),40% (40/100),52% (107/207),3,87% (13/15),29% (4/14),59% (17/29),"['1', '0']","['2', '0', '6', '4']","['3', '1', '6', '2']",[],[],2.13
15.02.2023,Bellier A.,1,7^8,4,2,,,18,14,56%,77% (44/57),36% (16/44),50% (5/10),22% (13/58),55% (27/49),25% (2/8),8,60% (60/100),37% (40/107),48% (100/207),2,71% (10/14),13% (2/15),41% (12/29),"['1', '1']","['4', '5']",[],[],[],1.67
14.02.2023,Moraing M.,2,6,7^7,,,,14,5,59%,84% (32/38),46% (12/26),33% (1/3),24% (9/37),61% (25/41),38% (3/8),5,69% (44/64),44% (34/78),55% (78/142),3,82% (9/11),27% (3/11),55% (12/22),"['5', '4']","['2', '1', '6', '5']",[],[],[],4.78
14.02.2023,Pospisil V.,0,4,6^5,,,,9,2,47%,76% (28/37),39% (16/41),63% (5/8),16% (6/38),54% (14/26),67% (2/3),5,56% (44/78),31% (20/64),45% (64/142),2,73% (8/11),18% (2/11),45% (10/22),[],"['2', '2', '6', '6']",[],[],[],1.17
CHALLENGER MEN - SINGLES :  Vilnius (Lithuania),hard,header
07.02.2023,Moraing M.,0,3,1,,,,6,1,49%,76% (19/25),31% (8/26),33% (2/6),21% (6/29),29% (5/17),0% (0/1),4,53% (27/51),24% (11/46),39% (38/97),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.48
07.02.2023,Broady L.,2,6,6,,,,4,0,63%,79% (23/29),71% (12/17),100% (1/1),24% (6/25),69% (18/26),67% (4/6),7,76% (35/46),47% (24/51),61% (59/97),5,100% (8/8),50% (4/8),75% (12/16),"['2', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.28
CHALLENGER MEN - SINGLES :  Nonthaburi 3 (Thailand),hard,header
16.01.2023,Moraing M.,0,3,2,,,,8,1,64%,69% (25/36),40% (8/20),67% (6/9),10% (3/29),43% (9/21),0% (0/1),4,59% (33/56),24% (12/50),42% (45/106),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.01
16.01.2023,Shimabukuro S.,2,6,6,,,,4,2,58%,90% (26/29),57% (12/21),100% (1/1),31% (11/36),60% (12/20),33% (3/9),6,76% (38/50),41% (23/56),58% (61/106),5,100% (9/9),38% (3/8),71% (12/17),"['4', '2']","['3', '2', '5', '2']",[],[],[],1.74
CHALLENGER MEN - SINGLES :  Nonthaburi 2 (Thailand),hard,header
11.01.2023,Moraing M.,0,1,3,,,,7,1,58%,67% (20/30),32% (7/22),43% (3/7),15% (5/33),50% (6/12),0% (0/2),5,52% (27/52),24% (11/45),39% (38/97),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.54
11.01.2023,Harris L.,2,6,6,,,,10,1,73%,85% (28/33),50% (6/12),100% (2/2),33% (10/30),68% (15/22),57% (4/7),8,76% (34/45),48% (25/52),61% (59/97),7,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['4', '2']",[],[],[],1.30
