Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.08.,Compagnucci T.,2,,,,,,5,0,66%,59% (23/39),75% (15/20),75% (3/4),44% (19/43),48% (12/25),57% (4/7),20,30,70% (7/10),64% (38/59),46% (31/68),54% (69/127),7,0,90% (9/10),40% (4/10),65% (13/20),"['2', '1', '4', '1']","['3', '4', '6', '5']",[],[],[],2.56
24.08.,Basile P.,0,,,,,,2,2,63%,56% (24/43),52% (13/25),43% (3/7),41% (16/39),25% (5/20),25% (1/4),16,35,70% (7/10),54% (37/68),36% (21/59),46% (58/127),3,0,60% (6/10),10% (1/10),35% (7/20),[],"['2', '0']",[],[],[],1.47
11.08.,Sanchez Jover C.,2,,,,,,5,3,64%,62% (37/60),53% (18/34),45% (5/11),46% (23/50),55% (22/40),57% (8/14),19,31,82% (9/11),59% (55/94),50% (45/90),54% (100/184),7,0,63% (10/16),53% (8/15),58% (18/31),"['2', '2', '4', '2', '5', '3']","['4', '5']","['1', '1', '2', '2', '4', '4', '6', '4']",[],[],20.5
11.08.,Basile P.,1,,,,,,3,7,56%,54% (27/50),45% (18/40),43% (6/14),38% (23/60),47% (16/34),55% (6/11),35,68,69% (9/13),50% (45/90),41% (39/94),46% (84/184),3,0,47% (7/15),38% (6/16),42% (13/31),"['2', '1', '3', '4']","['3', '1']","['1', '0', '2', '1', '3', '2']",[],[],1.60
15.07.,Vallejo D.,2,,,,,,1,6,46%,80% (20/25),55% (16/29),80% (4/5),26% (10/39),74% (25/34),44% (4/9),20,24,86% (6/7),67% (36/54),48% (35/73),56% (71/127),5,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '2', '6', '3']","['3', '1']",[],[],[],1.82
15.07.,Basile P.,0,,,,,,2,1,53%,74% (29/39),26% (9/34),56% (5/9),20% (5/25),45% (13/29),20% (1/5),13,37,63% (5/8),52% (38/73),33% (18/54),44% (56/127),5,0,56% (5/9),11% (1/9),33% (6/18),"['1', '1']",[],[],[],[],1.91
06.07.,Gusic Wan B.,2,,,,,,"['2', '1', '4', '1']",[],"['3', '1', '6', '2']",[],[],-
09.06.,Cecchinato M.,1,,,,,,9,5,64%,65% (47/72),51% (21/41),62% (8/13),29% (24/82),53% (18/34),33% (3/9),60% (68/113),36% (42/116),48% (110/229),4,1,69% (11/16),18% (3/17),42% (14/33),"['3', '1']","['5', '5']","['2', '5']",[],[],1.43
08.06.,Basile P.,2,,,,,,9,3,53%,71% (35/49),53% (23/43),60% (3/5),26% (14/53),61% (19/31),67% (2/3),63% (54/86),39% (30/76),52% (84/162),6,0,75% (9/12),25% (3/12),50% (12/24),"['1', '0', '5', '4']","['1', '1']",[],[],[],4.22
08.06.,Fonio G.,0,,,,,,6,8,63%,74% (39/53),39% (12/31),33% (1/3),29% (14/49),47% (20/43),40% (2/5),61% (46/76),37% (32/86),48% (78/162),4,0,75% (9/12),25% (3/12),50% (12/24),"['3', '3', '5', '5']","['1', '0']",[],[],[],1.20
02.06.,Santamarta Roig A.,2,,,,,,"['2', '1', '5', '4']",[],"['4', '2', '5', '3']",[],[],-
02.06.,Basile P.,1,,,,,,"['4', '4']","['3', '1', '5', '1']","['3', '4']",[],[],-
01.06.,Basile P.,2,,,,,,[],"['5', '3']","['2', '0']",[],[],-
01.06.,Hewitt C.,1,,,,,,[],"['4', '5', '6', '5']",[],[],[],-
05.05.,Seyboth Wild T.,2,,,,,,0,1,58%,91% (21/23),65% (11/17),0% (0/0),46% (16/35),55% (11/20),40% (4/10),14,14,83% (5/6),80% (32/40),49% (27/55),62% (59/95),9,0,100% (8/8),44% (4/9),71% (12/17),"['2', '1', '4', '1']","['4', '3', '6', '3']",[],[],[],1.08
05.05.,Basile P.,0,,,,,,2,4,64%,54% (19/35),45% (9/20),60% (6/10),9% (2/23),35% (6/17),0% (0/0),15,30,60% (3/5),51% (28/55),20% (8/40),38% (36/95),1,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],6.70
02.04.,Marmousez L.,2,,,,,,3,4,50%,81% (29/36),53% (19/36),83% (5/6),37% (17/46),52% (12/23),43% (3/7),67% (48/72),42% (29/69),55% (77/141),7,0,90% (9/10),30% (3/10),60% (12/20),"['2', '0', '6', '2']","['5', '5']",[],[],[],1.44
02.04.,Basile P.,0,,,,,,0,2,67%,63% (29/46),48% (11/23),57% (4/7),19% (7/36),47% (17/36),17% (1/6),58% (40/69),33% (24/72),45% (64/141),3,0,70% (7/10),10% (1/10),40% (8/20),[],"['5', '4']",[],[],[],2.66
23.03.,Dodig M.,2,,,,,,4,2,57%,77% (40/52),43% (17/40),25% (1/4),22% (12/55),63% (31/49),43% (6/14),62% (57/92),41% (43/104),51% (100/196),7,0,80% (12/15),38% (6/16),58% (18/31),"['3', '5', '5', '5']","['5', '4']","['1', '0', '4', '3', '6', '3']",[],[],1.45
23.03.,Basile P.,1,,,,,,2,3,53%,78% (43/55),37% (18/49),57% (8/14),23% (12/52),57% (23/40),75% (3/4),59% (61/104),38% (35/92),49% (96/196),3,0,63% (10/16),20% (3/15),42% (13/31),"['2', '1', '5', '2']",[],"['2', '2']",[],[],2.63
22.01.,Willwerth B.,2,,,,,,[],"['2', '3', '4', '5', '6', '5']",[],[],[],-
22.01.,Basile P.,0,,,,,,[],"['3', '1', '5', '3']",[],[],[],-
21.01.,Basile P.,2,,,,,,"['2', '1', '4', '1', '6', '3']",[],"['4', '3', '5', '4']",[],[],-
21.01.,Santamarta Roig A.,1,,,,,,"['2', '4']","['1', '0', '4', '1', '6', '1']","['4', '4']",[],[],-
19.01.,Basile P.,2,,,,,,"['3', '3']","['1', '0']","['2', '0', '4', '0']",[],[],-
19.01.,Dembo J.,1,,,,,,"['2', '1']","['3', '3']",[],[],[],-
24.11.2024,Paris T.,2,,,,,,"['4', '2']","['4', '5', '6', '5']",[],[],[],1.34
24.11.2024,Basile P.,0,,,,,,[],"['4', '2']",[],[],[],3.04
23.11.2024,Basile P.,2,,,,,,"['6', '5']","['1', '0']","['4', '2']",[],[],1.44
23.11.2024,Bonsach G. K.,1,,,,,,[],"['1', '1', '3', '1']",[],[],[],2.62
22.11.2024,Basile P.,2,,,,,,[],"['1', '0', '3', '0']","['4', '2']",[],[],1.85
22.11.2024,Marrero Curbelo I.,1,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '4', '4', '4']",[],[],[],1.85
21.11.2024,Basile P.,2,,,,,,"['1', '0']","['5', '4']",[],[],[],-
21.11.2024,Thomas F.,0,,,,,,[],[],[],[],[],-
19.11.2024,Basile P.,2,,,,,,"['2', '0', '5', '1']",[],[],[],[],3.40
19.11.2024,Wallin O.,0,,,,,,[],[],[],[],[],1.28
18.10.2024,Bielinskyi V.,2,,,,,,"['1', '0', '6', '5']","['1', '0']","['3', '1']",[],[],1.33
18.10.2024,Basile P.,1,,,,,,"['4', '4']","['4', '4']",[],[],[],3.09
17.10.2024,Basile P.,2,,,,,,"['2', '0', '5', '1']",[],"['1', '0', '3', '2', '6', '3']",[],[],1.85
17.10.2024,Catini N.,1,,,,,,"['2', '5']","['4', '2', '6', '2']","['1', '1']",[],[],1.85
15.10.2024,Basile P.,2,,,,,,"['2', '1', '6', '5']","['3', '2', '6', '5']",[],[],[],1.69
15.10.2024,Mashtakov N.,0,,,,,,"['5', '5']","['4', '4']",[],[],[],2.08
01.09.2024,Guerrieri A.,2,,,,,,1,6,54%,71% (30/42),50% (18/36),73% (8/11),45% (28/62),55% (18/33),46% (6/13),61% (48/79),48% (45/93),54% (93/172),8,0,75% (9/12),46% (6/13),60% (15/25),[],"['2', '0', '4', '2', '6', '2']","['2', '0', '4', '2', '6', '2']",[],[],1.59
01.09.2024,Basile P.,1,,,,,,2,8,65%,55% (34/62),45% (15/33),54% (7/13),29% (12/42),50% (18/36),27% (3/11),52% (48/93),39% (31/79),46% (79/172),2,0,54% (7/13),25% (3/12),40% (10/25),"['3', '1']","['1', '2']","['1', '2']",[],[],2.16
31.08.2024,Iannaccone F.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],1.49
31.08.2024,Basile P.,0,,,,,,"['1', '1']",[],[],[],[],2.50
30.08.2024,Basile P.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.70
30.08.2024,Hernandez A.,0,,,,,,[],"['2', '5']",[],[],[],2.07
29.08.2024,Basile P.,2,,,,,,"['3', '5']","['2', '1', '5', '2']","['2', '3', '4', '3', '6', '3']",[],[],2.22
29.08.2024,Piraino G.,1,,,,,,"['2', '1', '4', '1', '6', '3']",[],"['3', '1']",[],[],1.61
28.08.2024,Basile P.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.39
28.08.2024,Seghetti S.,0,,,,,,"['2', '5']",[],[],[],[],2.83
14.08.2024,Taberner C.,2,,,,,,0,0,78%,76% (35/46),38% (5/13),50% (2/4),0 km/h,0 km/h,37% (17/46),69% (18/26),31% (4/13),68% (40/59),49% (35/72),57% (75/131),5,0,80% (8/10),50% (4/8),67% (12/18),"['2', '1', '4', '3', '6', '3']","['4', '2']",[],[],[],1.12
14.08.2024,Basile P.,0,,,,,,2,3,64%,63% (29/46),31% (8/26),69% (9/13),0 km/h,0 km/h,24% (11/46),62% (8/13),50% (2/4),51% (37/72),32% (19/59),43% (56/131),5,5,50% (4/8),20% (2/10),33% (6/18),"['3', '3']",[],[],[],[],5.69
13.08.2024,Basile P.,2,,,,,,3,4,63%,66% (45/68),48% (19/40),73% (11/15),0 km/h,0 km/h,33% (18/54),52% (28/54),32% (7/22),59% (64/108),43% (46/108),51% (110/216),7,0,73% (11/15),44% (7/16),58% (18/31),"['2', '0', '6', '6']","['1', '0', '4', '3']","['2', '3', '4', '3', '6', '3']",[],[],2.96
13.08.2024,Pennaforti G.,1,,,,,,3,9,50%,67% (36/54),48% (26/54),68% (15/22),0 km/h,0 km/h,34% (23/68),53% (21/40),27% (4/15),57% (62/108),41% (44/108),49% (106/216),3,0,56% (9/16),27% (4/15),42% (13/31),"['3', '4', '6', '5']","['2', '2']","['2', '0']",[],[],1.37
12.08.2024,Basile P.,2,,,,,,3,7,58%,73% (32/44),47% (15/32),92% (12/13),0 km/h,0 km/h,56% (15/27),37% (7/19),50% (4/8),62% (47/76),48% (22/46),57% (69/122),8,0,89% (8/9),50% (4/8),71% (12/17),"['4', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],2.40
12.08.2024,Rottoli L.,0,,,,,,1,2,59%,44% (12/27),63% (12/19),50% (4/8),0 km/h,0 km/h,27% (12/44),53% (17/32),8% (1/13),52% (24/46),38% (29/76),43% (53/122),2,1,50% (4/8),11% (1/9),29% (5/17),[],"['1', '1']",[],[],[],1.54
11.08.2024,Basile P.,2,,,,,,0,3,56%,58% (18/31),54% (13/24),40% (2/5),0 km/h,0 km/h,41% (11/27),78% (18/23),60% (6/10),56% (31/55),58% (29/50),57% (60/105),8,0,67% (6/9),67% (6/9),67% (12/18),"['2', '0', '4', '4', '6', '4']","['3', '1', '4', '2', '6', '2']",[],[],[],5.32
11.08.2024,Aboian V.,0,,,,,,3,1,54%,59% (16/27),22% (5/23),40% (4/10),0 km/h,0 km/h,42% (13/31),46% (11/24),60% (3/5),42% (21/50),44% (24/55),43% (45/105),2,0,33% (3/9),33% (3/9),33% (6/18),"['1', '2', '3', '2']","['2', '3']",[],[],[],1.14
16.07.2024,Simundza J.,2,,,,,,[],"['3', '2', '4', '3']","['1', '0']",[],[],1.54
16.07.2024,Basile P.,1,,,,,,"['4', '3', '6', '3']","['3', '3']","['2', '2']",[],[],2.36
19.06.2024,Oradini G.,2,,,,,,"['1', '1', '2', '2', '4', '2', '6', '2']","['2', '2', '4', '2']",[],[],[],1.20
19.06.2024,Basile P.,0,,,,,,"['1', '0', '2', '1']","['2', '1']",[],[],[],4.22
18.06.2024,Basile P.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['3', '1', '5', '3']",[],[],[],1.70
18.06.2024,Vatteroni L.,0,,,,,,"['1', '0']","['2', '3']",[],[],[],2.07
