Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.07.,Andrade da Silva L.,2,,,,,,"['2', '0', '6', '4']","['3', '3']","['2', '1', '5', '2']",[],[],1.45
29.01.2024,Villanueva G.,2,,,,,,0,3,58%,72% (23/32),57% (13/23),100% (7/7),48% (13/27),59% (20/34),36% (5/14),65% (36/55),54% (33/61),59% (69/116),6,0,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.11
29.01.2024,Yamacita F.,0,,,,,,2,8,44%,52% (14/27),41% (14/34),64% (9/14),28% (9/32),43% (10/23),0% (0/7),46% (28/61),35% (19/55),41% (47/116),4,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],5.96
23.08.2023,Becerra Otarola I. A.,2,,,,,,[],[],[],[],[],2.36
23.08.2023,Yamacita F.,0,,,,,,[],[],[],[],[],1.55
18.08.2023,Barreiros Reyes M.,2,,,,,,[],[],[],[],[],2.10
18.08.2023,Yamacita F.,0,,,,,,[],[],[],[],[],1.67
17.08.2023,Yamacita F.,2,,,,,,[],[],[],[],[],1.88
17.08.2023,Nunez D. A.,0,,,,,,[],[],[],[],[],1.83
15.08.2023,Yamacita F.,2,,,,,,[],[],[],[],[],1.13
15.08.2023,Corthey L. A.,0,,,,,,[],[],[],[],[],5.31
01.08.2023,Yamacita F.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.15
01.08.2023,Sada I.,0,,,,,,[],"['1', '3']",[],[],[],4.89
28.07.2023,Castagnola L.,2,,,,,,"['1', '0', '5', '4']","['1', '0']","['1', '0', '2', '1', '4', '3', '6', '3']",[],[],1.39
28.07.2023,Yamacita F.,1,,,,,,"['2', '2']","['1', '1', '6', '4']","['1', '1', '3', '3']",[],[],2.82
27.07.2023,Yamacita F.,2,,,,,,"['3', '1', '5', '1']","['1', '0']",[],[],[],1.93
27.07.2023,Bondioli F.,0,,,,,,[],[],[],[],[],1.78
26.07.2023,Yamacita F.,2,,,,,,"['2', '0', '4', '2', '5', '3']","['3', '1']",[],[],[],1.23
26.07.2023,Liucci F.,0,,,,,,"['2', '3', '3', '4']",[],[],[],[],3.83
19.07.2023,Pecci A.,2,,,,,,"['1', '2', '3', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.33
19.07.2023,Yamacita F.,0,,,,,,"['2', '0']",[],[],[],[],3.10
12.07.2023,Pennaforti G.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0', '5', '1']",[],[],[],1.45
12.07.2023,Yamacita F.,0,,,,,,[],"['1', '4', '2', '5']",[],[],[],2.59
05.07.2023,Castagnola L.,2,,,,,,"['2', '1']","['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],1.90
05.07.2023,Yamacita F.,1,,,,,,"['2', '2', '4', '2']",[],[],[],[],1.81
04.07.2023,Yamacita F.,2,,,,,,"['4', '2', '6', '2']","['2', '0', '3', '1', '5', '1']",[],[],[],-
04.07.2023,D'Agostino S.,0,,,,,,[],"['1', '2']",[],[],[],-
17.04.2023,Huertas Del Pino Cordova A.,2,,,,,,3,1,60%,68% (44/65),61% (27/44),63% (5/8),34% (20/58),50% (19/38),75% (3/4),65% (71/109),41% (39/96),54% (110/205),75% (12/16),25% (4/16),50% (16/32),[],"['3', '5']","['1', '1', '5', '3']",[],[],1.37
17.04.2023,Yamacita F.,1,,,,,,1,2,60%,66% (38/58),50% (19/38),25% (1/4),32% (21/65),39% (17/44),38% (3/8),59% (57/96),35% (38/109),46% (95/205),75% (12/16),25% (4/16),50% (16/32),[],"['2', '1', '4', '1']","['1', '0']",[],[],2.96
16.04.2023,Yamacita F.,2,,,,,,1,2,69%,75% (30/40),61% (11/18),100% (1/1),42% (13/31),50% (7/14),50% (3/6),71% (41/58),44% (20/45),59% (61/103),100% (9/9),38% (3/8),71% (12/17),"['2', '0', '6', '2']","['2', '0']",[],[],[],1.05
16.04.2023,Schenekenberg G.,0,,,,,,0,1,69%,58% (18/31),50% (7/14),50% (3/6),25% (10/40),39% (7/18),0% (0/1),56% (25/45),29% (17/58),41% (42/103),63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],8.40
15.01.2023,Sanchez Jover C.,2,,,,,,2,7,57%,67% (40/60),60% (27/45),85% (11/13),38% (24/64),54% (25/46),36% (5/14),64% (67/105),45% (49/110),54% (116/215),87% (13/15),36% (5/14),62% (18/29),"['5', '4']","['2', '0', '4', '2']","['3', '2', '5', '2']",[],[],1.08
15.01.2023,Yamacita F.,1,,,,,,1,7,58%,63% (40/64),46% (21/46),64% (9/14),33% (20/60),40% (18/45),15% (2/13),55% (61/110),36% (38/105),46% (99/215),64% (9/14),13% (2/15),38% (11/29),"['5', '5']","['1', '2']",[],[],[],7.00
