Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.05.,Hohmann R.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '4', '2']",[],[],[],1.40
25.10.2023,Corwin F.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '2', '3', '2', '4', '3']",[],[],[],1.25
25.10.2023,Segura M.,0,,,,,,"['1', '3']","['2', '0', '3', '3']",[],[],[],3.64
02.05.2023,Zhou Y.,2,,,,,,"['4', '4', '6', '4']","['2', '0', '6', '4']",[],[],[],2.36
02.05.2023,Segura M.,0,,,,,,"['4', '3']","['3', '4']",[],[],[],1.54
26.04.2023,Vale D.,2,,,,,,"['1', '0']","['3', '4']",[],[],[],1.12
26.04.2023,Segura M.,0,,,,,,[],"['3', '1']",[],[],[],5.50
14.04.2023,Bangoura S.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '0', '3', '0', '6', '3']",[],[],[],-
14.04.2023,Segura M.,0,,,,,,"['2', '4']","['2', '4']",[],[],[],-
01.03.2023,Paty D.,2,,,,,,"['1', '0', '2', '1', '4', '1']","['3', '2', '6', '5']",[],[],[],1.77
01.03.2023,Segura M.,0,,,,,,"['1', '1']","['3', '3', '6', '6']",[],[],[],1.94
09.02.2023,Bueno G.,1,,,,,,"['1', '0', '4', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.13
09.02.2023,Segura M.,0,,,,,,"['2', '4']",[],[],[],[],5.20
08.02.2023,Segura M.,2,,,,,,"['2', '0', '4', '0', '7', '5']","['1', '1', '5', '5']","['3', '1', '5', '3']",[],[],1.29
08.02.2023,Bonnaud A.,1,,,,,,"['2', '5', '4', '5']","['1', '0', '5', '4', '6', '5']","['3', '4']",[],[],3.34
27.01.2023,Perez A.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['5', '3']",[],[],[],1.11
27.01.2023,Segura M.,0,,,,,,"['1', '0']",[],[],[],[],5.80
26.01.2023,Segura M.,2,,,,,,"['1', '3']","['4', '4', '5', '5']","['1', '0', '4', '1', '6', '1']",[],[],4.56
26.01.2023,Nanda G.,1,,,,,,"['1', '0', '3', '0', '5', '2']","['4', '3', '5', '4']",[],[],[],1.17
25.01.2023,Segura M.,2,,,,,,"['3', '1', '6', '2']","['3', '5']","['3', '1', '4', '4', '7', '5']",[],[],3.64
25.01.2023,Bangoura S.,1,,,,,,[],"['3', '2', '5', '2']","['2', '3', '4', '3']",[],[],1.24
31.10.2022,Burruchaga R. A.,2,,,,,,2,5,73%,63% (24/38),43% (6/14),63% (5/8),53% (16/30),56% (10/18),86% (6/7),58% (30/52),54% (26/48),56% (56/100),67% (6/9),67% (6/9),67% (12/18),"['1', '2', '3', '4', '5', '4']","['1', '2', '3', '2', '5', '2']",[],[],[],1.03
31.10.2022,Segura M.,0,,,,,,0,3,63%,47% (14/30),44% (8/18),14% (1/7),37% (14/38),57% (8/14),38% (3/8),46% (22/48),42% (22/52),44% (44/100),33% (3/9),33% (3/9),33% (6/18),"['2', '0', '3', '1']","['2', '0']",[],[],[],10.50
27.04.2022,McNally J.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['4', '2']",[],[],[],-
27.04.2022,Segura M.,0,,,,,,[],[],[],[],[],-
20.04.2022,Pereira J.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.12
20.04.2022,Segura M.,0,,,,,,[],[],[],[],[],5.95
22.10.2021,Clark E.,2,,,,,,"['2', '1', '4', '5', '6', '5']","['1', '0', '2', '1', '5', '4']",[],[],[],1.13
22.10.2021,Segura M.,0,,,,,,"['3', '3', '5', '3']","['1', '1', '2', '2']",[],[],[],3.92
21.10.2021,Segura M.,1,,,,,,"['2', '1', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],3.66
21.10.2021,Young D.,0,,,,,,"['3', '3']",[],[],[],[],1.27
20.10.2021,Segura M.,2,,,,,,"['1', '1']","['4', '3', '6', '3']","['2', '0', '4', '0']",[],[],2.20
20.10.2021,Williams C.,1,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],[],1.65
15.01.2021,Lock B.,2,,,,,,"['1', '0', '3', '0']","['2', '3', '4', '3', '5', '4', '6', '5']",[],[],[],1.46
15.01.2021,Segura M.,0,,,,,,[],"['2', '0', '4', '4', '5', '5']",[],[],[],2.64
14.01.2021,Segura M.,2,,,,,,"['3', '5']","['2', '2', '3', '3', '6', '4']","['2', '0', '3', '1', '5', '3']",[],[],1.21
14.01.2021,Van Orderlain D.,1,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '2']","['1', '2', '2', '3']",[],[],4.28
11.01.2021,Segura M.,2,,,,,,"['4', '4', '6', '4']","['3', '1', '6', '2']",[],[],[],1.30
11.01.2021,Arh A.,0,,,,,,"['1', '0']",[],[],[],[],3.46
16.12.2020,Perego G.,2,,,,,,"['4', '5']","['4', '4']","['1', '0', '4', '3', '6', '3']",[],[],1.76
16.12.2020,Segura M.,1,,,,,,"['5', '3']","['1', '0']","['3', '3']",[],[],1.96
15.12.2020,Boyer D. H.,2,,,,,,"['4', '3', '6', '5']","['2', '1', '4', '3', '5', '4']",[],[],[],1.37
15.12.2020,Segura M.,0,,,,,,"['4', '4']","['2', '2', '4', '4']",[],[],[],2.98
14.12.2020,Segura M.,2,,,,,,"['1', '4']","['1', '1', '3', '3', '5', '3', '6', '4']","['5', '3']",[],[],1.71
14.12.2020,Bernard J.,1,,,,,,"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '2', '4', '5']",[],[],[],2.04
04.12.2019,Rocens M.,2,,,,,,"['1', '0', '3', '2']","['2', '2', '3', '3']","['2', '1', '4', '1']",[],[],2.25
04.12.2019,Segura M.,1,,,,,,"['1', '1']","['2', '1', '3', '2', '4', '3', '6', '3']",[],[],[],1.63
30.04.2019,Garanganga T.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '3', '2', '5', '2', '6', '3']",[],[],[],1.05
30.04.2019,Segura M.,0,,,,,,[],"['2', '2', '3', '5']",[],[],[],8.70
