Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.04.,Willwerth B.,0,,,,,,5,0,62%,64% (27/42),58% (15/26),40% (2/5),30% (17/56),48% (10/21),40% (2/5),62% (42/68),35% (27/77),48% (69/145),2,0,73% (8/11),18% (2/11),45% (10/22),"['1', '0']","['4', '4']",[],[],[],2.25
06.04.,Bicknell B.,2,,,,,,1,2,72%,67% (37/55),38% (8/21),71% (5/7),39% (18/46),71% (15/21),50% (5/10),59% (44/74),49% (33/67),55% (77/141),7,0,80% (8/10),50% (5/10),65% (13/20),"['2', '0', '5', '5', '7', '5']","['2', '0', '6', '2']",[],[],[],1.93
06.04.,Polmans M.,0,,,,,,1,6,69%,61% (28/46),29% (6/21),50% (5/10),33% (18/55),62% (13/21),29% (2/7),51% (34/67),41% (30/74),45% (64/141),3,1,50% (5/10),20% (2/10),35% (7/20),"['2', '3', '4', '3']",[],[],[],[],1.80
20.03.,Braithwaite T.,2,,,,,,[],"['1', '0', '6', '5']","['3', '2']",[],[],2.69
20.03.,Polmans M.,1,,,,,,[],"['2', '2']",[],[],[],1.42
18.03.,Polmans M.,2,,,,,,"['4', '3']","['4', '3', '6', '3']",[],[],[],-
18.03.,Bruce-Smith J.,0,,,,,,[],[],[],[],[],-
07.01.,Royer V.,2,,,,,,11,2,65%,85% (28/33),50% (9/18),100% (2/2),43% (9/21),64% (9/14),80% (4/5),26,13,71% (5/7),73% (37/51),51% (18/35),64% (55/86),6,0,100% (8/8),57% (4/7),80% (12/15),"['5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.34
07.01.,Polmans M.,0,,,,,,4,3,60%,57% (12/21),36% (5/14),20% (1/5),15% (5/33),50% (9/18),0% (0/2),7,15,0% (0/1),49% (17/35),27% (14/51),36% (31/86),4,3,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],3.26
12.11.2024,Watanuki Y.,1,,,,,,7,5,44%,88% (15/17),41% (9/22),0% (0/1),46% (13/28),36% (4/11),50% (2/4),62% (24/39),44% (17/39),53% (41/78),7,0,83% (5/6),33% (2/6),58% (7/12),"['1', '0', '6', '5']",[],[],[],[],1.19
12.11.2024,Polmans M.,0,,,,,,0,3,72%,54% (15/28),64% (7/11),50% (2/4),12% (2/17),59% (13/22),100% (1/1),56% (22/39),38% (15/39),47% (37/78),3,0,67% (4/6),17% (1/6),42% (5/12),"['2', '2']",[],[],[],[],4.36
30.10.2024,Shiraishi H.,2,,,,,,1,4,69%,66% (35/53),42% (10/24),67% (6/9),40% (20/50),59% (22/37),40% (6/15),58% (45/77),48% (42/87),53% (87/164),7,0,75% (9/12),50% (6/12),63% (15/24),"['3', '4']","['2', '0', '5', '1']","['1', '2', '3', '2', '5', '2']",[],[],4.02
30.10.2024,Polmans M.,1,,,,,,4,10,57%,60% (30/50),41% (15/37),60% (9/15),34% (18/53),58% (14/24),33% (3/9),52% (45/87),42% (32/77),47% (77/164),3,1,50% (6/12),25% (3/12),38% (9/24),"['2', '0', '5', '3']",[],"['2', '0']",[],[],1.22
28.10.2024,Polmans M.,2,,,,,,5,0,76%,81% (26/32),80% (8/10),0% (0/0),53% (20/38),44% (8/18),36% (4/11),81% (34/42),50% (28/56),63% (62/98),8,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '4', '1']","['3', '2', '5', '2']",[],[],[],1.33
28.10.2024,Winter E.,0,,,,,,1,0,68%,47% (18/38),56% (10/18),64% (7/11),19% (6/32),20% (2/10),0% (0/0),50% (28/56),19% (8/42),37% (36/98),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.14
26.10.2024,Shimizu Y.,2,,,,,,5,1,55%,85% (22/26),48% (10/21),50% (1/2),56% (15/27),64% (7/11),63% (5/8),68% (32/47),58% (22/38),64% (54/85),8,0,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['3', '3', '5', '3']",[],[],[],1.73
26.10.2024,Polmans M.,0,,,,,,1,1,71%,44% (12/27),36% (4/11),38% (3/8),15% (4/26),52% (11/21),50% (1/2),42% (16/38),32% (15/47),36% (31/85),2,0,29% (2/7),13% (1/8),20% (3/15),[],"['3', '2']",[],[],[],2.01
25.10.2024,Polmans M.,2,,,,,,5,2,67%,65% (39/60),41% (12/29),50% (5/10),36% (20/56),58% (15/26),71% (5/7),57% (51/89),43% (35/82),50% (86/171),8,0,64% (9/14),36% (5/14),50% (14/28),"['1', '0']","['2', '1', '5', '2']","['3', '4', '5', '4']",[],[],2.23
25.10.2024,Mochizuki S.,1,,,,,,2,6,68%,64% (36/56),42% (11/26),29% (2/7),35% (21/60),59% (17/29),50% (5/10),57% (47/82),43% (38/89),50% (85/171),2,0,64% (9/14),36% (5/14),50% (14/28),"['1', '1', '4', '2', '6', '2']","['3', '5']","['4', '2']",[],[],1.61
23.10.2024,Polmans M.,2,,,,,,3,8,67%,72% (50/69),38% (13/34),63% (5/8),37% (24/65),44% (14/32),50% (4/8),61% (63/103),39% (38/97),51% (101/200),8,0,79% (11/14),27% (4/15),52% (15/29),"['2', '4', '5', '5']",[],"['2', '0', '6', '2']",[],[],1.23
23.10.2024,Imai S.,1,,,,,,4,1,67%,63% (41/65),56% (18/32),50% (4/8),28% (19/69),62% (21/34),38% (3/8),61% (59/97),39% (40/103),50% (99/200),2,0,73% (11/15),21% (3/14),48% (14/29),"['2', '1', '4', '1']","['4', '2']",[],[],[],3.90
21.10.2024,Polmans M.,2,,,,,,5,7,59%,57% (31/54),49% (18/37),50% (6/12),49% (29/59),40% (16/40),43% (6/14),54% (49/91),45% (45/99),49% (94/190),6,0,57% (8/14),43% (6/14),50% (14/28),"['1', '0']","['1', '0', '4', '3']","['2', '3', '3', '4', '5', '4']",[],[],1.09
21.10.2024,Tkemaladze Z.,1,,,,,,3,2,60%,51% (30/59),60% (24/40),57% (8/14),43% (23/54),51% (19/37),50% (6/12),55% (54/99),46% (42/91),51% (96/190),4,2,57% (8/14),43% (6/14),50% (14/28),"['1', '1', '4', '2', '6', '2']","['3', '3']","['2', '0', '4', '2']",[],[],6.57
13.10.2024,Jasika O.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '4', '1']",[],[],[],2.07
13.10.2024,Polmans M.,0,,,,,,[],"['1', '3', '3', '5']",[],[],[],1.69
12.10.2024,Polmans M.,2,,,,,,"['2', '1']","['2', '5']","['1', '0']",[],[],1.28
12.10.2024,Ellis B.,1,,,,,,[],"['3', '1', '5', '1', '6', '2']","['3', '3']",[],[],3.40
11.10.2024,Polmans M.,2,,,,,,"['3', '1']","['3', '2', '5', '2']",[],[],[],1.13
11.10.2024,Bouzige M.,0,,,,,,[],[],[],[],[],5.32
10.10.2024,Polmans M.,1,,,,,,"['2', '1', '5', '2']","['2', '1']",[],[],[],1.06
10.10.2024,Gaal C.,0,,,,,,[],[],[],[],[],7.50
08.10.2024,Polmans M.,2,,,,,,"['1', '0', '4', '1']",[],[],[],[],1.03
08.10.2024,Winter H.,0,,,,,,[],[],[],[],[],9.75
