Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.06.,Trotter J. K.,2,,,,,,6,2,66%,84% (36/43),50% (11/22),75% (3/4),41% (27/66),42% (8/19),25% (2/8),17,13,71% (10/14),72% (47/65),41% (35/85),55% (82/150),6,0,91% (10/11),18% (2/11),55% (12/22),5,"['5', '3']","['5', '4']",[],[],[],1.38
23.06.,Hemery C.,0,,,,,,6,1,78%,59% (39/66),58% (11/19),75% (6/8),16% (7/43),50% (11/22),25% (1/4),24,23,55% (22/40),59% (50/85),28% (18/65),45% (68/150),4,0,82% (9/11),9% (1/11),45% (10/22),3,"['4', '5']",[],[],[],[],3.04
18.06.,Couacaud E.,2,,,,,,3,1,42%,74% (29/39),58% (31/53),91% (10/11),36% (14/39),38% (15/39),50% (2/4),65% (60/92),37% (29/78),52% (89/170),6,0,91% (10/11),18% (2/11),55% (12/22),"['2', '1']","['3', '4']",[],[],[],2.66
18.06.,Hemery C.,0,,,,,,9,2,50%,64% (25/39),62% (24/39),50% (2/4),26% (10/39),42% (22/53),9% (1/11),63% (49/78),35% (32/92),48% (81/170),4,1,82% (9/11),9% (1/11),45% (10/22),[],"['2', '0']",[],[],[],1.44
16.06.,Hemery C.,2,,,,,,2,2,60%,81% (25/31),52% (11/21),100% (2/2),42% (10/24),53% (17/32),57% (4/7),69% (36/52),48% (27/56),58% (63/108),7,0,100% (8/8),44% (4/9),71% (12/17),"['3', '2', '5', '2']","['2', '1', '6', '3']",[],[],[],1.15
16.06.,Stebe C.,0,,,,,,0,2,43%,58% (14/24),47% (15/32),43% (3/7),19% (6/31),48% (10/21),0% (0/2),52% (29/56),31% (16/52),42% (45/108),3,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],4.90
10.06.,Tabur C.,2,,,,,,3,2,67%,86% (31/36),50% (9/18),100% (1/1),33% (9/27),53% (16/30),50% (3/6),74% (40/54),44% (25/57),59% (65/111),5,0,100% (9/9),33% (3/9),67% (12/18),"['3', '2']","['1', '0', '3', '0']",[],[],[],1.89
10.06.,Hemery C.,0,,,,,,2,4,47%,67% (18/27),47% (14/30),50% (3/6),14% (5/36),50% (9/18),0% (0/1),56% (32/57),26% (14/54),41% (46/111),5,3,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.83
20.05.,Mmoh M.,2,,,,,,9,2,79%,75% (63/84),35% (8/23),71% (5/7),196 km/h,158 km/h,31% (25/80),57% (24/42),27% (4/15),42,31,81% (22/27),66% (71/107),40% (49/122),52% (120/229),6,0,88% (15/17),25% (4/16),58% (19/33),"['5', '4']","['4', '2', '7', '5']","['4', '2']",[],[],2.85
20.05.,Hemery C.,1,,,,,,9,5,66%,69% (55/80),43% (18/42),73% (11/15),197 km/h,176 km/h,25% (21/84),65% (15/23),29% (2/7),43,47,61% (25/41),60% (73/122),34% (36/107),48% (109/229),4,0,75% (12/16),12% (2/17),42% (14/33),"['5', '5']","['3', '4']",[],[],[],1.41
15.05.,Shevchenko A.,2,,,,,,6,1,78%,89% (40/45),31% (4/13),100% (4/4),26% (10/38),63% (10/16),40% (2/5),23,14,83% (5/6),76% (44/58),37% (20/54),57% (64/112),6,0,100% (10/10),22% (2/9),63% (12/19),"['5', '3']","['1', '0']",[],[],[],1.42
15.05.,Hemery C.,0,,,,,,5,3,70%,74% (28/38),38% (6/16),60% (3/5),11% (5/45),69% (9/13),0% (0/4),18,19,67% (8/12),63% (34/54),24% (14/58),43% (48/112),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.73
14.05.,Hemery C.,2,,,,,,14,3,66%,79% (38/48),56% (14/25),50% (2/4),23% (12/53),49% (19/39),33% (3/9),28,19,73% (11/15),70% (54/77),34% (31/92),50% (85/169),6,0,87% (13/15),20% (3/15),53% (16/30),"['1', '0', '6', '5']",[],"['4', '2']",[],[],2.23
14.05.,Kovacevic A.,1,,,,,,10,10,58%,77% (41/53),51% (20/39),67% (6/9),21% (10/48),44% (11/25),50% (2/4),35,31,80% (4/5),66% (61/92),30% (23/77),50% (84/169),4,0,80% (12/15),13% (2/15),47% (14/30),"['2', '2']","['3', '1']",[],[],[],1.61
13.05.,Hemery C.,2,,,,,,7,0,67%,79% (30/38),53% (10/19),100% (4/4),16% (5/31),67% (16/24),50% (3/6),27,16,71% (12/17),70% (40/57),38% (21/55),54% (61/112),5,0,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '4', '1']","['1', '0']",[],[],[],1.69
13.05.,Blancaneaux G.,0,,,,,,2,6,56%,84% (26/31),33% (8/24),50% (3/6),21% (8/38),47% (9/19),0% (0/4),22,19,85% (11/13),62% (34/55),30% (17/57),46% (51/112),5,2,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.07
12.05.,Hemery C.,2,,,,,,7,8,65%,71% (51/72),51% (20/39),75% (9/12),27% (12/44),44% (23/52),50% (4/8),26,36,56% (10/18),64% (71/111),36% (35/96),51% (106/207),6,0,81% (13/16),25% (4/16),53% (17/32),[],"['3', '4', '5', '4']","['2', '1', '5', '4']",[],[],1.38
12.05.,Kouame M.,1,,,,,,7,5,46%,73% (32/44),56% (29/52),50% (4/8),29% (21/72),49% (19/39),25% (3/12),41,45,65% (13/20),64% (61/96),36% (40/111),49% (101/207),4,0,75% (12/16),19% (3/16),47% (15/32),"['7', '5']","['2', '0']","['3', '3']",[],[],2.89
07.05.,Budkov Kjaer N.,2,,,,,,1,0,52%,65% (15/23),62% (13/21),60% (3/5),43% (13/30),71% (25/35),46% (6/13),8,14,100% (3/3),64% (28/44),58% (38/65),61% (66/109),9,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '2', '1', '4', '1']","['2', '3', '4', '3', '6', '3']",[],[],[],1.69
07.05.,Hemery C.,0,,,,,,0,4,46%,57% (17/30),29% (10/35),54% (7/13),35% (8/23),38% (8/21),40% (2/5),14,38,67% (6/9),42% (27/65),36% (16/44),39% (43/109),1,1,33% (3/9),25% (2/8),29% (5/17),"['1', '1']","['3', '1']",[],[],[],2.07
