Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.08.,Boitan G. A.,2,,,,,,"['4', '2']","['1', '0', '4', '5', '6', '5']",[],[],[],1.74
18.06.,Papoe R. M.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '5', '1']",[],[],[],1.12
18.06.,Konov S.,0,,,,,,[],[],[],[],[],5.30
28.05.,Marti Pujolras A.,2,,,,,,"['1', '0', '3', '2', '5', '4']",[],"['1', '1', '3', '3', '5', '3']",[],[],1.62
28.05.,Papoe R. M.,1,,,,,,"['1', '1', '4', '4']","['5', '3']","['1', '0', '2', '1']",[],[],2.18
08.01.,Dostanic S.,2,,,,,,"['1', '0', '4', '1', '6', '3']","['2', '0']",[],[],[],1.39
08.01.,Papoe R. M.,0,,,,,,"['2', '4']",[],[],[],[],2.81
14.11.2024,Nakashima B.,2,,,,,,"['3', '1', '4', '4']","['2', '1', '4', '3', '6', '5']",[],[],[],5.37
14.11.2024,Papoe R. M.,0,,,,,,"['2', '3', '4', '3']","['2', '2', '5', '5']",[],[],[],1.13
13.11.2024,Papoe R. M.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.07
13.11.2024,Thayne W.,0,,,,,,[],[],[],[],[],7.26
28.10.2024,Ilagan A.,2,,,,,,3,3,56%,74% (20/27),62% (13/21),0% (0/1),54% (14/26),53% (8/15),71% (5/7),69% (33/48),54% (22/41),62% (55/89),5,0,88% (7/8),63% (5/8),75% (12/16),"['2', '0', '5', '1']","['1', '0', '3', '0', '6', '3']",[],[],[],1.89
28.10.2024,Papoe R. M.,0,,,,,,1,0,63%,46% (12/26),47% (7/15),29% (2/7),26% (7/27),38% (8/21),100% (1/1),46% (19/41),31% (15/48),38% (34/89),5,3,38% (3/8),13% (1/8),25% (4/16),[],"['3', '5']",[],[],[],1.83
27.10.2024,Papoe R. M.,2,,,,,,1,2,68%,57% (33/58),48% (13/27),44% (4/9),46% (23/50),50% (18/36),38% (5/13),54% (46/85),48% (41/86),51% (87/171),6,0,58% (7/12),42% (5/12),50% (12/24),"['2', '3']","['1', '3', '3', '5', '5', '5', '6', '6']",[],[],[],1.96
27.10.2024,McHugh A.,0,,,,,,3,4,58%,54% (27/50),50% (18/36),62% (8/13),43% (25/58),52% (14/27),56% (5/9),52% (45/86),46% (39/85),49% (84/171),4,0,58% (7/12),42% (5/12),50% (12/24),"['2', '0']","['1', '0', '3', '0', '5', '2', '6', '5']",[],[],[],1.77
16.09.2024,Cassone M.,2,,,,,,6,3,63%,71% (29/41),46% (11/24),25% (1/4),38% (18/48),63% (15/24),44% (4/9),62% (40/65),46% (33/72),53% (73/137),6,0,73% (8/11),36% (4/11),55% (12/22),"['1', '0', '3', '0', '5', '0']",[],"['1', '0']",[],[],1.60
16.09.2024,Papoe R. M.,1,,,,,,1,3,67%,63% (30/48),38% (9/24),56% (5/9),29% (12/41),54% (13/24),75% (3/4),54% (39/72),38% (25/65),47% (64/137),4,0,64% (7/11),27% (3/11),45% (10/22),[],"['2', '0', '4', '0', '6', '0']",[],[],[],2.26
15.09.2024,Papoe R. M.,2,,,,,,0,1,69%,63% (41/65),59% (17/29),73% (8/11),34% (17/50),54% (21/39),57% (4/7),62% (58/94),43% (38/89),52% (96/183),6,0,79% (11/14),29% (4/14),54% (15/28),"['2', '1']","['4', '2']","['1', '0', '5', '4']",[],[],1.64
15.09.2024,Kim A.,1,,,,,,6,5,56%,66% (33/50),46% (18/39),43% (3/7),37% (24/65),41% (12/29),27% (3/11),57% (51/89),38% (36/94),48% (87/183),4,1,71% (10/14),21% (3/14),46% (13/28),"['2', '2', '4', '2']",[],"['1', '1']",[],[],2.20
11.08.2024,Papoe R. M.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.20
11.08.2024,Andreescu S. A.,0,,,,,,[],[],[],[],[],4.17
10.08.2024,Papoe R. M.,2,,,,,,"['1', '4', '3', '4', '5', '4']","['1', '0', '2', '1', '4', '1']",[],[],[],1.35
10.08.2024,Ferrari F.,0,,,,,,"['2', '0', '4', '0']","['1', '1', '2', '4']",[],[],[],3.02
09.08.2024,Papoe R. M.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.04
09.08.2024,Misasi G.,0,,,,,,[],[],[],[],[],9.10
08.08.2024,Papoe R. M.,2,,,,,,"['2', '2']","['2', '1', '5', '2']",[],[],[],1.01
08.08.2024,Chayka A.,0,,,,,,"['1', '0']",[],[],[],[],12.20
07.08.2024,Papoe R. M.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.01
07.08.2024,Golescu R. A.,0,,,,,,[],[],[],[],[],11.70
01.08.2024,Marti Pujolras A.,2,,,,,,"['4', '5']","['3', '3', '6', '4']","['2', '2', '5', '3']",[],[],2.47
01.08.2024,Papoe R. M.,1,,,,,,"['5', '3']","['1', '0']","['2', '1']",[],[],1.50
31.07.2024,Papoe R. M.,2,,,,,,"['4', '2', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.32
31.07.2024,Gima S.,0,,,,,,[],[],[],[],[],3.18
