20.10.2024,Berankis R.,0,,,,,,2,4,57%,67% (20/30),57% (13/23),25% (1/4),23% (9/40),47% (7/15),100% (1/1),62% (33/53),29% (16/55),45% (49/108),2,2,70% (7/10),10% (1/10),40% (8/20),[],"['2', '2']",[],[],[],1.29
13.10.2024,Pavel B.,2,,,,,,20,1,56%,82% (47/57),44% (20/45),67% (6/9),21% (12/57),56% (28/50),50% (5/10),66% (67/102),37% (40/107),51% (107/209),9,0,82% (14/17),29% (5/17),56% (19/34),"['5', '5']","['1', '0', '3', '0']","['4', '5', '6', '5']",[],[],4.51
13.10.2024,Gautier A.,1,,,,,,12,3,53%,79% (45/57),44% (22/50),50% (5/10),18% (10/57),56% (25/45),33% (3/9),63% (67/107),34% (35/102),49% (102/209),1,0,71% (12/17),18% (3/17),44% (15/34),"['2', '1']","['2', '4']","['5', '3']",[],[],1.18
06.10.2024,Sels J.,2,,,,,,3,4,57%,88% (28/32),67% (16/24),0% (0/0),18% (7/39),65% (17/26),33% (2/6),79% (44/56),37% (24/65),56% (68/121),7,0,100% (11/11),20% (2/10),62% (13/21),"['7', '5']","['5', '3']",[],[],[],1.34
06.10.2024,Gautier A.,0,,,,,,11,4,60%,82% (32/39),35% (9/26),67% (4/6),13% (4/32),33% (8/24),0% (0/0),63% (41/65),21% (12/56),44% (53/121),3,1,80% (8/10),0% (0/11),38% (8/21),[],[],[],[],[],3.23
03.10.2024,Sels J.,2,,,,,,3,1,78%,71% (41/58),69% (11/16),80% (4/5),28% (13/47),43% (9/21),29% (2/7),70% (52/74),32% (22/68),52% (74/142),5,0,91% (10/11),18% (2/11),55% (12/22),"['4', '2']","['2', '1']",[],[],[],1.30
03.10.2024,Gautier A.,0,,,,,,7,2,69%,72% (34/47),57% (12/21),71% (5/7),29% (17/58),31% (5/16),20% (1/5),68% (46/68),30% (22/74),48% (68/142),5,0,82% (9/11),9% (1/11),45% (10/22),"['4', '5']",[],[],[],[],3.07
02.10.2024,Gautier A.,2,,,,,,11,2,68%,80% (35/44),57% (12/21),100% (2/2),31% (17/55),52% (17/33),22% (2/9),72% (47/65),39% (34/88),53% (81/153),5,0,100% (11/11),18% (2/11),59% (13/22),"['6', '5']","['3', '2']",[],[],[],3.35
02.10.2024,Masur D.,0,,,,,,1,5,63%,69% (38/55),48% (16/33),78% (7/9),20% (9/44),43% (9/21),0% (0/2),61% (54/88),28% (18/65),47% (72/153),5,1,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],1.30
30.09.2024,Gadamauri B.,2,,,,,,4,0,60%,82% (42/51),68% (23/34),67% (2/3),28% (23/82),55% (23/42),22% (2/9),76% (65/85),37% (46/124),53% (111/209),6,1,93% (13/14),13% (2/15),52% (15/29),"['2', '1', '4', '1']",[],[],[],[],1.67
30.09.2024,Gautier A.,1,,,,,,12,2,66%,72% (59/82),45% (19/42),78% (7/9),18% (9/51),32% (11/34),33% (1/3),63% (78/124),24% (20/85),47% (98/209),4,0,87% (13/15),7% (1/14),48% (14/29),[],"['2', '0']",[],[],[],2.12
29.09.2024,Gautier A.,2,,,,,,6,1,66%,76% (34/45),39% (9/23),50% (3/6),35% (18/52),59% (10/17),80% (4/5),63% (43/68),41% (28/69),52% (71/137),7,0,75% (9/12),33% (4/12),54% (13/24),[],"['2', '0', '4', '0']","['3', '2', '5', '4']",[],[],3.20
29.09.2024,Lamasine T.,1,,,,,,3,2,75%,65% (34/52),41% (7/17),20% (1/5),24% (11/45),61% (14/23),50% (3/6),59% (41/69),37% (25/68),48% (66/137),3,0,67% (8/12),25% (3/12),46% (11/24),"['3', '1', '5', '1']",[],"['3', '3']",[],[],1.32
22.09.2024,Coulibaly E.,2,,,,,,6,4,53%,84% (27/32),46% (13/28),89% (8/9),37% (11/30),71% (17/24),44% (4/9),67% (40/60),52% (28/54),60% (68/114),5,0,89% (8/9),50% (4/8),71% (12/17),"['3', '1', '6', '4']","['2', '0', '4', '0']",[],[],[],1.36
22.09.2024,Gautier A.,0,,,,,,5,4,56%,63% (19/30),29% (7/24),56% (5/9),16% (5/32),54% (15/28),11% (1/9),48% (26/54),33% (20/60),40% (46/114),5,2,50% (4/8),11% (1/9),29% (5/17),"['3', '4']",[],[],[],[],2.99
18.09.2024,Damm M.,2,,,,,,5,1,62%,65% (24/37),70% (16/23),100% (3/3),46% (11/24),39% (7/18),80% (4/5),67% (40/60),43% (18/42),57% (58/102),8,0,100% (8/8),50% (4/8),75% (12/16),"['4', '2', '6', '2']","['2', '0', '6', '2']",[],[],[],1.14
18.09.2024,Gautier A.,0,,,,,,4,4,57%,54% (13/24),61% (11/18),20% (1/5),35% (13/37),30% (7/23),0% (0/3),57% (24/42),33% (20/60),43% (44/102),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],5.32
16.09.2024,Broom C.,2,,,,,,5,0,60%,80% (20/25),76% (13/17),0% (0/0),43% (13/30),54% (19/35),44% (4/9),79% (33/42),49% (32/65),61% (65/107),6,0,100% (8/8),50% (4/8),75% (12/16),"['2', '0', '5', '1']","['2', '1', '6', '3']",[],[],[],1.21
16.09.2024,Gautier A.,0,,,,,,6,6,46%,57% (17/30),46% (16/35),56% (5/9),20% (5/25),24% (4/17),0% (0/0),51% (33/65),21% (9/42),39% (42/107),4,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],4.21
15.09.2024,Gautier A.,2,,,,,,7,1,67%,96% (23/24),75% (9/12),0% (0/0),41% (16/39),58% (14/24),36% (4/11),89% (32/36),48% (30/63),63% (62/99),6,0,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '5', '2']","['1', '0', '3', '0']",[],[],[],1.44
15.09.2024,Aubriot A.,0,,,,,,4,3,62%,59% (23/39),42% (10/24),64% (7/11),4% (1/24),25% (3/12),0% (0/0),52% (33/63),11% (4/36),37% (37/99),4,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.69
10.09.2024,Philippov E.,2,,,,,,"['1', '0', '5', '2']","['3', '2', '5', '2']",[],[],[],-
10.09.2024,Gautier A.,0,,,,,,[],[],[],[],[],-
05.09.2024,Jones B.,2,,,,,,"['4', '2', '6', '4']","['3', '1', '5', '1']",[],[],[],2.06
05.09.2024,Gautier A.,0,,,,,,"['3', '4']",[],[],[],[],1.69
03.09.2024,Gautier A.,2,,,,,,"['4', '3', '5', '4']","['2', '1']",[],[],[],1.12
03.09.2024,Ponchet M.,0,,,,,,"['4', '4']",[],[],[],[],5.56
26.08.2024,Edmund K.,2,,,,,,7,2,66%,74% (29/39),45% (9/20),50% (2/4),0 km/h,0 km/h,36% (10/28),53% (17/32),67% (4/6),64% (38/59),45% (27/60),55% (65/119),4,0,80% (8/10),44% (4/9),63% (12/19),"['1', '1', '2', '2', '4', '2']","['3', '2']",[],[],[],1.38
26.08.2024,Gautier A.,0,,,,,,8,5,47%,64% (18/28),47% (15/32),33% (2/6),0 km/h,0 km/h,26% (10/39),55% (11/20),50% (2/4),55% (33/60),36% (21/59),45% (54/119),6,2,56% (5/9),20% (2/10),37% (7/19),"['1', '0', '2', '1']",[],[],[],[],2.93
12.08.2024,Ursu V.,2,,,,,,8,5,58%,65% (35/54),51% (20/39),67% (10/15),0 km/h,0 km/h,38% (16/42),67% (36/54),44% (8/18),59% (55/93),54% (52/96),57% (107/189),6,0,64% (9/14),57% (8/14),61% (17/28),"['1', '2', '2', '3']","['2', '3', '4', '3', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],1.41
12.08.2024,Gautier A.,1,,,,,,0,19,44%,62% (26/42),33% (18/54),56% (10/18),0 km/h,0 km/h,35% (19/54),49% (19/39),33% (5/15),46% (44/96),41% (38/93),43% (82/189),4,0,43% (6/14),36% (5/14),39% (11/28),"['2', '0', '3', '1', '6', '4']","['2', '0', '4', '4']",[],[],[],2.62
28.07.2024,Reymond A.,2,,,,,,11,1,51%,91% (21/23),73% (16/22),0% (0/0),36% (9/25),54% (14/26),43% (3/7),82% (37/45),45% (23/51),63% (60/96),5,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '5', '1']","['4', '3']",[],[],[],2.24
28.07.2024,Gautier A.,0,,,,,,6,8,49%,64% (16/25),46% (12/26),57% (4/7),9% (2/23),27% (6/22),0% (0/0),55% (28/51),18% (8/45),38% (36/96),5,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.61
23.07.2024,Damas M.,2,,,,,,7,4,72%,70% (49/70),59% (16/27),78% (7/9),23% (12/52),59% (30/51),30% (3/10),67% (65/97),41% (42/103),54% (107/200),6,0,87% (13/15),20% (3/15),53% (16/30),"['2', '0']",[],"['1', '0', '3', '0']",[],[],1.41
23.07.2024,Gautier A.,1,,,,,,16,9,50%,77% (40/52),41% (21/51),70% (7/10),30% (21/70),41% (11/27),22% (2/9),59% (61/103),33% (32/97),47% (93/200),4,0,80% (12/15),13% (2/15),47% (14/30),"['2', '3', '5', '4']",[],[],[],[],2.75
16.07.2024,Lokoli L.,2,,,,,,0,3,64%,66% (29/44),60% (15/25),50% (2/4),29% (8/28),56% (15/27),67% (4/6),64% (44/69),42% (23/55),54% (67/124),7,0,82% (9/11),40% (4/10),62% (13/21),"['2', '0', '4', '2']","['4', '3', '6', '5']",[],[],[],1.29
16.07.2024,Gautier A.,0,,,,,,8,12,51%,71% (20/28),44% (12/27),33% (2/6),34% (15/44),40% (10/25),50% (2/4),58% (32/55),36% (25/69),46% (57/124),3,1,60% (6/10),18% (2/11),38% (8/21),"['1', '2']","['5', '5']",[],[],[],3.43
