Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,La Serna J. M.,2,,,,,,"['2', '1', '6', '3']",[],"['2', '0', '6', '2']",[],[],1.26
17.11.2024,Escurra Isnardi H. J.,2,,,,,,11,2,62%,95% (37/39),54% (13/24),0% (0/0),22% (8/37),42% (8/19),100% (1/1),79% (50/63),29% (16/56),55% (66/119),10,0,100% (11/11),10% (1/10),57% (12/21),"['3', '1']",[],[],[],[],8.75
17.11.2024,Londero J. I.,0,,,,,,5,4,66%,78% (29/37),58% (11/19),0% (0/1),5% (2/39),46% (11/24),0% (0/0),71% (40/56),21% (13/63),45% (53/119),0,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],1.05
13.11.2024,Justo G. I.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.14
13.11.2024,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],5.10
03.10.2024,Gimenez I.,2,,,,,,"['1', '0']","['4', '3']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],1.29
03.10.2024,Escurra Isnardi H. J.,1,,,,,,[],"['4', '4', '7', '5']","['1', '5']",[],[],3.32
02.10.2024,Escurra Isnardi H. J.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.59
02.10.2024,Valente R.,0,,,,,,"['1', '2']",[],[],[],[],2.24
25.09.2024,Basel V.,2,,,,,,[],"['5', '3']","['4', '3']",[],[],1.62
25.09.2024,Escurra Isnardi H. J.,1,,,,,,[],[],[],[],[],2.18
18.09.2024,Yamacita F.,2,,,,,,"['1', '0']","['3', '2', '6', '3']",[],[],[],1.83
18.09.2024,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],1.83
17.09.2024,Escurra Isnardi H. J.,2,,,,,,[],"['5', '3']","['1', '0']",[],[],6.66
17.09.2024,Boscardin Dias P.,1,,,,,,"['3', '2', '5', '2']",[],[],[],[],1.10
07.08.2024,Paardekooper S.,2,,,,,,"['1', '0']","['1', '0', '4', '1']",[],[],[],1.45
07.08.2024,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],2.62
01.08.2024,Falabella L. A.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['4', '5', '6', '5']",[],[],[],1.27
01.08.2024,Escurra Isnardi H. J.,0,,,,,,"['2', '2']","['3', '1']",[],[],[],3.51
30.07.2024,Escurra Isnardi H. J.,2,,,,,,"['4', '3']","['4', '3']",[],[],[],1.64
30.07.2024,Kalender A.,0,,,,,,[],[],[],[],[],2.17
23.07.2024,Miletich I.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '5', '1']",[],[],[],1.43
23.07.2024,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],2.68
22.06.2024,Bertran P.,2,,,,,,"['1', '0']","['2', '1', '6', '3']",[],[],[],-
22.06.2024,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],-
21.06.2024,Escurra Isnardi H. J.,2,,,,,,"['3', '2', '6', '3']","['2', '0']",[],[],[],-
21.06.2024,Crespo Piedra R.,0,,,,,,[],[],[],[],[],-
20.03.2024,Fonseca J.,2,,,,,,4,0,72%,78% (32/41),75% (12/16),100% (1/1),23% (7/31),61% (17/28),67% (2/3),77% (44/57),41% (24/59),59% (68/116),5,0,100% (8/8),29% (2/7),67% (10/15),"['3', '1', '6', '1']","['1', '0']",[],[],[],1.08
20.03.2024,Escurra Isnardi H. J.,0,,,,,,3,4,53%,77% (24/31),39% (11/28),33% (1/3),24% (10/41),25% (4/16),0% (0/1),59% (35/59),23% (13/57),41% (48/116),5,0,71% (5/7),0% (0/8),33% (5/15),"['3', '6']",[],[],[],[],7.13
18.03.2024,Escurra Isnardi H. J.,2,,,,,,5,3,62%,72% (41/57),51% (18/35),75% (6/8),36% (21/58),38% (10/26),50% (3/6),64% (59/92),37% (31/84),51% (90/176),6,0,87% (13/15),21% (3/14),55% (16/29),"['1', '1']","['6', '4']","['3', '1']",[],[],7.65
18.03.2024,Olivieri G. A.,1,,,,,,3,3,69%,64% (37/58),62% (16/26),50% (3/6),28% (16/57),49% (17/35),25% (2/8),63% (53/84),36% (33/92),49% (86/176),4,1,79% (11/14),13% (2/15),45% (13/29),"['1', '0', '4', '3']",[],[],[],[],1.07
20.09.2023,Arutiunian E.,2,,,,,,[],[],[],[],[],1.53
20.09.2023,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],2.38
30.08.2023,Rodriguez L. J.,2,,,,,,[],[],[],[],[],1.09
30.08.2023,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],6.54
03.07.2023,Vallejo D.,2,,,,,,1,5,53%,78% (21/27),63% (15/24),67% (2/3),32% (12/38),72% (18/25),67% (4/6),71% (36/51),48% (30/63),58% (66/114),89% (8/9),44% (4/9),67% (12/18),"['3', '2', '4', '3']","['3', '2', '5', '2']",[],[],[],1.05
03.07.2023,Escurra Isnardi H. J.,0,,,,,,3,1,60%,68% (26/38),28% (7/25),33% (2/6),22% (6/27),38% (9/24),33% (1/3),52% (33/63),29% (15/51),42% (48/114),56% (5/9),11% (1/9),33% (6/18),"['3', '3']",[],[],[],[],8.65
02.07.2023,Escurra Isnardi H. J.,2,,,,,,1,3,61%,64% (30/47),57% (17/30),50% (4/8),43% (20/47),44% (11/25),56% (5/9),61% (47/77),43% (31/72),52% (78/149),69% (9/13),42% (5/12),56% (14/25),[],"['2', '2', '4', '2', '5', '3']","['3', '2', '5', '2']",[],[],2.49
02.07.2023,Zeitune G.,1,,,,,,2,1,65%,57% (27/47),56% (14/25),44% (4/9),36% (17/47),43% (13/30),50% (4/8),57% (41/72),39% (30/77),48% (71/149),58% (7/12),31% (4/13),44% (11/25),"['2', '1', '5', '2']","['2', '1', '3', '4']",[],[],[],1.50
