25.02.,Sakamoto R.,0,,,,,,10,2,54%,76% (29/38),36% (12/33),63% (5/8),29% (11/38),41% (9/22),25% (1/4),58% (41/71),33% (20/60),47% (61/131),1,0,70% (7/10),10% (1/10),40% (8/20),[],[],[],[],[],0
25.02.,Draxl L.,2,,,,,,1,2,63%,71% (27/38),59% (13/22),75% (3/4),24% (9/38),64% (21/33),38% (3/8),67% (40/60),42% (30/71),53% (70/131),9,0,90% (9/10),30% (3/10),60% (12/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Lugano (Switzerland) - Qualification,hard,header
24.02.,Sakamoto R.,2,,,,,,4,4,51%,75% (30/40),47% (18/38),60% (6/10),44% (28/64),64% (14/22),36% (5/14),62% (48/78),49% (42/86),55% (90/164),8,0,64% (7/11),45% (5/11),55% (12/22),[],[],[],[],[],0
24.02.,Prado Angelo J. C.,0,,,,,,5,1,74%,56% (36/64),36% (8/22),64% (9/14),25% (10/40),53% (20/38),40% (4/10),51% (44/86),38% (30/78),45% (74/164),2,0,55% (6/11),36% (4/11),45% (10/22),[],[],[],[],[],0
23.02.,Sakamoto R.,1,,,,,,2,2,66%,89% (17/19),40% (4/10),0% (0/1),53% (19/36),55% (11/20),36% (4/11),72% (21/29),54% (30/56),60% (51/85),6,0,83% (5/6),67% (4/6),75% (9/12),[],[],[],[],[],0
23.02.,Yevseyev D.,0,,,,,,1,0,64%,47% (17/36),45% (9/20),64% (7/11),11% (2/19),60% (6/10),100% (1/1),46% (26/56),28% (8/29),40% (34/85),4,0,33% (2/6),17% (1/6),25% (3/12),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Glasgow (United Kingdom),hard,header
17.02.,Sakamoto R.,0,,,,,,8,2,69%,69% (38/55),44% (11/25),33% (1/3),30% (14/47),24% (5/21),33% (1/3),61% (49/80),28% (19/68),46% (68/148),3,0,82% (9/11),9% (1/11),45% (10/22),[],[],[],[],[],0
17.02.,Monday J.,2,,,,,,6,1,69%,70% (33/47),76% (16/21),67% (2/3),31% (17/55),56% (14/25),67% (2/3),72% (49/68),39% (31/80),54% (80/148),7,0,91% (10/11),18% (2/11),55% (12/22),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Tenerife 2 (Spain) - Qualification,hard,header
10.02.,Sakamoto R.,0,,,,,,5,1,62%,59% (20/34),52% (11/21),0% (0/3),33% (14/43),21% (3/14),0% (0/1),56% (31/55),30% (17/57),43% (48/112),2,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
10.02.,Misolic F.,2,,,,,,8,1,75%,67% (29/43),79% (11/14),100% (1/1),41% (14/34),48% (10/21),100% (3/3),70% (40/57),44% (24/55),57% (64/112),8,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
09.02.,Sakamoto R.,2,,,,,,1,0,68%,77% (20/26),75% (9/12),0% (0/0),53% (16/30),63% (15/24),42% (5/12),76% (29/38),57% (31/54),65% (60/92),8,0,100% (7/7),71% (5/7),86% (12/14),[],[],[],[],[],0
09.02.,Sanchez Quilez A.,0,,,,,,0,1,56%,47% (14/30),38% (9/24),58% (7/12),23% (6/26),25% (3/12),0% (0/0),43% (23/54),24% (9/38),35% (32/92),2,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Tenerife (Spain),hard,header
04.02.,Sakamoto R.,1,,,,,,6,3,64%,66% (44/67),42% (16/38),55% (6/11),30% (19/63),55% (18/33),38% (3/8),57% (60/105),39% (37/96),48% (97/201),4,2,71% (10/14),14% (2/14),43% (12/28),[],[],[],[],[],0
04.02.,Hassan B.,2,,,,,,6,1,66%,70% (44/63),45% (15/33),63% (5/8),34% (23/67),58% (22/38),45% (5/11),61% (59/96),43% (45/105),52% (104/201),6,0,86% (12/14),29% (4/14),57% (16/28),[],[],[],[],[],0
ATP - SINGLES Australian Open (Australia) - Qualification,hard,header
07.01.,Sakamoto R.,0,,,,,,6,1,58%,46% (12/26),32% (6/19),29% (2/7),30% (9/30),40% (8/20),0% (0/4),18,32,50% (2/4),40% (18/45),34% (17/50),37% (35/95),2,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],0
07.01.,Boyer T.,2,,,,,,5,1,60%,70% (21/30),60% (12/20),100% (4/4),54% (14/26),68% (13/19),71% (5/7),16,13,67% (6/9),66% (33/50),60% (27/45),63% (60/95),8,0,100% (7/7),71% (5/7),86% (12/14),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Nonthaburi (Thailand),hard,header
03.01.,Sakamoto R.,1,,,,,,17,5,60%,74% (49/66),57% (25/44),90% (9/10),25% (13/51),33% (12/36),25% (1/4),67% (74/110),27% (23/85),50% (97/195),3,7,94% (15/16),7% (1/15),52% (16/31),[],[],[],[],[],0
03.01.,Barrere G.,2,,,,,,4,3,59%,75% (38/51),67% (24/36),75% (3/4),26% (17/66),43% (19/44),10% (1/10),73% (62/85),33% (36/110),50% (98/195),7,1,93% (14/15),6% (1/16),48% (15/31),[],[],[],[],[],0
02.01.,Sakamoto R.,0,,,,,,4,1,53%,88% (7/8),71% (5/7),0% (0/0),14% (1/7),75% (6/8),100% (1/1),80% (12/15),47% (7/15),63% (19/30),9,0,100% (3/3),50% (1/2),80% (4/5),[],[],[],[],[],0
02.01.,Mager G.,0,,,,,,0,1,47%,86% (6/7),25% (2/8),0% (0/1),13% (1/8),29% (2/7),0% (0/0),53% (8/15),20% (3/15),37% (11/30),1,0,50% (1/2),0% (0/3),20% (1/5),[],[],[],[],[],0
01.01.,Sakamoto R.,2,,,,,,7,0,52%,81% (21/26),63% (15/24),100% (2/2),35% (6/17),78% (14/18),100% (4/4),72% (36/50),57% (20/35),66% (56/85),8,0,100% (8/8),57% (4/7),80% (12/15),[],[],[],[],[],0
01.01.,Chidekh C.,0,,,,,,1,5,49%,65% (11/17),22% (4/18),0% (0/4),19% (5/26),38% (9/24),0% (0/2),43% (15/35),28% (14/50),34% (29/85),2,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],0
31.12.2024,Sakamoto R.,2,,,,,,13,2,64%,75% (43/57),47% (15/32),56% (5/9),26% (16/62),52% (15/29),43% (3/7),65% (58/89),34% (31/91),49% (89/180),7,0,73% (11/15),20% (3/15),47% (14/30),[],[],[],[],[],0
31.12.2024,Sharipov M.,1,,,,,,20,2,68%,74% (46/62),48% (14/29),57% (4/7),25% (14/57),53% (17/32),44% (4/9),66% (60/91),35% (31/89),51% (91/180),3,1,80% (12/15),27% (4/15),53% (16/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Nonthaburi (Thailand) - Qualification,hard,header
30.12.2024,Sakamoto R.,2,,,,,,11,1,62%,75% (27/36),50% (11/22),67% (2/3),38% (11/29),71% (15/21),56% (5/9),66% (38/58),52% (26/50),59% (64/108),7,0,88% (7/8),56% (5/9),71% (12/17),[],[],[],[],[],0
30.12.2024,Leong M. W. K.,0,,,,,,6,4,58%,62% (18/29),29% (6/21),44% (4/9),25% (9/36),50% (11/22),33% (1/3),48% (24/50),34% (20/58),41% (44/108),3,2,44% (4/9),13% (1/8),29% (5/17),[],[],[],[],[],0
29.12.2024,Sakamoto R.,2,,,,,,16,1,52%,80% (36/45),50% (21/42),60% (3/5),30% (19/64),58% (19/33),38% (3/8),66% (57/87),39% (38/97),52% (95/184),5,0,86% (12/14),21% (3/14),54% (15/28),[],[],[],[],[],0
29.12.2024,Cukierman D.,1,,,,,,4,3,66%,70% (45/64),42% (14/33),63% (5/8),20% (9/45),50% (21/42),40% (2/5),61% (59/97),34% (30/87),48% (89/184),5,0,79% (11/14),14% (2/14),46% (13/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Yokkaichi (Japan),hard,header
01.12.2024,Sakamoto R.,2,,,,,,11,1,58%,73% (32/44),53% (17/32),33% (1/3),23% (10/44),33% (8/24),40% (2/5),64% (49/76),26% (18/68),47% (67/144),7,0,85% (11/13),15% (2/13),50% (13/26),[],[],[],[],[],0
01.12.2024,Negritu Ch.,1,,,,,,8,0,65%,77% (34/44),67% (16/24),60% (3/5),27% (12/44),47% (15/32),67% (2/3),74% (50/68),36% (27/76),53% (77/144),3,0,85% (11/13),15% (2/13),50% (13/26),[],[],[],[],[],0
30.11.2024,Sakamoto R.,2,,,,,,0,0,60%,82% (40/49),42% (14/33),67% (4/6),29% (12/41),44% (14/32),67% (4/6),66% (54/82),36% (26/73),52% (80/155),6,0,86% (12/14),29% (4/14),57% (16/28),[],[],[],[],[],0
30.11.2024,Mochizuki S.,1,,,,,,2,2,56%,71% (29/41),56% (18/32),33% (2/6),18% (9/49),58% (19/33),33% (2/6),64% (47/73),34% (28/82),48% (75/155),4,0,71% (10/14),14% (2/14),43% (12/28),[],[],[],[],[],0
29.11.2024,Sakamoto R.,2,,,,,,6,1,56%,79% (34/43),62% (21/34),100% (5/5),23% (10/43),40% (10/25),17% (1/6),71% (55/77),29% (20/68),52% (75/145),7,0,100% (11/11),9% (1/11),55% (12/22),[],[],[],[],[],0
29.11.2024,Uchida K.,0,,,,,,6,1,63%,77% (33/43),60% (15/25),83% (5/6),21% (9/43),38% (13/34),0% (0/5),71% (48/68),29% (22/77),48% (70/145),3,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],0
28.11.2024,Sakamoto R.,2,,,,,,12,1,58%,80% (36/45),59% (19/32),75% (3/4),28% (11/40),35% (7/20),50% (2/4),71% (55/77),30% (18/60),53% (73/137),6,0,91% (10/11),20% (2/10),57% (12/21),[],[],[],[],[],0
28.11.2024,Nakagawa N.,0,,,,,,3,1,67%,73% (29/40),65% (13/20),50% (2/4),20% (9/45),41% (13/32),25% (1/4),70% (42/60),29% (22/77),47% (64/137),4,0,80% (8/10),9% (1/11),43% (9/21),[],[],[],[],[],0
