Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Forti F.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['4', '2', '6', '2']",[],[],[],1.29
25.07.2024,Ambrogi L. E.,2,,,,,,[],"['3', '3', '7', '5']","['2', '0', '4', '0']",[],[],1.45
25.07.2024,Perego G.,1,,,,,,"['6', '5']","['2', '1']",[],[],[],2.61
24.07.2024,Perego G.,2,,,,,,"['2', '1', '6', '5']","['2', '5']","['1', '0', '3', '0']",[],[],1.45
24.07.2024,Bacaloni A.,1,,,,,,"['2', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],2.63
18.07.2024,Pennaforti G.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.42
18.07.2024,Perego G.,0,,,,,,[],[],[],[],[],2.72
17.07.2024,Perego G.,2,,,,,,"['3', '1', '5', '1']","['3', '2', '6', '3']",[],[],[],1.41
17.07.2024,Malgaroli L.,0,,,,,,"['2', '5']",[],[],[],[],2.75
11.07.2024,Perfetti N.,2,,,,,,"['4', '2']","['3', '1', '5', '1']","['3', '2', '4', '3']",[],[],2.24
11.07.2024,Perego G.,1,,,,,,"['3', '4', '5', '4']",[],"['3', '3']",[],[],1.60
10.07.2024,Perego G.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],3.51
10.07.2024,Domingues J.,0,,,,,,[],[],[],[],[],1.27
09.07.2024,Perego G.,2,,,,,,"['1', '1']","['3', '4']","['4', '2', '6', '4']",[],[],6.80
09.07.2024,Dougaz A.,1,,,,,,"['1', '0']","['4', '2', '5', '3']","['3', '4']",[],[],1.08
26.06.2024,Pennaforti G.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['4', '4', '6', '4']",[],[],[],-
26.06.2024,Perego G.,0,,,,,,"['2', '0']","['1', '0']",[],[],[],-
25.10.2023,Hilderbrand T.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.85
25.10.2023,Perego G.,0,,,,,,"['3', '5']",[],[],[],[],1.86
11.08.2023,Castagnola L.,2,,,,,,"['5', '3', '6', '4']","['6', '4']",[],[],[],1.49
11.08.2023,Perego G.,0,,,,,,"['4', '5']",[],[],[],[],2.48
10.08.2023,Perego G.,2,,,,,,"['3', '3', '6', '4']","['3', '1', '4', '4']","['2', '0', '4', '2']",[],[],1.87
10.08.2023,Gagliardo L.,1,,,,,,"['3', '2']","['2', '3', '4', '3', '5', '4']","['2', '3']",[],[],1.84
09.08.2023,Perego G.,2,,,,,,"['3', '2', '6', '5']",[],"['2', '0', '4', '0', '5', '3']",[],[],3.81
09.08.2023,Picchione A.,1,,,,,,"['4', '4']","['2', '0']","['1', '4', '3', '4', '4', '5']",[],[],1.23
08.08.2023,Perego G.,2,,,,,,"['4', '3']","['3', '2', '5', '2']",[],[],[],1.70
08.08.2023,Tammaro M.,0,,,,,,[],[],[],[],[],2.03
01.08.2023,Perego G.,2,,,,,,"['5', '5', '6', '6']","['4', '3', '5', '4']",[],[],[],1.95
01.08.2023,Fossati C.,0,,,,,,"['1', '0', '6', '5']","['4', '4', '5', '5']",[],[],[],1.76
24.01.2021,Chappell N.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '6', '5']",[],[],[],1.45
24.01.2021,Perego G.,0,,,,,,[],"['2', '4', '5', '5']",[],[],[],2.63
23.01.2021,Perego G.,2,,,,,,"['2', '1']","['2', '1', '5', '2']",[],[],[],1.57
23.01.2021,Sullivan C.,0,,,,,,[],[],[],[],[],2.30
22.01.2021,Perego G.,2,,,,,,[],[],"['2', '2', '4', '4', '6', '4']",[],[],5.30
22.01.2021,Bangoura S.,1,,,,,,[],"['2', '0', '4', '0']","['2', '1', '4', '3']",[],[],1.14
21.01.2021,Kirchheimer S.,2,,,,,,"['2', '0', '4', '0']","['3', '2', '5', '2']",[],[],[],1.18
21.01.2021,Perego G.,0,,,,,,[],[],[],[],[],4.44
20.01.2021,Perego G.,2,,,,,,"['3', '2', '6', '3']","['3', '1']",[],[],[],1.45
20.01.2021,Scott F.,0,,,,,,[],[],[],[],[],2.63
18.01.2021,Walker H.,2,,,,,,"['1', '0', '4', '3']","['2', '1', '3', '2', '5', '2']",[],[],[],1.38
18.01.2021,Perego G.,0,,,,,,"['1', '1']","['2', '2']",[],[],[],2.98
16.01.2021,Mei M.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['2', '1', '4', '1', '5', '2']",[],[],[],2.63
16.01.2021,Perego G.,0,,,,,,"['2', '4']","['2', '4']",[],[],[],1.45
15.01.2021,Perego G.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],1.18
15.01.2021,Bernard J.,0,,,,,,[],[],[],[],[],4.40
13.01.2021,Perego G.,2,,,,,,"['1', '0']","['4', '3']","['2', '1']",[],[],1.72
13.01.2021,Guzauskas G.,1,,,,,,"['3', '3', '6', '4']",[],[],[],[],2.02
12.01.2021,Perego G.,2,,,,,,"['4', '2', '6', '4']","['2', '0', '4', '0', '6', '2']",[],[],[],1.18
12.01.2021,Lins D.,0,,,,,,"['4', '5']","['1', '4']",[],[],[],4.44
11.01.2021,Lock B.,2,,,,,,"['1', '0', '3', '2']","['1', '3']","['2', '1', '6', '3']",[],[],1.59
11.01.2021,Perego G.,1,,,,,,"['2', '2', '4', '4']","['1', '0', '3', '0', '6', '3']",[],[],[],2.23
19.12.2020,Ross M.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '0', '5', '4', '6', '5']",[],[],[],1.64
19.12.2020,Perego G.,0,,,,,,"['2', '4']","['1', '1', '5', '5']",[],[],[],2.18
17.12.2020,Perego G.,2,,,,,,"['1', '0']","['1', '1', '3', '1', '6', '4']",[],[],[],4.74
17.12.2020,Johns G.,0,,,,,,[],"['1', '0', '3', '4']",[],[],[],1.16
16.12.2020,Perego G.,2,,,,,,"['4', '5']","['4', '4']","['1', '0', '4', '3', '6', '3']",[],[],1.76
16.12.2020,Segura M.,1,,,,,,"['5', '3']","['1', '0']","['3', '3']",[],[],1.96
15.12.2020,Perego G.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['6', '4']",[],[],[],1.41
15.12.2020,Bernard J.,0,,,,,,"['1', '2']",[],[],[],[],2.72
