Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.06.,Aguilar J. C. M.,1,,,,,,"['3', '4', '5', '4']",[],[],[],[],1.91
07.08.2024,Godsick N.,0,,,,,,[],[],[],[],[],2.62
01.08.2024,Young G.,2,,,,,,"['2', '2', '4', '2', '6', '4']","['2', '2', '6', '4']",[],[],[],1.45
01.08.2024,Sinha A.,0,,,,,,"['1', '0', '4', '5']","['2', '1']",[],[],[],2.62
31.07.2024,Sinha A.,1,,,,,,"['2', '3']","['3', '1', '5', '1']","['1', '0']",[],[],2.56
31.07.2024,Ozolins K.,1,,,,,,"['3', '1']",[],[],[],[],1.47
17.07.2024,Gaal C.,2,,,,,,[],"['1', '1', '5', '5']","['2', '3', '5', '4']",[],[],3.37
17.07.2024,Sinha A.,1,,,,,,"['5', '4']","['1', '0', '2', '1']","['3', '1']",[],[],1.29
06.06.2024,Knaff A.,2,,,,,,"['3', '1', '5', '1', '6', '6']","['1', '0', '4', '1']",[],[],[],1.61
06.06.2024,Sinha A.,0,,,,,,"['2', '5', '4', '5', '6', '5']",[],[],[],[],2.22
04.06.2024,Sinha A.,2,,,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['3', '1', '4', '2', '6', '2']",[],[],[],1.27
04.06.2024,Murali R.,0,,,,,,"['1', '3']","['2', '3']",[],[],[],3.51
30.05.2024,Knaff A.,2,,,,,,"['5', '3']","['2', '1', '4', '1', '6', '3']",[],[],[],1.50
30.05.2024,Sinha A.,0,,,,,,[],"['3', '5']",[],[],[],2.47
29.05.2024,Sinha A.,2,,,,,,"['1', '0', '5', '4']","['2', '1', '5', '4']",[],[],[],1.27
29.05.2024,Dickerson R.,0,,,,,,"['4', '4']","['2', '2']",[],[],[],3.51
20.01.2024,Sell K.,2,,,,,,"['2', '1']","['1', '0', '4', '1']",[],[],[],1.62
20.01.2024,Sinha A.,0,,,,,,[],[],[],[],[],2.20
19.01.2024,Sinha A.,2,,,,,,"['3', '2']","['2', '1', '5', '4']","['3', '2']",[],[],1.46
19.01.2024,Schachter N.,1,,,,,,"['4', '4', '6', '4']","['2', '2']",[],[],[],2.59
18.01.2024,Sinha A.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.10
18.01.2024,Sharma A.,0,,,,,,[],[],[],[],[],6.10
17.01.2024,Sinha A.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.29
17.01.2024,Quan R.,0,,,,,,[],[],[],[],[],3.37
05.11.2023,Rosenkranz M.,2,,,,,,8,1,63%,83% (33/40),70% (16/23),0% (0/0),30% (14/46),50% (12/24),17% (1/6),78% (49/63),37% (26/70),56% (75/133),100% (11/11),10% (1/10),57% (12/21),"['2', '0']",[],[],[],[],1.25
05.11.2023,Sinha A.,0,,,,,,7,1,66%,70% (32/46),50% (12/24),83% (5/6),18% (7/40),30% (7/23),0% (0/0),63% (44/70),22% (14/63),44% (58/133),90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],3.72
29.10.2023,Kozlov S.,2,,,,,,1,9,62%,69% (35/51),48% (15/31),90% (9/10),35% (12/34),61% (20/33),44% (4/9),61% (50/82),48% (32/67),55% (82/149),89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '0']","['2', '1', '4', '1']",[],[],[],1.42
29.10.2023,Sinha A.,0,,,,,,4,4,51%,65% (22/34),39% (13/33),56% (5/9),31% (16/51),52% (16/31),10% (1/10),52% (35/67),39% (32/82),45% (67/149),56% (5/9),11% (1/9),33% (6/18),[],"['2', '4']",[],[],[],2.75
26.10.2023,Chopra K.,2,,,,,,"['3', '3']","['1', '2', '4', '3', '6', '3']",[],[],[],2.16
26.10.2023,Sinha A.,0,,,,,,"['3', '2']","['2', '0']",[],[],[],1.64
25.10.2023,Sinha A.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.09
25.10.2023,Nettles J.,0,,,,,,[],[],[],[],[],6.22
19.10.2023,Wiedenmann L.,2,,,,,,[],"['1', '0', '3', '2', '5', '2']","['3', '2', '6', '3']",[],[],1.68
19.10.2023,Sinha A.,1,,,,,,[],"['2', '2', '3', '5']",[],[],[],2.09
18.10.2023,Sinha A.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '4', '1']",[],[],[],1.73
18.10.2023,Whitehouse M.,0,,,,,,"['3', '1']",[],[],[],[],2.00
04.10.2023,Bulus C.,2,,,,,,"['2', '0']","['2', '1']","['3', '2', '5', '2']",[],[],3.28
04.10.2023,Sinha A.,1,,,,,,"['1', '2']",[],[],[],[],1.30
25.09.2023,Mansouri S.,2,,,,,,16,7,64%,79% (65/82),37% (17/46),70% (7/10),42% (33/78),34% (21/61),36% (4/11),64% (82/128),39% (54/139),51% (136/267),83% (15/18),22% (4/18),53% (19/36),"['4', '4', '7', '5']",[],"['2', '1', '5', '4']",[],[],1.29
25.09.2023,Sinha A.,1,,,,,,4,11,56%,58% (45/78),66% (40/61),64% (7/11),21% (17/82),63% (29/46),30% (3/10),61% (85/139),36% (46/128),49% (131/267),78% (14/18),17% (3/18),47% (17/36),"['2', '1']",[],"['3', '3', '5', '5']",[],[],3.41
14.09.2023,Mitsui S.,2,,,,,,"['1', '0', '4', '1']","['3', '4']","['3', '1', '5', '3', '7', '5']",[],[],1.57
14.09.2023,Sinha A.,1,,,,,,"['3', '5']","['4', '2', '5', '3']","['3', '4', '4', '5']",[],[],2.29
