Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.06.,Forger A.,1,,,,,,"['1', '1', '4', '2', '5', '3']","['1', '0']",[],[],[],3.20
18.07.2024,Legout T.,2,,,,,,[],"['6', '1']",[],[],[],1.26
18.07.2024,Tessa L.,0,,,,,,[],[],[],[],[],3.59
17.07.2024,Legout T.,2,,,,,,[],"['6', '0']",[],[],[],1.18
17.07.2024,Pel S.,0,,,,,,[],[],[],[],[],4.42
17.03.2024,Holt B.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '3', '2']",[],[],[],1.22
17.03.2024,Legout T.,0,,,,,,"['2', '4']","['2', '2']",[],[],[],3.96
16.03.2024,Legout T.,2,,,,,,"['3', '2']","['2', '3', '5', '4', '6', '5']","['2', '2', '5', '3']",[],[],2.97
16.03.2024,Wu Tung-Lin,1,,,,,,[],"['2', '0', '5', '5', '6', '6']","['2', '1']",[],[],1.36
15.03.2024,Legout T.,2,,,,,,"['2', '2', '5', '3']","['3', '2']",[],[],[],2.53
15.03.2024,Sell K.,0,,,,,,"['2', '1']","['3', '3']",[],[],[],1.48
15.03.2024,Legout T.,2,,,,,,"['1', '0', '3', '2', '5', '2', '6', '3']","['2', '2']","['2', '2', '4', '2', '6', '2']",[],[],2.01
15.03.2024,Svajda T.,1,,,,,,"['1', '1', '3', '5']","['1', '0', '4', '3']","['2', '1']",[],[],1.73
13.03.2024,Legout T.,2,,,,,,"['5', '4']","['1', '0']","['1', '0', '3', '0', '5', '0']",[],[],6.74
13.03.2024,Quinn E.,1,,,,,,[],"['1', '1', '7', '5']",[],[],[],1.08
25.08.2023,Carboni L.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],2.82
25.08.2023,Legout T.,0,,,,,,[],"['1', '3']",[],[],[],1.39
24.08.2023,Legout T.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '5', '4']",[],[],[],1.15
24.08.2023,Baroni N.,0,,,,,,[],"['4', '4']",[],[],[],4.94
23.08.2023,Legout T.,2,,,,,,"['4', '2', '6', '2']","['4', '4', '6', '4']",[],[],[],1.50
23.08.2023,Pennaforti G.,0,,,,,,[],"['1', '0']",[],[],[],2.45
02.07.2023,Bielinskyi V.,2,,,,,,2,5,61%,67% (31/46),48% (14/29),63% (5/8),38% (18/48),60% (18/30),60% (6/10),60% (45/75),46% (36/78),53% (81/153),75% (9/12),46% (6/13),60% (15/25),"['1', '0']","['2', '0', '4', '0']","['1', '0', '3', '0', '6', '3']",[],[],2.05
02.07.2023,Legout T.,1,,,,,,0,2,62%,63% (30/48),40% (12/30),40% (4/10),33% (15/46),52% (15/29),38% (3/8),54% (42/78),40% (30/75),47% (72/153),54% (7/13),25% (3/12),40% (10/25),"['1', '1', '3', '1']",[],"['1', '3']",[],[],1.71
