Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.08.,Sekulic P.,2,,,,,,"['2', '2']",[],"['2', '0', '5', '1']",[],[],1.63
17.05.,Ofner S.,2,,,,,,11,1,70%,77% (33/43),61% (11/18),67% (2/3),26% (10/38),67% (16/24),75% (3/4),27,23,69% (11/16),72% (44/61),42% (26/62),57% (70/123),7,0,91% (10/11),30% (3/10),62% (13/21),"['3', '1']","['1', '0', '6', '5']",[],[],[],1.05
17.05.,Borg L.,0,,,,,,4,5,61%,74% (28/38),33% (8/24),25% (1/4),23% (10/43),39% (7/18),33% (1/3),12,27,0% (0/0),58% (36/62),28% (17/61),43% (53/123),3,0,70% (7/10),9% (1/11),38% (8/21),[],"['3', '3']",[],[],[],9.89
09.05.,Bax F.,2,,,,,,"['1', '1', '5', '5', '7', '5']","['2', '0', '4', '2']","['1', '0', '5', '2']",[],[],1.55
09.05.,Borg L.,1,,,,,,"['1', '0', '5', '4']","['2', '3', '3', '4']",[],[],[],2.33
08.05.,Borg L.,2,,,,,,"['4', '2', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],2.56
08.05.,Nijboer R.,0,,,,,,"['3', '4']",[],[],[],[],1.46
07.05.,Borg L.,2,,,,,,"['5', '3']",[],"['3', '1']",[],[],2.66
07.05.,Geerts M.,1,,,,,,[],"['5', '3']",[],[],[],1.43
06.05.,Borg L.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.18
06.05.,Furlanetto M.,0,,,,,,[],[],[],[],[],4.38
01.05.,Mashtakov N.,2,,,,,,"['4', '4', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],2.69
01.05.,Borg L.,0,,,,,,"['1', '0']",[],[],[],[],1.42
30.04.,Borg L.,2,,,,,,"['2', '0', '4', '2']","['1', '0', '5', '2']",[],[],[],1.30
30.04.,Derepasko T.,0,,,,,,"['1', '2']",[],[],[],[],3.26
26.04.,Blanch D.,2,,,,,,"['1', '1']","['2', '2', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.48
26.04.,Borg L.,1,,,,,,"['1', '0', '2', '1', '5', '2']","['1', '0']","['1', '5']",[],[],2.50
25.04.,Borg L.,2,,,,,,"['2', '1', '4', '1']","['5', '4']",[],[],[],1.16
25.04.,Fita Juan S.,0,,,,,,"['3', '5']",[],[],[],[],4.67
23.04.,Borg L.,2,,,,,,"['2', '2', '5', '3']","['2', '1', '5', '2']",[],[],[],2.09
23.04.,Maksimovic M.,0,,,,,,"['1', '0']",[],[],[],[],1.68
12.04.,Fearnley J.,2,,,,,,5,2,56%,75% (30/40),59% (19/32),33% (1/3),40% (24/60),49% (18/37),21% (3/14),40,37,88% (7/8),68% (49/72),43% (42/97),54% (91/169),8,0,83% (10/12),25% (3/12),54% (13/24),"['5', '3', '7', '5']","['3', '1']",[],[],[],1.09
12.04.,Borg L.,0,,,,,,2,0,62%,60% (36/60),51% (19/37),79% (11/14),25% (10/40),41% (13/32),67% (2/3),11,31,58% (7/12),57% (55/97),32% (23/72),46% (78/169),2,2,75% (9/12),17% (2/12),46% (11/24),"['4', '5']","['3', '4']",[],[],[],6.30
03.04.,Paroulek T.,2,,,,,,"['3', '2']","['4', '5']",[],[],[],1.64
03.04.,Borg L.,0,,,,,,[],"['5', '3']",[],[],[],2.19
03.04.,Borg L.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '5', '2']",[],[],[],1.25
03.04.,Baragiola Mordini T. C.,0,,,,,,[],[],[],[],[],3.62
18.03.,Sharipov M.,2,,,,,,"['2', '0', '4', '0']",[],"['4', '5']",[],[],1.23
18.03.,Borg L.,1,,,,,,[],"['6', '4']","['3', '1']",[],[],3.81
12.03.,Stewart H.,2,,,,,,"['3', '1']","['2', '1', '4', '1']",[],[],[],1.25
12.03.,Borg L.,0,,,,,,"['2', '3']","['2', '4']",[],[],[],3.62
28.02.,Purtseladze S.,2,,,,,,"['2', '4', '4', '4']","['1', '0', '4', '1', '6', '1']",[],[],[],1.62
28.02.,Borg L.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],2.18
26.02.,Borg L.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['2', '0', '5', '1']",[],[],[],1.06
26.02.,Eerola O.,0,,,,,,"['2', '3']",[],[],[],[],7.30
01.02.,Borg L.,2,,,,,,3,1,61%,77% (30/39),72% (18/25),100% (1/1),21% (9/43),55% (11/20),100% (2/2),77% (48/62),31% (19/61),54% (67/123),4,0,100% (11/11),18% (2/11),59% (13/22),"['6', '5']","['3', '2']",[],[],[],-
01.02.,Peers J.,0,,,,,,12,1,68%,79% (34/43),45% (9/20),0% (0/2),23% (9/39),28% (7/25),0% (0/1),69% (42/61),23% (14/62),46% (56/123),6,0,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],-
31.01.,Vukic A.,2,,,,,,10,2,60%,80% (32/40),44% (12/27),80% (4/5),33% (13/39),62% (13/21),60% (3/5),66% (44/67),43% (26/60),55% (70/127),6,0,90% (9/10),30% (3/10),60% (12/20),"['2', '1', '4', '3']","['5', '4']",[],[],[],1.05
31.01.,Borg L.,0,,,,,,2,2,65%,67% (26/39),38% (8/21),40% (2/5),20% (8/40),56% (15/27),20% (1/5),57% (34/60),34% (23/67),45% (57/127),4,1,70% (7/10),10% (1/10),40% (8/20),"['3', '3']",[],[],[],[],8.30
22.01.,Borg L.,0,,,,,,"['3', '4']",[],[],[],[],1.90
22.01.,Handel T.,0,,,,,,"['4', '2']",[],[],[],[],1.80
19.01.,Borg L.,2,,,,,,"['3', '1', '5', '1']",[],"['4', '4']",[],[],2.32
19.01.,Colson T.,1,,,,,,[],"['4', '2']","['3', '2']",[],[],1.55
18.01.,Borg L.,2,,,,,,"['1', '1', '2', '2', '3', '3', '4', '4', '5', '5', '6', '6']","['1', '0', '3', '2', '4', '3', '5', '4', '6', '5']","['4', '2']",[],[],1.75
18.01.,Preda L.,1,,,,,,"['1', '0', '2', '1', '3', '2', '4', '3', '5', '4', '6', '5']","['2', '2', '3', '3', '4', '4', '5', '5']",[],[],[],1.96
17.01.,Borg L.,2,,,,,,"['1', '0', '6', '3']","['5', '5']",[],[],[],2.81
17.01.,Nesterov P.,0,,,,,,[],"['5', '4']",[],[],[],1.39
16.01.,Borg L.,2,,,,,,"['1', '0', '3', '2', '4', '3', '5', '4']","['2', '1', '4', '3']",[],[],[],1.23
16.01.,Habib A.,0,,,,,,"['2', '2', '3', '3', '4', '4']","['2', '2']",[],[],[],3.81
14.01.,Borg L.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '4', '1', '6', '1']","['1', '1', '4', '2']",[],[],-
14.01.,Lu P.,1,,,,,,"['2', '2', '4', '4', '6', '4']",[],"['1', '0']",[],[],-
21.11.2024,Erel Y.,2,,,,,,"['5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.44
21.11.2024,Borg L.,0,,,,,,[],[],[],[],[],2.62
20.11.2024,Borg L.,2,,,,,,[],"['2', '0']","['4', '3']",[],[],1.17
20.11.2024,Volpi G.,1,,,,,,[],[],[],[],[],4.48
03.11.2024,Bar Biryukov P.,2,,,,,,"['6', '5']","['4', '3']",[],[],[],1.49
03.11.2024,Borg L.,0,,,,,,[],[],[],[],[],2.47
