Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W50 Arequipa (Peru),clay,header
ITF WOMEN - SINGLES :  W35 Bujumbura (Burundi),clay,header
ITF WOMEN - SINGLES :  W15 Le Havre (France),clay,header
ITF WOMEN - SINGLES :  W15 Gonesse (France),clay,header
ITF WOMEN - SINGLES :  W15 Sharm ElSheikh 4 (Egypt),hard,header
ITF WOMEN - SINGLES :  W15 Sharm ElSheikh 3 (Egypt),hard,header
ITF WOMEN - SINGLES :  W15 Melilla (Spain),clay,header
17.12.2023,Rakotomanga Rajaonah T.,1,6,0,,,,[],[],[],[],[],1.41
17.12.2023,Murta I.,0,2,0,,,,[],[],[],[],[],2.74
16.12.2023,Rakotomanga Rajaonah T.,2,6,6,,,,[],[],[],[],[],1.59
16.12.2023,Arias Manjon P.,0,3,4,,,,[],[],[],[],[],2.25
15.12.2023,Rakotomanga Rajaonah T.,2,6,6,,,,[],[],[],[],[],1.42
15.12.2023,Safta A.,0,3,3,,,,[],[],[],[],[],2.70
14.12.2023,Rakotomanga Rajaonah T.,2,6,6,,,,[],[],[],[],[],1.22
14.12.2023,Diaz Adrover C.,0,3,2,,,,[],[],[],[],[],3.93
13.12.2023,Rakotomanga Rajaonah T.,2,4,6,6,,,[],[],[],[],[],1.03
13.12.2023,Bordereau M.,1,6,3,1,,,[],[],[],[],[],9.60
ITF WOMEN - SINGLES :  W15 Valencia 2 (Spain),clay,header
ITF WOMEN - SINGLES :  W15 Valencia (Spain),clay,header
ITF WOMEN - SINGLES :  W25 Heraklion (Greece),clay,header
ITF WOMEN - SINGLES :  W25 Malmo (Sweden),clay,header
