Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.03.,Jasika O.,2,,,,,,"['2', '0']","['1', '0', '5', '2']",[],[],[],1.05
04.09.2024,Sootinun-Opart G.,1,,,,,,"['2', '1']",[],"['3', '4']",[],[],3.31
27.08.2024,Ichikawa T.,2,,,,,,"['3', '3', '6', '4']",[],[],[],[],1.31
27.08.2024,Court J.,0,,,,,,"['3', '2']",[],[],[],[],3.24
21.08.2024,Vardhan V.,2,,,,,,[],"['4', '3', '6', '3']",[],[],[],1.86
21.08.2024,Court J.,0,,,,,,[],[],[],[],[],1.86
04.02.2024,Mochizuki Y.,2,,,,,,2,1,72%,71% (24/34),77% (10/13),0% (0/0),39% (13/33),67% (6/9),80% (4/5),72% (34/47),45% (19/42),60% (53/89),7,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '4', '1']","['3', '2', '5', '2']",[],[],[],1.37
04.02.2024,Court J.,0,,,,,,9,0,79%,61% (20/33),33% (3/9),20% (1/5),29% (10/34),23% (3/13),0% (0/0),55% (23/42),28% (13/47),40% (36/89),3,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.97
28.01.2024,Gaal C.,2,,,,,,6,4,65%,71% (44/62),45% (15/33),60% (3/5),24% (10/41),45% (14/31),100% (2/2),62% (59/95),33% (24/72),50% (83/167),6,0,86% (12/14),15% (2/13),52% (14/27),"['5', '3']",[],"['2', '1']",[],[],2.33
28.01.2024,Court J.,1,,,,,,5,3,57%,76% (31/41),55% (17/31),0% (0/2),29% (18/62),55% (18/33),40% (2/5),67% (48/72),38% (36/95),50% (84/167),4,1,85% (11/13),14% (2/14),48% (13/27),[],"['3', '1', '6', '2']",[],[],[],1.57
18.12.2023,Crowther C.,2,,,,,,[],[],[],[],[],2.45
18.12.2023,Court J.,1,,,,,,[],[],[],[],[],1.51
29.10.2023,Moriya H.,2,,,,,,2,3,61%,73% (37/51),58% (19/33),60% (3/5),21% (11/52),57% (20/35),33% (3/9),67% (56/84),36% (31/87),51% (87/171),86% (12/14),21% (3/14),54% (15/28),"['3', '1']",[],"['2', '0', '6', '4']",[],[],1.28
29.10.2023,Court J.,1,,,,,,13,10,60%,79% (41/52),43% (15/35),67% (6/9),27% (14/51),42% (14/33),40% (2/5),64% (56/87),33% (28/84),49% (84/171),79% (11/14),14% (2/14),46% (13/28),[],"['5', '3']","['4', '5']",[],[],3.49
24.10.2023,Hong S. C.,2,,,,,,8,2,74%,74% (39/53),68% (13/19),100% (4/4),26% (12/47),55% (12/22),100% (2/2),72% (52/72),35% (24/69),54% (76/141),100% (10/10),18% (2/11),57% (12/21),[],"['2', '1', '6', '3']",[],[],[],1.08
24.10.2023,Court J.,0,,,,,,1,4,68%,74% (35/47),45% (10/22),0% (0/2),26% (14/53),32% (6/19),0% (0/4),65% (45/69),28% (20/72),46% (65/141),82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],6.88
23.10.2023,Court J.,2,,,,,,10,6,62%,78% (43/55),41% (14/34),75% (3/4),30% (18/60),59% (13/22),50% (2/4),64% (57/89),38% (31/82),51% (88/171),92% (11/12),17% (2/12),54% (13/24),"['6', '5']","['4', '3']",[],[],[],2.96
23.10.2023,Matsuda K.,0,,,,,,6,3,73%,70% (42/60),41% (9/22),50% (2/4),22% (12/55),59% (20/34),25% (1/4),62% (51/82),36% (32/89),49% (83/171),83% (10/12),8% (1/12),46% (11/24),[],"['5', '5']",[],[],[],1.37
