Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.03.,Andaloro F.,2,,,,,,"['2', '0', '5', '1']","['3', '4', '4', '5']","['1', '0', '2', '1', '3', '4', '5', '4']",[],[],1.59
17.03.,Matsuoka H.,1,,,,,,[],"['4', '2', '5', '3', '6', '4']","['1', '1', '2', '2', '4', '2']",[],[],2.28
16.03.,Matsuoka H.,2,,,,,,"['3', '1', '5', '1']","['1', '2', '6', '5']",[],[],[],2.09
16.03.,Radulov I.,0,,,,,,[],"['2', '0', '6', '6']",[],[],[],1.68
07.03.,Matsuoka H.,2,,,,,,"['1', '0']","['1', '0', '3', '0', '5', '2']","['1', '0', '5', '4']",[],[],-
07.03.,Barroso Campos A.,1,,,,,,"['1', '1', '4', '2', '6', '2']","['2', '4']","['2', '2']",[],[],-
06.03.,Matsuoka H.,2,,,,,,"['1', '0', '3', '0']","['4', '3', '6', '3']",[],[],[],1.38
06.03.,Chen C.,0,,,,,,[],[],[],[],[],2.85
04.03.,Matsuoka H.,2,,,,,,"['2', '0']","['3', '4']","['3', '2', '4', '3']",[],[],2.37
04.03.,Radulov I.,1,,,,,,[],"['3', '1', '6', '4']","['3', '3', '4', '4']",[],[],1.53
13.02.,Klintcharov A.,2,,,,,,"['2', '0', '6', '2']",[],"['1', '1', '4', '2', '5', '3', '6', '4']",[],[],2.62
13.02.,Matsuoka H.,1,,,,,,[],"['2', '1', '5', '2']","['1', '0', '3', '4', '4', '5']",[],[],1.44
11.02.,Matsuoka H.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '2', '1', '4', '1']",[],[],[],1.18
11.02.,Delaney Je.,0,,,,,,"['2', '1']","['1', '1']",[],[],[],4.38
04.02.,Shimizu Y.,2,,,,,,3,3,55%,71% (37/52),57% (24/42),92% (12/13),26% (11/43),39% (11/28),67% (2/3),65% (61/94),31% (22/71),50% (83/165),4,0,93% (13/14),15% (2/13),56% (15/27),"['3', '1']",[],"['3', '1']",[],[],1.19
04.02.,Matsuoka H.,1,,,,,,4,0,61%,74% (32/43),61% (17/28),33% (1/3),29% (15/52),43% (18/42),8% (1/13),69% (49/71),35% (33/94),50% (82/165),6,0,85% (11/13),7% (1/14),44% (12/27),[],"['5', '3']",[],[],[],4.36
03.02.,Shiraishi H.,2,,,,,,1,2,67%,73% (37/51),44% (11/25),40% (2/5),41% (20/49),52% (15/29),42% (5/12),63% (48/76),45% (35/78),54% (83/154),6,0,77% (10/13),42% (5/12),60% (15/25),"['3', '1', '5', '1']",[],"['2', '2', '4', '2', '5', '3']",[],[],1.85
03.02.,Matsuoka H.,1,,,,,,3,6,63%,59% (29/49),48% (14/29),58% (7/12),27% (14/51),56% (14/25),60% (3/5),55% (43/78),37% (28/76),46% (71/154),4,0,58% (7/12),23% (3/13),40% (10/25),[],"['5', '3']","['1', '0', '3', '4']",[],[],1.87
02.02.,Matsuoka H.,2,,,,,,2,3,79%,70% (45/64),47% (8/17),86% (6/7),33% (14/42),61% (20/33),38% (3/8),65% (53/81),45% (34/75),56% (87/156),7,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '4', '0']","['4', '5']",[],[],[],1.60
02.02.,Sheehy J.,0,,,,,,3,3,56%,67% (28/42),39% (13/33),63% (5/8),30% (19/64),53% (9/17),14% (1/7),55% (41/75),35% (28/81),44% (69/156),3,0,67% (6/9),10% (1/10),37% (7/19),[],"['4', '2']",[],[],[],2.25
26.01.,Braithwaite T.,2,,,,,,8,7,69%,81% (60/74),48% (16/33),100% (5/5),33% (25/75),39% (18/46),22% (2/9),71% (76/107),36% (43/121),52% (119/228),5,0,100% (16/16),13% (2/16),56% (18/32),[],"['4', '3']","['4', '3']",[],[],2.85
26.01.,Matsuoka H.,1,,,,,,7,7,62%,67% (50/75),61% (28/46),78% (7/9),19% (14/74),52% (17/33),0% (0/5),64% (78/121),29% (31/107),48% (109/228),5,3,88% (14/16),0% (0/16),44% (14/32),[],[],[],[],[],1.39
04.01.,Hussey G.,2,,,,,,"['4', '2']","['1', '0', '3', '4', '5', '4']",[],[],[],1.57
04.01.,Matsuoka H.,0,,,,,,[],"['1', '1', '4', '2']",[],[],[],2.28
03.01.,Matsuoka H.,2,,,,,,[],[],[],[],[],-
03.01.,Huang T.,0,,,,,,[],[],[],[],[],-
02.01.,Matsuoka H.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.19
02.01.,Barki N. A.,0,,,,,,[],[],[],[],[],4.32
01.01.,Matsuoka H.,2,,,,,,"['1', '0']","['1', '0', '4', '1']",[],[],[],1.85
01.01.,Bobrov B.,0,,,,,,[],[],[],[],[],1.85
29.12.2024,Matsuoka H.,2,,,,,,"['1', '0', '4', '3']","['2', '3', '4', '5']","['2', '1', '4', '1']",[],[],3.26
29.12.2024,Weber A.,1,,,,,,"['2', '2']","['3', '1', '4', '2', '7', '5']",[],[],[],1.30
