Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W35 Collonge-Bellerive (Switzerland),clay,header
ITF WOMEN - SINGLES :  W75 Burnie (Australia),hard,header
31.01. 04:45,Smith T. N.,0,4,1,,,,"['1', '4', '4', '5']",[],[],[],[],2.11
31.01. 04:45,Saito S.,2,6,6,,,,"['2', '0', '4', '0', '6', '4']","['3', '1', '5', '1']",[],[],[],1.67
ITF WOMEN - SINGLES :  W50 Pune (India),hard,header
28.01. 11:10,Smith T. N.,0,4,0,,,,"['2', '0']",[],[],[],[],2.47
28.01. 11:10,Uchijima M.,2,6,6,,,,"['1', '2', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.50
27.01. 11:05,Smith T. N.,2,6^5,6,6,,,"['2', '0']","['1', '0', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],1.64
27.01. 11:05,Jakupovic D.,1,7^7,2,0,,,"['4', '5']",[],[],[],[],2.17
26.01. 12:15,Smith T. N.,2,6,6,,,,"['2', '0', '4', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],3.23
26.01. 12:15,Tikhonova A.,0,1,2,,,,"['1', '4']",[],[],[],[],1.34
25.01. 13:10,Smith T. N.,2,6,7,,,,"['2', '0', '4', '2']","['6', '5']",[],[],[],2.18
25.01. 13:10,Prozorova T.,0,3,5,,,,"['1', '2']",[],[],[],[],1.63
23.01. 12:05,Smith T. N.,2,6,6,,,,"['2', '0', '3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.44
23.01. 12:05,Kovapitukted P.,0,3,0,,,,"['1', '2']",[],[],[],[],2.65
ITF WOMEN - SINGLES :  W50 Bengaluru (India),hard,header
18.01. 13:10,Smith T. N.,1,6,1,4,,,"['5', '3']",[],"['3', '3']",[],[],5.83
18.01. 13:10,Kudermetova P.,2,3,6,6,,,[],"['3', '1', '5', '1']","['3', '2', '5', '4']",[],[],1.11
17.01. 14:00,Smith T. N.,2,6,6,,,,"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],2.20
17.01. 14:00,Tararudee L.,0,3,2,,,,"['2', '5']",[],[],[],[],1.62
WTA - SINGLES :  Adelaide (Australia) - Qualification,hard,header
06.01. 12:55,Smith T. N.,1,4,6,2,,,5,4,56%,57% (33/58),51% (23/45),58% (7/12),44% (26/59),38% (14/37),23% (3/13),7,54% (56/103),42% (40/96),48% (96/199),3,62% (8/13),29% (4/14),44% (12/27),"['2', '2']","['2', '0']","['2', '3']",[],[],9.89
06.01. 12:55,Townsend T.,2,6,3,6,,,1,4,61%,56% (33/59),62% (23/37),77% (10/13),43% (25/58),49% (22/45),42% (5/12),5,58% (56/96),46% (47/103),52% (103/199),3,71% (10/14),38% (5/13),56% (15/27),"['2', '1', '3', '2']",[],"['2', '0', '4', '2', '6', '2']",[],[],1.03
CHALLENGER WOMEN - SINGLES :  Canberra (Australia) - Qualification,hard,header
31.12.2023,Smith T. N.,0,5,2,,,,4,4,62%,62% (26/42),50% (13/26),60% (6/10),37% (19/52),23% (3/13),14% (1/7),7,57% (39/68),34% (22/65),46% (61/133),3,60% (6/10),10% (1/10),35% (7/20),"['3', '1']",[],[],[],[],6.02
31.12.2023,Snigur D.,2,7,6,,,,0,0,80%,63% (33/52),77% (10/13),86% (6/7),38% (16/42),50% (13/26),40% (4/10),7,66% (43/65),43% (29/68),54% (72/133),5,90% (9/10),40% (4/10),65% (13/20),"['3', '4', '6', '5']","['2', '1', '4', '1']",[],[],[],1.13
ITF WOMEN - SINGLES :  W60 Nantes (France),hard,header
31.10.2023,Smith T. N.,0,4,6^5,,,,[],"['5', '5', '6', '6']",[],[],[],5.04
31.10.2023,Jacquemot E.,2,6,7^7,,,,"['1', '0']","['4', '3', '6', '5']",[],[],[],1.14
ITF WOMEN - SINGLES :  W60 Hamburg (Germany),hard,header
19.10.2023,Smith T. N.,0,0,0,,,,[],[],[],[],[],1.61
19.10.2023,Ibragimova A.,2,6,6,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],2.21
17.10.2023,Smith T. N.,2,6,6,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '2']",[],[],[],1.40
17.10.2023,Herrmann S.,0,0,3,,,,[],"['2', '3']",[],[],[],2.78
ITF WOMEN - SINGLES :  W25 Santa Margherita di Pula 8 (Italy),clay,header
ITF WOMEN - SINGLES :  W25 Santa Margherita di Pula 7 (Italy),clay,header
ITF WOMEN - SINGLES :  W25 Santa Margherita di Pula 6 (Italy),clay,header
ITF WOMEN - SINGLES :  W40 Skopje (North Macedonia),clay,header
ITF WOMEN - SINGLES :  W60 Montreux (Switzerland),clay,header
06.09.2023,Smith T. N.,1,1,6,5,,,[],"['2', '3', '4', '3', '6', '3']","['3', '5', '5', '5']",[],[],1.70
06.09.2023,Ganz F.,2,6,3,7,,,"['1', '0', '4', '1', '6', '1']","['2', '0']","['2', '1', '5', '2', '6', '5']",[],[],2.03
ITF WOMEN - SINGLES :  W60 Collonge-Bellerive (Switzerland),clay,header
01.09.2023,Smith T. N.,0,2,4,,,,"['1', '1']","['2', '2']",[],[],[],3.56
01.09.2023,Oz I.,2,6,6,,,,"['1', '0', '2', '1', '5', '2']","['1', '0', '3', '2']",[],[],[],1.26
31.08.2023,Smith T. N.,2,6,7,,,,"['3', '1', '5', '1']","['2', '3', '4', '5', '6', '5']",[],[],[],1.86
31.08.2023,Bayerlova M.,0,1,5,,,,[],"['2', '0', '4', '2']",[],[],[],1.85
