Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Davis Cup - World Group II (World),-,header
14.09. 19:20,Mansouri S.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.15
14.09. 19:20,Gannon C.,0,3,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],5.16
13.09. 15:50,Mansouri S.,0,6^5,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '4', '4', '4']","['2', '5']",[],[],[],2.53
13.09. 15:50,Agwi M.,2,7^7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '1']","['2', '0', '4', '0']",[],[],[],1.49
ATP - SINGLES :  Winston-Salem (USA) - Qualification,hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi 2 (Thailand) - Qualification,hard,header
07.01. 10:45,Mansouri S.,0,5,2,,,,3,4,53%,46% (18/39),53% (18/34),44% (4/9),35% (13/37),45% (13/29),29% (2/7),7,49% (36/73),39% (26/66),45% (62/139),2,50% (5/10),20% (2/10),35% (7/20),"['2', '1']","['1', '0']",[],[],[],1.94
07.01. 10:45,Moriya H.,2,7,6,,,,0,5,56%,65% (24/37),55% (16/29),71% (5/7),54% (21/39),47% (16/34),56% (5/9),8,61% (40/66),51% (37/73),55% (77/139),6,80% (8/10),50% (5/10),65% (13/20),"['2', '2', '7', '5']","['2', '2', '4', '2', '6', '2']",[],[],[],1.80
CHALLENGER MEN - SINGLES :  Helsinki (Finland) - Qualification,hard,header
06.11.2023,Mansouri S.,1,6,6^4,3,,,7,9,58%,67% (43/64),48% (22/46),67% (8/12),31% (20/64),56% (20/36),38% (3/8),5,59% (65/110),40% (40/100),50% (105/210),3,75% (12/16),21% (3/14),50% (15/30),"['2', '0']","['1', '0']","['2', '4']",[],[],5.07
06.11.2023,Novak D.,2,3,7^7,6,,,2,7,64%,69% (44/64),44% (16/36),63% (5/8),33% (21/64),52% (24/46),33% (4/12),5,60% (60/100),41% (45/110),50% (105/210),3,79% (11/14),25% (4/16),50% (15/30),[],"['4', '4']","['1', '0', '4', '1', '6', '3']",[],[],1.15
05.11.2023,Mansouri S.,2,6,6,,,,2,3,51%,79% (23/29),54% (15/28),67% (2/3),43% (13/30),63% (15/24),44% (4/9),10,67% (38/57),52% (28/54),59% (66/111),4,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],1.03
05.11.2023,Paldanius O.,0,1,4,,,,0,4,56%,57% (17/30),38% (9/24),56% (5/9),21% (6/29),46% (13/28),33% (1/3),5,48% (26/54),33% (19/57),41% (45/111),2,50% (4/8),11% (1/9),29% (5/17),[],"['2', '4']",[],[],[],12.40
CHALLENGER MEN - SINGLES :  Ismaning (Germany) - Qualification,hard,header
30.10.2023,Mansouri S.,1,7^10,3,6^6,,,18,4,57%,79% (59/75),47% (27/57),83% (5/6),16% (10/62),24% (9/38),0% (0/0),5,65% (86/132),19% (19/100),45% (105/232),1,94% (15/16),0% (0/17),45% (15/33),[],[],[],[],[],2.16
30.10.2023,Rosenkranz M.,2,6^8,6,7^8,,,12,4,62%,84% (52/62),76% (29/38),0% (0/0),21% (16/75),53% (30/57),17% (1/6),7,81% (81/100),35% (46/132),55% (127/232),3,100% (17/17),6% (1/16),55% (18/33),[],"['3', '1']",[],[],[],1.65
29.10.2023,Mansouri S.,2,6,3,7^8,,,21,9,64%,79% (46/58),39% (13/33),43% (3/7),23% (14/60),57% (27/47),50% (4/8),8,65% (59/91),38% (41/107),51% (100/198),3,73% (11/15),27% (4/15),50% (15/30),"['1', '1', '5', '3']","['2', '5']","['3', '1']",[],[],1.10
29.10.2023,Kelm Y.,1,3,6,6^6,,,2,12,56%,77% (46/60),43% (20/47),50% (4/8),21% (12/58),61% (20/33),57% (4/7),9,62% (66/107),35% (32/91),49% (98/198),4,73% (11/15),27% (4/15),50% (15/30),"['1', '0']","['3', '1', '5', '1']","['2', '3']",[],[],6.40
ITF MEN - SINGLES :  M15 Monastir 42 (Tunisia),hard,header
CHALLENGER MEN - SINGLES :  Fairfield (USA),hard,header
12.10.2023,Mansouri S.,1,5,6,2,,,12,3,62%,69% (33/48),38% (11/29),56% (5/9),23% (10/44),67% (20/30),57% (4/7),15,57% (44/77),41% (30/74),49% (74/151),6,69% (9/13),31% (4/13),50% (13/26),"['4', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],4.60
12.10.2023,Svajda Z.,2,7,0,6,,,0,7,59%,77% (34/44),33% (10/30),43% (3/7),31% (15/48),62% (18/29),44% (4/9),9,59% (44/74),43% (33/77),51% (77/151),4,69% (9/13),31% (4/13),50% (13/26),"['3', '1', '7', '5']",[],"['4', '2', '6', '2']",[],[],1.18
10.10.2023,Mansouri S.,2,1,6,6,,,4,2,67%,83% (29/35),59% (10/17),0% (0/2),31% (13/42),61% (17/28),100% (4/4),8,75% (39/52),43% (30/70),57% (69/122),5,82% (9/11),33% (4/12),57% (13/23),[],"['2', '0', '4', '0']","['1', '0', '6', '3']",[],[],3.06
10.10.2023,Pospisil V.,1,6,1,3,,,4,5,60%,69% (29/42),39% (11/28),0% (0/4),17% (6/35),41% (7/17),100% (2/2),8,57% (40/70),25% (13/52),43% (53/122),5,67% (8/12),18% (2/11),43% (10/23),"['3', '1', '5', '1']",[],[],[],[],1.35
CHALLENGER MEN - SINGLES :  Tiburon (USA) - Qualification,hard,header
03.10.2023,Mansouri S.,0,6^2,6^2,,,,8,2,66%,62% (37/60),39% (12/31),60% (6/10),30% (16/54),60% (25/42),40% (4/10),6,54% (49/91),43% (40/94),48% (89/185),4,67% (8/12),33% (4/12),50% (12/24),"['3', '3', '5', '3']","['1', '0', '2', '1']",[],[],[],1.69
03.10.2023,Schnur B.,2,7^7,7^7,,,,9,4,56%,70% (38/54),40% (17/42),60% (6/10),38% (23/60),61% (19/31),40% (4/10),5,57% (54/94),46% (42/91),52% (96/185),3,67% (8/12),33% (4/12),50% (12/24),"['2', '1', '4', '5']","['1', '1', '4', '4']",[],[],[],2.09
02.10.2023,Mansouri S.,2,1,6,6,,,12,6,63%,88% (36/41),50% (12/24),0% (0/2),27% (14/51),50% (17/34),29% (2/7),7,74% (48/65),36% (31/85),53% (79/150),3,79% (11/14),17% (2/12),50% (13/26),[],"['2', '0']","['4', '3']",[],[],1.11
02.10.2023,Rivera H.,1,6,3,4,,,2,4,60%,73% (37/51),50% (17/34),71% (5/7),12% (5/41),50% (12/24),100% (2/2),5,64% (54/85),26% (17/65),47% (71/150),5,83% (10/12),21% (3/14),50% (13/26),"['3', '1', '5', '1']",[],[],[],[],6.02
CHALLENGER MEN - SINGLES :  Charleston (USA),hard,header
26.09.2023,Mansouri S.,0,6^5,2,,,,3,1,58%,64% (23/36),46% (12/26),33% (2/6),26% (9/34),30% (6/20),100% (2/2),8,56% (35/62),28% (15/54),43% (50/116),2,60% (6/10),20% (2/10),40% (8/20),"['4', '4']","['1', '0']",[],[],[],3.41
26.09.2023,Walton A.,2,7^7,6,,,,5,2,63%,74% (25/34),70% (14/20),0% (0/2),36% (13/36),54% (14/26),67% (4/6),8,72% (39/54),44% (27/62),57% (66/116),6,80% (8/10),40% (4/10),60% (12/20),"['4', '3']","['2', '2', '4', '2', '6', '2']",[],[],[],1.29
CHALLENGER MEN - SINGLES :  Charleston (USA) - Qualification,hard,header
25.09.2023,Mansouri S.,1,6,2,5,,,13,4,62%,70% (46/66),40% (16/40),67% (10/15),21% (9/42),52% (17/33),75% (3/4),6,58% (62/106),35% (26/75),49% (88/181),4,67% (10/15),21% (3/14),45% (13/29),"['5', '3']",[],"['2', '1', '4', '1']",[],[],2.24
25.09.2023,Kwiatkowski T. S.,2,3,6,7,,,7,5,56%,79% (33/42),48% (16/33),25% (1/4),30% (20/66),60% (24/40),33% (5/15),6,65% (49/75),42% (44/106),51% (93/181),5,79% (11/14),33% (5/15),55% (16/29),[],"['4', '2', '6', '2']","['2', '4', '4', '4', '7', '5']",[],[],1.59
25.09.2023,Mansouri S.,2,7,6^1,7^9,,,16,7,64%,79% (65/82),37% (17/46),70% (7/10),42% (33/78),34% (21/61),36% (4/11),9,64% (82/128),39% (54/139),51% (136/267),3,83% (15/18),22% (4/18),53% (19/36),"['4', '4', '7', '5']",[],"['2', '1', '5', '4']",[],[],1.29
25.09.2023,Sinha A.,1,5,7^7,6^7,,,4,11,56%,58% (45/78),66% (40/61),64% (7/11),21% (17/82),63% (29/46),30% (3/10),14,61% (85/139),36% (46/128),49% (131/267),3,78% (14/18),17% (3/18),47% (17/36),"['2', '1']",[],"['3', '3', '5', '5']",[],[],3.41
CHALLENGER MEN - SINGLES :  Istanbul (Turkey),hard,header
05.09.2023,Mansouri S.,0,3,4,,,,10,5,62%,65% (26/40),48% (12/25),71% (5/7),30% (13/44),42% (10/24),0% (0/4),4,58% (38/65),34% (23/68),46% (61/133),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.97
05.09.2023,Tomic B.,2,6,6,,,,2,0,65%,70% (31/44),58% (14/24),100% (4/4),35% (14/40),52% (13/25),29% (2/7),8,66% (45/68),42% (27/65),54% (72/133),3,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['4', '3']",[],[],[],1.77
ITF MEN - SINGLES :  M25 Idanha-a-Nova (Portugal),hard,header
CHALLENGER MEN - SINGLES :  Grodzisk Mazowiecki (Poland),hard,header
16.08.2023,Mansouri S.,1,1,7,2,,,2,7,58%,63% (31/49),34% (12/35),46% (6/13),15% (5/33),48% (16/33),60% (3/5),5,51% (43/84),32% (21/66),43% (64/150),3,50% (7/14),23% (3/13),37% (10/27),[],"['2', '1', '6', '5']","['1', '4']",[],[],1.97
16.08.2023,Janvier M.,2,6,5,6,,,13,7,50%,85% (28/33),52% (17/33),40% (2/5),37% (18/49),66% (23/35),54% (7/13),14,68% (45/66),49% (41/84),57% (86/150),7,77% (10/13),50% (7/14),63% (17/27),"['2', '1', '4', '1', '6', '1']","['5', '5']","['2', '0', '4', '0', '6', '2']",[],[],1.79
15.08.2023,Mansouri S.,2,7^7,6,,,,11,1,59%,91% (32/35),58% (14/24),0% (0/1),31% (13/42),42% (10/24),50% (2/4),6,78% (46/59),35% (23/66),55% (69/125),3,91% (10/11),20% (2/10),57% (12/21),"['4', '5']","['3', '1']",[],[],[],2.22
15.08.2023,Ferreira Silva F.,0,6^4,3,,,,0,1,64%,69% (29/42),58% (14/24),50% (2/4),9% (3/35),42% (10/24),100% (1/1),6,65% (43/66),22% (13/59),45% (56/125),3,80% (8/10),9% (1/11),43% (9/21),"['3', '1']",[],[],[],[],1.62
ITF MEN - SINGLES :  M15 Monastir 32 (Tunisia),hard,header
ATP - SINGLES :  Los Cabos (Mexico),hard,header
02.08.2023,Mansouri S.,0,4,4,,,,4,5,57%,66% (29/44),27% (9/33),55% (6/11),15% (4/26),62% (18/29),100% (3/3),18,22,50% (9/18),5,49% (38/77),40% (22/55),45% (60/132),3,50% (5/10),30% (3/10),40% (8/20),"['3', '4']","['1', '0', '4', '3']",[],[],[],11.00
02.08.2023,De Minaur A.,2,6,6,,,,3,4,47%,85% (22/26),38% (11/29),0% (0/3),34% (15/44),73% (24/33),45% (5/11),8,10,63% (5/8),14,60% (33/55),51% (39/77),55% (72/132),3,70% (7/10),50% (5/10),60% (12/20),"['3', '1', '6', '4']","['2', '2', '4', '4', '6', '4']",[],[],[],1.05
ATP - SINGLES :  Los Cabos (Mexico) - Qualification,hard,header
31.07.2023,Mansouri S.,2,7^7,6,,,,9,7,61%,76% (37/49),42% (13/31),71% (5/7),38% (15/40),52% (16/31),38% (3/8),27,15,80% (20/25),5,63% (50/80),44% (31/71),54% (81/151),4,82% (9/11),30% (3/10),57% (12/21),"['4', '3']","['1', '1', '3', '1']",[],[],[],3.44
31.07.2023,Shelbayh A.,0,6^3,3,,,,1,5,56%,63% (25/40),48% (15/31),63% (5/8),24% (12/49),58% (18/31),29% (2/7),12,10,62% (8/13),5,56% (40/71),38% (30/80),46% (70/151),3,70% (7/10),18% (2/11),43% (9/21),"['5', '5']","['1', '0']",[],[],[],1.31
