Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES M15 Santiago 4 (Chile),clay,header
31.07.,Justo G. I.,0,,,,,,[],[],[],[],[],0
31.07.,Cavallo F.,1,,,,,,[],[],[],[],[],0
30.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
30.07.,Leguizamon B.,0,,,,,,[],[],[],[],[],0
ITF MEN - SINGLES M15 Santiago 3 (Chile),clay,header
27.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
27.07.,Ratti L.,0,,,,,,[],[],[],[],[],0
26.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
26.07.,Nunez D. A.,0,,,,,,[],[],[],[],[],0
25.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
25.07.,Cavallo F.,0,,,,,,[],[],[],[],[],0
24.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
24.07.,Villalon N.,0,,,,,,[],[],[],[],[],0
23.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
23.07.,Aguilar Cardozo F.,0,,,,,,[],[],[],[],[],0
ITF MEN - SINGLES M15 Salta (Argentina),clay,header
ITF MEN - SINGLES M15 San Salvador de Jujuy (Argentina),clay,header
CHALLENGER MEN - SINGLES Lima (Peru),clay,header
04.03.,Justo G. I.,0,,,,,,4,3,67%,61% (19/31),33% (5/15),33% (2/6),18% (6/33),50% (9/18),0% (0/4),52% (24/46),29% (15/51),40% (39/97),5,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
04.03.,Galan D. E.,2,,,,,,3,1,65%,82% (27/33),50% (9/18),100% (4/4),52% (16/31),67% (10/15),67% (4/6),71% (36/51),48% (22/46),60% (58/97),5,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Cordoba 2 (Argentina) - Qualification,clay,header
03.03.,Justo G. I.,2,,,,,,4,2,69%,63% (30/48),73% (16/22),60% (3/5),48% (25/52),46% (13/28),44% (4/9),66% (46/70),48% (38/80),56% (84/150),6,0,80% (8/10),40% (4/10),60% (12/20),[],[],[],[],[],0
03.03.,Ribero F.,0,,,,,,3,2,65%,52% (27/52),54% (15/28),56% (5/9),38% (18/48),27% (6/22),40% (2/5),53% (42/80),34% (24/70),44% (66/150),4,4,60% (6/10),20% (2/10),40% (8/20),[],[],[],[],[],0
ITF MEN - SINGLES M25 Yerba Buena (Argentina),clay,header
ITF MEN - SINGLES M25 Punta del Este 2 (Uruguay),clay,header
CHALLENGER MEN - SINGLES Rosario (Argentina),clay,header
07.02.,Justo G. I.,1,,,,,,4,3,81%,65% (51/79),44% (8/18),50% (5/10),35% (22/62),50% (16/32),50% (5/10),61% (59/97),40% (38/94),51% (97/191),3,2,69% (11/16),31% (5/16),50% (16/32),[],[],[],[],[],0
07.02.,Ugo Carabelli C.,2,,,,,,1,2,66%,65% (40/62),50% (16/32),50% (5/10),35% (28/79),56% (10/18),50% (5/10),60% (56/94),39% (38/97),49% (94/191),7,0,69% (11/16),31% (5/16),50% (16/32),[],[],[],[],[],0
05.02.,Justo G. I.,2,,,,,,2,0,80%,71% (39/55),50% (7/14),50% (2/4),48% (34/71),55% (11/20),38% (5/13),67% (46/69),49% (45/91),57% (91/160),8,0,83% (10/12),42% (5/12),63% (15/24),[],[],[],[],[],0
05.02.,Tirante T. A.,1,,,,,,0,1,78%,52% (37/71),45% (9/20),62% (8/13),29% (16/55),50% (7/14),50% (2/4),51% (46/91),33% (23/69),43% (69/160),2,0,58% (7/12),17% (2/12),38% (9/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Rosario (Argentina) - Qualification,clay,header
04.02.,Justo G. I.,2,,,,,,2,0,72%,74% (32/43),47% (8/17),67% (2/3),35% (14/40),59% (17/29),50% (3/6),67% (40/60),45% (31/69),55% (71/129),6,0,90% (9/10),30% (3/10),60% (12/20),[],[],[],[],[],0
04.02.,Villanueva G.,0,,,,,,1,1,58%,65% (26/40),41% (12/29),50% (3/6),26% (11/43),53% (9/17),33% (1/3),55% (38/69),33% (20/60),45% (58/129),4,2,70% (7/10),10% (1/10),40% (8/20),[],[],[],[],[],0
03.02.,Justo G. I.,2,,,,,,0,4,75%,56% (31/55),44% (8/18),38% (3/8),38% (21/56),52% (16/31),45% (5/11),53% (39/73),43% (37/87),48% (76/160),7,0,62% (8/13),36% (5/14),48% (13/27),[],[],[],[],[],0
03.02.,Lingua Lavallen A. L.,1,,,,,,2,3,64%,63% (35/56),48% (15/31),55% (6/11),44% (24/55),56% (10/18),63% (5/8),57% (50/87),47% (34/73),53% (84/160),3,2,64% (9/14),38% (5/13),52% (14/27),[],[],[],[],[],0
