Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Sabadell 2 (Spain),clay,header
28.09. 15:10,Mager G.,0,6^6,,,,,"['2', '1']",[],[],[],[],1.68
26.06. 13:40,Mager G.,2,6,3,6,,,6,3,54%,73% (32/44),59% (22/37),86% (6/7),34% (15/44),38% (9/24),43% (3/7),9,67% (54/81),35% (24/68),52% (78/149),5,92% (12/13),25% (3/12),60% (15/25),"['3', '1', '5', '1']",[],"['5', '3']",[],[],1.64
26.06. 13:40,Pacheco Mendez R.,1,1,6,3,,,4,2,65%,66% (29/44),63% (15/24),57% (4/7),27% (12/44),41% (15/37),14% (1/7),6,65% (44/68),33% (27/81),48% (71/149),3,75% (9/12),8% (1/13),40% (10/25),[],"['3', '1']",[],[],[],2.20
CHALLENGER MEN - SINGLES :  Poznan (Poland),clay,header
19.06. 15:10,Mager G.,0,3,4,,,,3,5,63%,49% (22/45),42% (11/26),36% (4/11),43% (21/49),55% (17/31),44% (4/9),5,46% (33/71),48% (38/80),47% (71/151),2,30% (3/10),44% (4/9),37% (7/19),"['2', '4']","['1', '0', '2', '1', '4', '3']",[],[],[],1.79
19.06. 15:10,Svrcina D.,2,6,6,,,,0,7,61%,57% (28/49),45% (14/31),56% (5/9),51% (23/45),58% (15/26),64% (7/11),4,53% (42/80),54% (38/71),53% (80/151),4,56% (5/9),70% (7/10),63% (12/19),"['2', '1', '4', '1', '6', '3']","['1', '1', '2', '2', '4', '4', '6', '4']",[],[],[],1.95
17.06. 19:40,Mager G.,2,7,7^7,,,,3,3,50%,69% (35/51),59% (30/51),89% (8/9),26% (9/35),43% (18/42),25% (2/8),6,64% (65/102),37% (27/73),53% (92/175),3,92% (11/12),18% (2/11),57% (13/23),"['6', '5']","['2', '3']",[],[],[],1.49
17.06. 19:40,Luz O.,0,5,6^1,,,,5,3,45%,74% (26/35),57% (24/42),75% (6/8),31% (16/51),41% (21/51),11% (1/9),4,63% (46/73),36% (37/102),47% (83/175),2,82% (9/11),8% (1/12),43% (10/23),[],"['3', '1']",[],[],[],2.53
CHALLENGER MEN - SINGLES :  Perugia (Italy),clay,header
11.06. 13:35,Mager G.,0,6^5,5,,,,6,2,69%,71% (35/49),50% (11/22),40% (2/5),31% (19/62),50% (14/28),33% (2/6),7,65% (46/71),37% (33/90),49% (79/161),2,75% (9/12),17% (2/12),46% (11/24),[],"['1', '1', '4', '4']",[],[],[],1.39
11.06. 13:35,Arnaboldi F.,2,7^7,7,,,,6,0,69%,69% (43/62),50% (14/28),67% (4/6),29% (14/49),50% (11/22),60% (3/5),7,63% (57/90),35% (25/71),51% (82/161),3,83% (10/12),25% (3/12),54% (13/24),[],"['1', '0', '4', '3', '6', '5']",[],[],[],2.89
CHALLENGER MEN - SINGLES :  Perugia (Italy) - Qualification,clay,header
10.06. 13:40,Mager G.,0,4,2,,,,3,0,56%,69% (24/35),46% (13/28),63% (5/8),15% (5/33),43% (6/14),0% (0/0),4,59% (37/63),23% (11/47),44% (48/110),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.59
10.06. 13:40,Bonadio R.,2,6,6,,,,2,0,70%,85% (28/33),57% (8/14),0% (0/0),31% (11/35),54% (15/28),38% (3/8),6,77% (36/47),41% (26/63),56% (62/110),3,100% (9/9),33% (3/9),67% (12/18),"['3', '2']","['1', '0', '5', '2']",[],[],[],2.28
09.06. 14:35,Mager G.,2,6,6,,,,5,1,66%,70% (28/40),81% (17/21),0% (0/0),33% (16/49),45% (9/20),22% (2/9),6,74% (45/61),36% (25/69),54% (70/130),3,100% (10/10),20% (2/10),60% (12/20),"['2', '1']","['4', '3']",[],[],[],1.22
09.06. 14:35,Barrena A.,0,4,4,,,,1,2,71%,67% (33/49),55% (11/20),78% (7/9),30% (12/40),19% (4/21),0% (0/0),6,64% (44/69),26% (16/61),46% (60/130),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],4.06
ATP - SINGLES :  Geneva (Switzerland) - Qualification,clay,header
18.05. 19:25,Mager G.,0,3,1,,,,2,6,53%,63% (19/30),41% (11/27),64% (7/11),11% (3/28),45% (9/20),0% (0/1),11,9,60% (3/5),5,53% (30/57),25% (12/48),40% (42/105),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.43
18.05. 19:25,Goffin D.,2,6,6,,,,9,1,58%,89% (25/28),55% (11/20),100% (1/1),37% (11/30),59% (16/27),36% (4/11),24,4,67% (6/9),7,75% (36/48),47% (27/57),60% (63/105),6,100% (8/8),50% (4/8),75% (12/16),"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.53
CHALLENGER MEN - SINGLES :  Turin 2 (Italy) - Qualification,clay,header
13.05. 17:40,Mager G.,0,4,1,,,,3,4,50%,68% (15/22),41% (9/22),43% (3/7),24% (10/41),50% (8/16),20% (1/5),5,55% (24/44),32% (18/57),42% (42/101),2,50% (4/8),11% (1/9),29% (5/17),"['2', '1']",[],[],[],[],2.21
13.05. 17:40,Meligeni Alves F.,2,6,6,,,,3,0,72%,76% (31/41),50% (8/16),80% (4/5),32% (7/22),59% (13/22),57% (4/7),6,68% (39/57),45% (20/44),58% (59/101),5,89% (8/9),50% (4/8),71% (12/17),"['2', '2', '6', '4']","['2', '0', '5', '1']",[],[],[],1.63
CHALLENGER MEN - SINGLES :  Francavilla (Italy),clay,header
07.05. 17:00,Mager G.,1,6,6^5,2,,,6,1,56%,71% (40/56),48% (21/44),67% (8/12),19% (8/42),53% (21/40),38% (3/8),10,61% (61/100),35% (29/82),49% (90/182),3,73% (11/15),21% (3/14),48% (14/29),"['2', '0']","['1', '0', '6', '5']",[],[],[],1.55
07.05. 17:00,Elias G.,2,3,7^7,6,,,4,1,51%,81% (34/42),48% (19/40),63% (5/8),29% (16/56),52% (23/44),33% (4/12),7,65% (53/82),39% (39/100),51% (92/182),4,79% (11/14),27% (4/15),52% (15/29),[],"['1', '1', '6', '6']","['1', '0', '5', '2']",[],[],2.38
ATP - SINGLES :  Barcelona (Spain) - Qualification,clay,header
14.04. 15:50,Mager G.,0,3,1,,,,2,0,54%,45% (10/22),42% (8/19),29% (2/7),24% (6/25),35% (7/20),33% (1/3),4,44% (18/41),29% (13/45),36% (31/86),1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '0']",[],[],[],1.65
14.04. 15:50,Trungelliti M.,2,6,6,,,,1,0,56%,76% (19/25),65% (13/20),67% (2/3),55% (12/22),58% (11/19),71% (5/7),7,71% (32/45),56% (23/41),64% (55/86),6,88% (7/8),63% (5/8),75% (12/16),"['4', '3', '6', '3']","['1', '1', '3', '1', '5', '1']",[],[],[],2.25
13.04. 18:05,Mager G.,2,6,6,,,,8,1,55%,95% (21/22),50% (9/18),100% (3/3),50% (13/26),69% (11/16),71% (5/7),11,75% (30/40),57% (24/42),66% (54/82),4,100% (7/7),63% (5/8),80% (12/15),"['1', '0', '3', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],2.53
13.04. 18:05,Zapata Miralles B.,0,2,1,,,,1,2,62%,50% (13/26),31% (5/16),29% (2/7),5% (1/22),50% (9/18),0% (0/3),7,43% (18/42),25% (10/40),34% (28/82),1,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],1.49
CHALLENGER MEN - SINGLES :  Florianopolis (Brazil),clay,header
06.04. 23:15,Mager G.,0,2,4,,,,6,3,61%,68% (23/34),36% (8/22),50% (3/6),19% (5/26),27% (6/22),0% (0/1),4,55% (31/56),23% (11/48),40% (42/104),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.64
