Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.07.,Barsukov N.,2,,,,,,[],"['1', '2', '5', '4']","['2', '1', '4', '1']",[],[],2.26
28.11.2024,Braga V.,0,,,,,,[],"['1', '3', '2', '4']",[],[],[],9.05
27.11.2024,Kelm Y.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '2', '6', '3']",[],[],[],1.31
27.11.2024,Hrynkiewicz J.,0,,,,,,[],"['2', '2']",[],[],[],3.20
21.11.2024,Andre S.,2,,,,,,"['4', '2']","['1', '0', '4', '3']",[],[],[],1.30
21.11.2024,Kelm Y.,0,,,,,,[],"['3', '3']",[],[],[],3.30
19.11.2024,Kelm Y.,2,,,,,,"['2', '1', '5', '2']","['2', '3', '5', '4']",[],[],[],1.23
19.11.2024,Schold T.,0,,,,,,[],"['3', '1', '5', '5']",[],[],[],3.81
02.10.2024,Szymkowiak K.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '5', '4']",[],[],[],1.49
02.10.2024,Kelm Y.,0,,,,,,[],"['3', '3']",[],[],[],2.47
20.08.2024,Raquillet L.,2,,,,,,"['2', '0']","['2', '0', '5', '1', '6', '4']","['2', '0', '6', '4']",[],[],1.50
20.08.2024,Kelm Y.,1,,,,,,"['1', '2', '5', '4']","['2', '5', '4', '5']","['4', '5']",[],[],2.47
15.08.2024,Wiedenmann L.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.18
15.08.2024,Kelm Y.,0,,,,,,[],"['1', '5']",[],[],[],4.51
14.08.2024,Kelm Y.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['2', '1', '5', '4']",[],[],[],3.24
14.08.2024,Ujvary M.,0,,,,,,"['1', '2', '2', '5']","['2', '2', '5', '5']",[],[],[],1.31
17.07.2024,Marysko V.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['4', '2', '6', '2']",[],[],[],1.54
17.07.2024,Kelm Y.,0,,,,,,"['2', '0']",[],[],[],[],2.36
30.06.2024,Dellavedova M.,2,,,,,,2,1,72%,71% (24/34),46% (6/13),0% (0/0),48% (14/29),73% (19/26),50% (5/10),75% (24/32),59% (29/49),65% (53/81),7,0,100% (7/7),71% (5/7),86% (12/14),"['4', '2', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.23
30.06.2024,Kelm Y.,0,,,,,,0,6,53%,52% (15/29),27% (7/26),50% (5/10),29% (10/34),54% (7/13),0% (0/0),41% (20/49),25% (8/32),35% (28/81),3,2,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],3.95
19.05.2024,Dzhavakian Y.,2,,,,,,3,4,49%,65% (20/31),47% (15/32),67% (6/9),67% (12/18),65% (17/26),100% (6/6),56% (35/63),66% (29/44),60% (64/107),8,0,67% (6/9),75% (6/8),71% (12/17),"['2', '2', '3', '3', '6', '4']","['1', '1', '3', '1', '5', '1']",[],[],[],1.73
19.05.2024,Kelm Y.,0,,,,,,1,4,41%,33% (6/18),35% (9/26),0% (0/6),35% (11/31),53% (17/32),33% (3/9),34% (15/44),44% (28/63),40% (43/107),2,0,25% (2/8),33% (3/9),29% (5/17),"['2', '1', '3', '2']","['1', '0']",[],[],[],2.00
23.04.2024,Broska F.,2,,,,,,"['2', '1', '5', '2']","['1', '4']","['2', '0', '5', '1']",[],[],1.48
23.04.2024,Kelm Y.,1,,,,,,[],"['2', '0', '4', '0']",[],[],[],2.53
13.04.2024,Passaro F.,2,,,,,,0,1,77%,70% (30/43),69% (9/13),100% (2/2),32% (8/25),55% (11/20),60% (3/5),70% (39/56),42% (19/45),57% (58/101),7,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['2', '1', '5', '2']",[],[],[],1.03
13.04.2024,Kelm Y.,0,,,,,,0,2,56%,68% (17/25),45% (9/20),40% (2/5),30% (13/43),31% (4/13),0% (0/2),58% (26/45),30% (17/56),43% (43/101),3,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],12.50
29.10.2023,Mansouri S.,2,,,,,,21,9,64%,79% (46/58),39% (13/33),43% (3/7),23% (14/60),57% (27/47),50% (4/8),65% (59/91),38% (41/107),51% (100/198),73% (11/15),27% (4/15),50% (15/30),"['1', '1', '5', '3']","['2', '5']","['3', '1']",[],[],1.10
29.10.2023,Kelm Y.,1,,,,,,2,12,56%,77% (46/60),43% (20/47),50% (4/8),21% (12/58),61% (20/33),57% (4/7),62% (66/107),35% (32/91),49% (98/198),73% (11/15),27% (4/15),50% (15/30),"['1', '0']","['3', '1', '5', '1']","['2', '3']",[],[],6.40
12.09.2023,Ujvary M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],2.33
12.09.2023,Kelm Y.,0,,,,,,[],[],[],[],[],1.55
31.08.2023,Negritu Ch.,2,,,,,,"['2', '1', '4', '1']","['2', '3', '5', '4']",[],[],[],1.46
31.08.2023,Kelm Y.,0,,,,,,[],"['2', '0']",[],[],[],2.57
30.08.2023,Kelm Y.,2,,,,,,[],"['4', '2', '6', '6']","['1', '0', '4', '1']",[],[],3.48
30.08.2023,Schnaitter J.,1,,,,,,"['5', '4']","['4', '5', '6', '5']",[],[],[],1.27
10.08.2023,Broska F.,2,,,,,,"['2', '1', '4', '1']","['1', '0']","['1', '0', '3', '2', '5', '2']",[],[],1.39
10.08.2023,Kelm Y.,1,,,,,,"['2', '4']","['2', '2', '6', '4']","['2', '2']",[],[],2.82
