Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.08.2023,Loffhagen G.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '4', '1']",[],[],[],1.11
05.08.2023,Simkiss L.,0,,,,,,[],[],[],[],[],5.73
04.08.2023,Simkiss L.,2,,,,,,"['3', '2']","['1', '2']","['3', '1']",[],[],5.15
04.08.2023,Added D.,1,,,,,,[],"['2', '0', '3', '1', '5', '1']",[],[],[],1.14
03.08.2023,Simkiss L.,2,,,,,,"['4', '5']","['2', '1']","['1', '0', '4', '3', '6', '3']",[],[],2.08
03.08.2023,Goodger J.,1,,,,,,"['5', '3', '7', '5']",[],"['1', '1']",[],[],1.69
02.08.2023,Simkiss L.,2,,,,,,"['3', '2', '6', '5']","['3', '2', '5', '2']",[],[],[],1.40
02.08.2023,Gaal C.,0,,,,,,"['5', '5']","['3', '5']",[],[],[],2.78
01.08.2023,Simkiss L.,2,,,,,,"['4', '2']",[],"['7', '5']",[],[],2.01
01.08.2023,Jansen W.,1,,,,,,[],"['2', '0', '5', '1']",[],[],[],1.72
12.07.2023,Pinnington Jones J.,2,,,,,,"['2', '2']","['3', '1']","['5', '4']",[],[],1.26
12.07.2023,Simkiss L.,1,,,,,,"['2', '1', '4', '3']",[],[],[],[],3.72
12.07.2023,Simkiss L.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '3', '1', '6', '2']",[],[],[],1.45
12.07.2023,Habib A.,0,,,,,,[],"['1', '2']",[],[],[],2.63
