Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.02.,Nakagawa N.,2,,,,,,"['3', '2', '5', '2']","['3', '2']",[],[],[],1.38
04.08.2024,Kozlov S.,2,,,,,,2,2,75%,63% (33/52),29% (5/17),20% (1/5),0 km/h,0 km/h,39% (16/41),68% (23/34),56% (5/9),55% (38/69),52% (39/75),53% (77/144),7,0,64% (7/11),45% (5/11),55% (12/22),"['1', '0', '2', '1', '4', '1']","['4', '3', '5', '4']",[],[],[],1.11
04.08.2024,Altamirano C.,0,,,,,,8,2,55%,61% (25/41),32% (11/34),44% (4/9),0 km/h,0 km/h,37% (19/52),71% (12/17),80% (4/5),48% (36/75),45% (31/69),47% (67/144),3,0,55% (6/11),36% (4/11),45% (10/22),"['1', '1', '3', '5']","['4', '4', '5', '5']",[],[],[],5.91
31.07.2024,Fishback R.,2,,,,,,[],"['3', '1']","['1', '0', '3', '0']",[],[],2.92
31.07.2024,Altamirano C.,1,,,,,,"['1', '0', '5', '2']",[],[],[],[],1.37
02.07.2024,Anthrop J.,2,,,,,,"['2', '0', '4', '0']","['4', '3', '6', '3']",[],[],[],1.51
02.07.2024,Altamirano C.,0,,,,,,[],[],[],[],[],2.45
27.06.2024,Smith K.,2,,,,,,[],"['2', '1', '5', '2']","['2', '1', '3', '2', '6', '3']",[],[],1.48
27.06.2024,Altamirano C.,1,,,,,,"['6', '4']",[],"['2', '2']",[],[],2.53
26.06.2024,Altamirano C.,2,,,,,,"['5', '4']","['1', '0', '3', '0']",[],[],[],1.72
26.06.2024,McKennon M.,0,,,,,,[],[],[],[],[],2.02
21.06.2024,Summers M.,2,,,,,,[],"['7', '5']",[],[],[],2.75
21.06.2024,Altamirano C.,0,,,,,,[],[],[],[],[],1.41
20.06.2024,Altamirano C.,2,,,,,,"['1', '0', '4', '5']","['3', '2', '5', '2']","['1', '2', '4', '5']",[],[],1.70
20.06.2024,Pham D.,1,,,,,,"['1', '1', '5', '3', '6', '4']",[],"['2', '0', '4', '2']",[],[],2.05
18.06.2024,Altamirano C.,2,,,,,,"['2', '3']","['2', '3', '3', '4']","['4', '2', '6', '4']",[],[],2.34
18.06.2024,Boulais J.,1,,,,,,"['3', '1', '7', '5']","['2', '0', '4', '2']","['3', '4']",[],[],1.55
14.06.2024,Kirchheimer S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],[],1.45
14.06.2024,Altamirano C.,0,,,,,,[],[],[],[],[],2.62
13.06.2024,Altamirano C.,2,,,,,,"['3', '1']","['2', '5']","['2', '0', '5', '1']",[],[],1.43
13.06.2024,Brumm J.,1,,,,,,[],"['3', '1', '5', '1']",[],[],[],2.68
07.06.2024,Rubio Fierros A. F.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.60
07.06.2024,Altamirano C.,0,,,,,,[],[],[],[],[],2.24
06.06.2024,Altamirano C.,2,,,,,,"['4', '4', '6', '4']","['3', '3', '6', '4']",[],[],[],1.48
06.06.2024,Brumm J.,0,,,,,,"['1', '0']","['3', '2']",[],[],[],2.53
05.06.2024,Altamirano C.,2,,,,,,"['2', '0', '5', '3']","['1', '2', '3', '2']",[],[],[],1.91
05.06.2024,Pham D.,0,,,,,,"['1', '2']","['2', '0']",[],[],[],1.81
30.05.2024,Ponwith N.,2,,,,,,"['3', '1', '6', '4']","['1', '1']","['1', '0', '5', '2']",[],[],1.53
30.05.2024,Altamirano C.,1,,,,,,"['3', '4']","['1', '0', '2', '1', '4', '1', '6', '1']","['3', '5']",[],[],2.39
29.05.2024,Altamirano C.,2,,,,,,"['2', '1', '6', '3']","['2', '0']",[],[],[],2.10
29.05.2024,McKennon M.,0,,,,,,[],[],[],[],[],1.68
14.04.2024,Osorio J. S.,2,,,,,,2,9,63%,60% (36/60),44% (16/36),50% (5/10),37% (25/67),64% (23/36),43% (6/14),54% (52/96),47% (48/103),50% (100/199),6,0,64% (9/14),40% (6/15),52% (15/29),"['3', '1']","['1', '4', '2', '5']","['1', '1', '3', '1', '6', '2']",[],[],4.06
14.04.2024,Altamirano C.,1,,,,,,3,1,65%,63% (42/67),36% (13/36),57% (8/14),40% (24/60),56% (20/36),50% (5/10),53% (55/103),46% (44/96),50% (99/199),4,1,60% (9/15),36% (5/14),48% (14/29),"['3', '4']","['2', '0', '4', '0', '5', '1']","['1', '0']",[],[],1.22
20.03.2024,Artnak B.,2,,,,,,"['5', '3']",[],[],[],[],1.43
20.03.2024,Altamirano C.,0,,,,,,[],[],[],[],[],2.68
14.03.2024,Sell K.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['2', '1', '4', '3', '6', '3']",[],[],[],1.19
14.03.2024,Altamirano C.,0,,,,,,"['1', '2']","['3', '3']",[],[],[],4.37
