Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.,Guinard M.,2,,,,,,12,3,54%,82% (31/38),58% (19/33),0% (0/3),31% (16/52),49% (21/43),25% (4/16),36,38,71% (12/17),70% (50/71),39% (37/95),52% (87/166),5,0,79% (11/14),29% (4/14),54% (15/28),"['3', '2', '5', '4']","['1', '0']","['4', '2']",[],[],1.68
11.08.,Magadan A.,1,,,,,,2,6,55%,69% (36/52),51% (22/43),75% (12/16),18% (7/38),42% (14/33),100% (3/3),17,33,64% (7/11),61% (58/95),30% (21/71),48% (79/166),5,1,71% (10/14),21% (3/14),46% (13/28),"['3', '3']","['1', '1', '3', '1']",[],[],[],21.0
06.08.,van Loben Sels E.,2,,,,,,"['1', '0']","['2', '2', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.75
26.11.2024,Magadan A.,2,,,,,,2,1,57%,75% (27/36),63% (17/27),67% (2/3),26% (9/34),61% (17/28),75% (3/4),70% (44/63),42% (26/62),56% (70/125),7,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '5', '1']","['5', '4']",[],[],[],1.40
26.11.2024,Schachter N.,0,,,,,,6,5,55%,74% (25/34),39% (11/28),25% (1/4),25% (9/36),37% (10/27),33% (1/3),58% (36/62),30% (19/63),44% (55/125),3,1,67% (6/9),10% (1/10),37% (7/19),[],"['5', '5']",[],[],[],2.81
20.11.2024,Ilagan A.,2,,,,,,8,1,68%,74% (28/38),67% (12/18),100% (4/4),39% (9/23),65% (13/20),100% (4/4),71% (40/56),51% (22/43),63% (62/99),5,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '3', '0', '5', '0']","['3', '2']",[],[],[],1.30
20.11.2024,Magadan A.,0,,,,,,1,3,53%,61% (14/23),35% (7/20),0% (0/4),26% (10/38),33% (6/18),0% (0/4),49% (21/43),29% (16/56),37% (37/99),5,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.33
19.11.2024,Magadan A.,2,,,,,,4,6,49%,63% (24/38),41% (16/39),17% (1/6),39% (14/36),59% (29/49),38% (6/16),52% (40/77),51% (43/85),51% (83/162),6,0,55% (6/11),55% (6/11),55% (12/22),"['1', '1', '3', '1', '4', '4', '6', '4']","['3', '3', '5', '3']",[],[],[],2.63
19.11.2024,Artnak B.,0,,,,,,10,8,42%,61% (22/36),41% (20/49),63% (10/16),37% (14/38),59% (23/39),83% (5/6),49% (42/85),48% (37/77),49% (79/162),4,4,45% (5/11),45% (5/11),45% (10/22),"['1', '0', '2', '3', '4', '3']","['2', '1', '4', '5']",[],[],[],1.45
18.11.2024,Magadan A.,2,,,,,,2,2,59%,77% (27/35),58% (14/24),100% (4/4),39% (13/33),52% (16/31),33% (3/9),69% (41/59),45% (29/64),57% (70/123),9,0,100% (9/9),33% (3/9),67% (12/18),"['6', '4']","['4', '2', '6', '2']",[],[],[],1.62
18.11.2024,Schachter N.,0,,,,,,5,3,52%,61% (20/33),48% (15/31),67% (6/9),23% (8/35),42% (10/24),0% (0/4),55% (35/64),31% (18/59),43% (53/123),1,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.21
17.11.2024,Magadan A.,2,,,,,,4,2,63%,74% (31/42),56% (14/25),60% (3/5),32% (15/47),44% (11/25),75% (3/4),67% (45/67),36% (26/72),51% (71/139),6,0,82% (9/11),27% (3/11),55% (12/22),"['4', '4']","['3', '2', '5', '2']",[],[],[],-
17.11.2024,Rybakov A.,0,,,,,,5,1,65%,68% (32/47),56% (14/25),25% (1/4),26% (11/42),44% (11/25),40% (2/5),64% (46/72),33% (22/67),49% (68/139),4,2,73% (8/11),18% (2/11),45% (10/22),"['3', '2']","['3', '5']",[],[],[],-
23.10.2024,Vandecasteele Q.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '6', '2']",[],[],[],1.73
23.10.2024,Magadan A.,0,,,,,,[],[],[],[],[],1.99
17.10.2024,Monday J.,2,,,,,,"['2', '3', '5', '4']","['1', '0', '4', '1', '6', '1']",[],[],[],1.13
17.10.2024,Magadan A.,0,,,,,,"['3', '1']",[],[],[],[],5.32
16.10.2024,Magadan A.,2,,,,,,"['3', '1', '5', '1']","['4', '5', '6', '5']",[],[],[],3.62
16.10.2024,Ganesan A.,0,,,,,,[],"['2', '0']",[],[],[],1.25
25.07.2024,Araujo P.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['1', '0', '2', '3', '4', '3']",[],[],[],1.42
25.07.2024,Magadan A.,0,,,,,,"['1', '4']","['1', '1', '3', '1']",[],[],[],2.72
24.07.2024,Magadan A.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.69
24.07.2024,Cekirge K.,0,,,,,,[],[],[],[],[],2.06
