Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.07.,Sinclair C.,1,,,,,,[],"['2', '0', '6', '2']","['2', '0']",[],[],1.26
27.02.,Mo Y. C.,0,,,,,,[],[],[],[],[],3.09
25.02.,Lee D. H.,2,,,,,,"['1', '1', '3', '1', '4', '2', '6', '2']","['2', '0', '3', '1', '6', '4']",[],[],[],1.04
25.02.,Pan W.,0,,,,,,"['1', '0', '2', '3']","['1', '2', '3', '4']",[],[],[],8.10
01.01.,Ferguson C.,2,,,,,,[],"['1', '1', '2', '2', '5', '3']","['1', '0', '6', '3']",[],[],2.94
01.01.,Lee D. H.,1,,,,,,"['3', '2', '5', '2']","['1', '0', '2', '1']",[],[],[],1.36
25.12.2024,Weber A.,2,,,,,,[],[],[],[],[],1.71
25.12.2024,Lee D. H.,0,,,,,,[],[],[],[],[],2.01
23.12.2024,Lee D. H.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '2', '3', '2']",[],[],[],2.35
23.12.2024,Hurrion M.,0,,,,,,"['1', '1']","['2', '0']",[],[],[],1.54
21.12.2024,Weber A.,1,,,,,,[],"['4', '2']","['1', '0', '3', '0']",[],[],1.53
21.12.2024,Lee D. H.,1,,,,,,"['2', '0', '5', '1']",[],[],[],[],2.37
20.12.2024,Lee D. H.,2,,,,,,"['2', '2', '4', '2']","['1', '0', '3', '4', '5', '4']",[],[],[],1.94
20.12.2024,Muhamad Rifqi F.,0,,,,,,"['1', '0']","['2', '2', '4', '2', '5', '5']",[],[],[],1.77
19.12.2024,Lee D. H.,0,,,,,,"['2', '3', '4', '3']",[],[],[],[],2.33
19.12.2024,Adams H.,0,,,,,,"['3', '1']",[],[],[],[],1.55
18.12.2024,Lee D. H.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '4', '3', '5', '4']",[],[],[],1.59
18.12.2024,Verbin P.,0,,,,,,[],"['3', '3', '4', '4']",[],[],[],2.24
28.10.2024,Moriya H.,2,,,,,,0,4,44%,70% (23/33),48% (20/42),75% (6/8),50% (18/36),69% (9/13),56% (5/9),57% (43/75),55% (27/49),56% (70/124),6,0,78% (7/9),56% (5/9),67% (12/18),"['3', '1']","['1', '0', '3', '2', '5', '2', '6', '3']",[],[],[],1.61
28.10.2024,Lee D. H.,0,,,,,,0,2,73%,50% (18/36),31% (4/13),44% (4/9),30% (10/33),52% (22/42),25% (2/8),45% (22/49),43% (32/75),44% (54/124),4,0,44% (4/9),22% (2/9),33% (6/18),[],"['1', '1', '3', '5']",[],[],[],2.23
27.10.2024,Lee D. H.,2,,,,,,0,5,77%,58% (42/73),45% (10/22),29% (2/7),40% (27/67),62% (16/26),63% (5/8),55% (52/95),46% (43/93),51% (95/188),7,0,14% (2/14),79% (11/14),46% (13/28),[],[],[],[],[],2.89
27.10.2024,Takahashi Y.,1,,,,,,4,1,72%,60% (40/67),38% (10/26),38% (3/8),42% (31/73),55% (12/22),71% (5/7),54% (50/93),45% (43/95),49% (93/188),3,5,21% (3/14),86% (12/14),54% (15/28),[],[],[],[],[],1.38
23.09.2024,Dzhavakian Y.,2,,,,,,5,3,49%,92% (23/25),46% (12/26),0% (0/0),54% (14/26),56% (10/18),67% (4/6),69% (35/51),55% (24/44),62% (59/95),5,0,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['3', '1']",[],[],[],1.84
23.09.2024,Lee D. H.,0,,,,,,0,3,59%,46% (12/26),44% (8/18),33% (2/6),8% (2/25),54% (14/26),0% (0/0),45% (20/44),31% (16/51),38% (36/95),5,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],1.88
19.09.2024,Park U.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '2']",[],[],[],1.47
19.09.2024,Lee D. H.,0,,,,,,[],"['2', '3']",[],[],[],2.56
18.09.2024,Lee D. H.,2,,,,,,"['4', '2']","['1', '0']",[],[],[],1.10
18.09.2024,Yu B.,0,,,,,,[],"['5', '5']",[],[],[],6.10
11.09.2024,Rawat S.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],2.53
11.09.2024,Lee D. H.,0,,,,,,[],[],[],[],[],1.48
