Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.06.,Sinclair C.,2,,,,,,"['4', '2']","['3', '2', '4', '3']","['1', '0', '2', '1', '6', '3']",[],[],1.87
13.03.,Yamasaki J.,0,,,,,,"['2', '0', '3', '3']","['2', '0']",[],[],[],-
13.03.,Yamasaki J.,2,,,,,,"['4', '3', '6', '3']","['4', '2']",[],[],[],1.14
13.03.,Covato M.,0,,,,,,[],[],[],[],[],4.90
05.03.,Trongcharoenchaikul W.,2,,,,,,"['6', '5']",[],"['3', '2']",[],[],2.66
05.03.,Yamasaki J.,1,,,,,,[],"['3', '1', '6', '2']","['5', '5']",[],[],1.43
27.02.,Zhang T.,2,,,,,,"['2', '0']","['3', '1']","['2', '1']",[],[],1.71
27.02.,Yamasaki J.,1,,,,,,"['1', '2', '4', '3']",[],[],[],[],2.01
26.02.,Yamasaki J.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '3', '2', '5', '2']",[],[],[],1.92
26.02.,Ichikawa T.,0,,,,,,"['2', '2']","['1', '1', '3', '5']",[],[],[],1.78
25.12.2024,Charlton J.,2,,,,,,"['4', '5']","['6', '4']","['3', '1', '5', '1']",[],[],2.12
25.12.2024,Yamasaki J.,1,,,,,,"['5', '3']",[],[],[],[],1.66
24.12.2024,Yamasaki J.,2,,,,,,"['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.17
24.12.2024,Susanto A.,0,,,,,,[],[],[],[],[],4.48
30.12.2023,Lee D. H.,2,,,,,,[],[],[],[],[],1.64
30.12.2023,Yamasaki J.,1,,,,,,[],[],[],[],[],2.17
29.12.2023,Yamasaki J.,2,,,,,,[],[],[],[],[],2.01
29.12.2023,Kumasaka T.,0,,,,,,[],[],[],[],[],1.73
28.12.2023,Yamasaki J.,2,,,,,,[],[],[],[],[],1.40
28.12.2023,Sueoka Y.,0,,,,,,[],[],[],[],[],2.79
26.12.2023,Yamasaki J.,2,,,,,,[],[],[],[],[],1.61
26.12.2023,Nishiwaki K.,0,,,,,,[],[],[],[],[],2.22
22.12.2023,Shiraishi H.,2,,,,,,[],[],[],[],[],-
22.12.2023,Yamasaki J.,0,,,,,,[],[],[],[],[],-
22.12.2023,Yamasaki J.,2,,,,,,[],[],[],[],[],1.91
22.12.2023,Matsuda K.,1,,,,,,[],[],[],[],[],1.80
