Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.08.,Santillan A.,2,,,,,,"['1', '1', '3', '3', '7', '5']","['4', '2']",[],[],[],20.5
06.05.,Zhang T.,2,,,,,,"['4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],1.02
06.05.,Gao Z.,0,,,,,,[],[],[],[],[],10.00
29.04.,Zhao L.,2,,,,,,"['2', '1', '5', '2']",[],[],[],[],2.94
29.04.,Zhang T.,0,,,,,,[],[],[],[],[],1.36
17.04.,Zhang T.,2,,,,,,"['3', '1']","['5', '4']",[],[],[],1.83
17.04.,Benchetrit E.,0,,,,,,[],[],[],[],[],1.87
16.04.,Zhang T.,2,,,,,,"['2', '0', '5', '3']","['3', '2', '5', '2']",[],[],[],1.31
16.04.,Efstathiou M.,0,,,,,,"['1', '2']",[],[],[],[],3.20
14.03.,Crawford O.,2,,,,,,"['4', '2', '6', '2']","['2', '0', '4', '0']",[],[],[],1.37
14.03.,Zhang T.,0,,,,,,[],[],[],[],[],2.89
13.03.,Zhang T.,2,,,,,,"['4', '2']","['5', '4']",[],[],[],2.47
13.03.,Imamura M.,0,,,,,,[],[],[],[],[],1.49
12.03.,Zhang T.,2,,,,,,"['5', '4']","['2', '3', '5', '4']",[],[],[],1.06
12.03.,Motta A.,0,,,,,,[],"['3', '1']",[],[],[],7.10
07.03.,Agafonov E.,1,,,,,,"['5', '4', '6', '5']","['2', '1', '4', '1']",[],[],[],1.59
07.03.,Zhang T.,0,,,,,,"['5', '5']",[],[],[],[],2.24
06.03.,Zhang T.,2,,,,,,"['2', '0', '3', '1']","['1', '4', '3', '4']","['3', '1', '5', '1']",[],[],1.55
06.03.,Leong M. W. K.,1,,,,,,"['1', '2']","['2', '0', '4', '0', '5', '3']",[],[],[],2.32
05.03.,Zhang T.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],1.53
05.03.,Matsuda R.,0,,,,,,[],[],[],[],[],2.37
02.03.,Te R.,2,,,,,,"['1', '0', '6', '3']","['1', '1', '4', '2', '6', '2']",[],[],[],1.59
02.03.,Zhang T.,0,,,,,,[],"['1', '0']",[],[],[],2.24
01.03.,Zhang T.,2,,,,,,"['3', '3', '6', '4']","['3', '1']",[],[],[],1.68
01.03.,Castelnuovo L.,0,,,,,,"['1', '0']",[],[],[],[],2.09
28.02.,Zhang T.,2,,,,,,"['6', '4']","['2', '0']",[],[],[],1.45
28.02.,Matsuda K.,0,,,,,,[],[],[],[],[],2.59
27.02.,Zhang T.,2,,,,,,"['2', '0']","['3', '1']","['2', '1']",[],[],1.71
27.02.,Yamasaki J.,1,,,,,,"['1', '2', '4', '3']",[],[],[],[],2.01
26.02.,Zhang T.,2,,,,,,[],"['2', '0', '4', '0']","['6', '5']",[],[],1.60
26.02.,Masabayashi T.,1,,,,,,"['5', '4']",[],[],[],[],2.22
30.10.2024,Xiao L.,2,,,,,,"['3', '1', '4', '2']","['2', '1', '6', '3']",[],[],[],2.62
30.10.2024,Zhang T.,0,,,,,,"['2', '3']",[],[],[],[],1.44
22.10.2024,Cui J.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '3', '1']",[],[],[],1.59
22.10.2024,Zhang T.,0,,,,,,[],"['1', '2', '2', '3']",[],[],[],2.24
17.10.2024,Cazaux A.,2,,,,,,7,2,58%,86% (32/37),56% (15/27),100% (5/5),31% (12/39),59% (17/29),50% (3/6),73% (47/64),43% (29/68),58% (76/132),8,0,100% (9/9),30% (3/10),63% (12/19),[],"['1', '0', '3', '0', '6', '1']",[],[],[],1.08
17.10.2024,Zhang T.,0,,,,,,3,1,57%,69% (27/39),41% (12/29),50% (3/6),14% (5/37),44% (12/27),0% (0/5),57% (39/68),27% (17/64),42% (56/132),2,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],6.94
15.10.2024,Zhang T.,2,,,,,,7,4,60%,71% (41/58),53% (20/38),50% (3/6),27% (13/48),51% (24/47),36% (4/11),64% (61/96),39% (37/95),51% (98/191),6,0,80% (12/15),27% (4/15),53% (16/30),[],[],[],[],[],2.69
15.10.2024,Sekulic P.,1,,,,,,7,10,51%,73% (35/48),49% (23/47),64% (7/11),29% (17/58),47% (18/38),50% (3/6),61% (58/95),36% (35/96),49% (93/191),4,0,73% (11/15),20% (3/15),47% (14/30),[],[],[],[],[],1.43
14.10.2024,Zhang T.,2,,,,,,6,4,68%,70% (31/44),48% (10/21),75% (6/8),38% (19/50),71% (20/28),31% (5/16),63% (41/65),50% (39/78),56% (80/143),6,0,80% (8/10),50% (5/10),65% (13/20),"['3', '1', '5', '5', '7', '5']","['2', '0', '6', '2']",[],[],[],1.57
14.10.2024,Tkemaladze Z.,0,,,,,,2,6,64%,62% (31/50),29% (8/28),69% (11/16),30% (13/44),52% (11/21),25% (2/8),50% (39/78),37% (24/65),44% (63/143),4,2,50% (5/10),20% (2/10),35% (7/20),"['2', '3', '4', '3']",[],[],[],[],2.31
13.10.2024,Zhang T.,2,,,,,,6,6,58%,76% (29/38),61% (17/28),0% (0/2),43% (20/47),46% (17/37),45% (5/11),70% (46/66),44% (37/84),55% (83/150),7,0,85% (11/13),38% (5/13),62% (16/26),"['3', '1', '5', '1', '6', '2']",[],"['3', '1', '6', '2']",[],[],1.49
13.10.2024,Huang T.,1,,,,,,3,6,56%,57% (27/47),54% (20/37),55% (6/11),24% (9/38),39% (11/28),100% (2/2),56% (47/84),30% (20/66),45% (67/150),3,0,62% (8/13),15% (2/13),38% (10/26),"['2', '5']","['2', '1']",[],[],[],2.51
