Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Cordenons (Italy),clay,header
10.06. 13:40,Bonadio R.,2,6,6,,,,2,0,70%,85% (28/33),57% (8/14),0% (0/0),31% (11/35),54% (15/28),38% (3/8),6,77% (36/47),41% (26/63),56% (62/110),3,100% (9/9),33% (3/9),67% (12/18),"['3', '2']","['1', '0', '5', '2']",[],[],[],2.28
10.06. 13:40,Mager G.,0,4,2,,,,3,0,56%,69% (24/35),46% (13/28),63% (5/8),15% (5/33),43% (6/14),0% (0/0),4,59% (37/63),23% (11/47),44% (48/110),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.59
09.06. 13:40,Bonadio R.,2,6,6,,,,4,0,77%,91% (21/23),100% (7/7),0% (0/0),50% (10/20),92% (12/13),83% (5/6),15,93% (28/30),67% (22/33),79% (50/63),11,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0']",[],[],[],1.01
09.06. 13:40,Lavoratori P.,0,0,1,,,,3,1,61%,50% (10/20),8% (1/13),17% (1/6),9% (2/23),0% (0/7),0% (0/0),3,33% (11/33),7% (2/30),21% (13/63),1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],13.50
CHALLENGER MEN - SINGLES :  Zagreb (Croatia) - Qualification,clay,header
03.06. 15:15,Bonadio R.,1,6,2,5,,,3,1,62%,61% (35/57),43% (15/35),44% (4/9),42% (22/53),41% (18/44),67% (4/6),8,54% (50/92),41% (40/97),48% (90/189),3,64% (9/14),29% (4/14),46% (13/28),"['2', '0', '6', '2']",[],"['4', '2', '5', '5']",[],[],2.26
03.06. 15:15,Elias G.,2,2,6,7,,,3,1,55%,58% (31/53),59% (26/44),33% (2/6),39% (22/57),57% (20/35),56% (5/9),6,59% (57/97),46% (42/92),52% (99/189),4,71% (10/14),36% (5/14),54% (15/28),[],"['1', '0', '3', '0']","['3', '4', '5', '4', '6', '5']",[],[],1.60
02.06. 16:35,Bonadio R.,2,7,6,,,,1,2,53%,69% (24/35),35% (11/31),50% (4/8),51% (23/45),58% (11/19),58% (7/12),4,53% (35/66),53% (34/64),53% (69/130),5,60% (6/10),64% (7/11),62% (13/21),"['1', '0', '2', '1', '3', '2', '6', '5']","['1', '0', '4', '1', '6', '3']",[],[],[],1.05
02.06. 16:35,Mashtakov N.,0,5,3,,,,0,4,70%,49% (22/45),42% (8/19),42% (5/12),31% (11/35),65% (20/31),50% (4/8),6,47% (30/64),47% (31/66),47% (61/130),3,36% (4/11),40% (4/10),38% (8/21),"['1', '1', '2', '2', '4', '4']","['3', '5']",[],[],[],8.70
CHALLENGER MEN - SINGLES :  Vicenza (Italy) - Qualification,clay,header
27.05. 14:05,Bonadio R.,0,5,5,,,,1,2,64%,62% (29/47),42% (11/26),50% (5/10),41% (18/44),37% (11/30),38% (3/8),7,55% (40/73),39% (29/74),47% (69/147),2,58% (7/12),25% (3/12),42% (10/24),"['4', '5']","['1', '0', '5', '4']",[],[],[],1.41
27.05. 14:05,Arnaboldi F.,2,7,7,,,,7,0,59%,59% (26/44),63% (19/30),63% (5/8),38% (18/47),58% (15/26),50% (5/10),8,61% (45/74),45% (33/73),53% (78/147),3,75% (9/12),42% (5/12),58% (14/24),"['5', '3', '7', '5']","['3', '3', '5', '5', '7', '5']",[],[],[],2.80
26.05. 13:35,Bonadio R.,2,6,6,,,,6,1,61%,61% (28/46),59% (17/29),80% (8/10),42% (16/38),53% (8/15),67% (4/6),9,60% (45/75),45% (24/53),54% (69/128),3,80% (8/10),40% (4/10),60% (12/20),"['1', '2', '4', '3']","['1', '0', '4', '1']",[],[],[],1.48
26.05. 13:35,Serafini M.,0,4,4,,,,2,4,72%,58% (22/38),47% (7/15),33% (2/6),39% (18/46),41% (12/29),20% (2/10),8,55% (29/53),40% (30/75),46% (59/128),2,60% (6/10),20% (2/10),40% (8/20),"['2', '0']","['2', '4']",[],[],[],2.56
CHALLENGER MEN - SINGLES :  Augsburg (Germany),clay,header
24.05. 16:00,Bonadio R.,1,6,2,5,,,3,1,60%,59% (29/49),63% (20/32),60% (6/10),34% (23/68),50% (16/32),33% (3/9),8,60% (49/81),39% (39/100),49% (88/181),4,71% (10/14),20% (3/15),45% (13/29),"['4', '3', '6', '3']",[],"['4', '4']",[],[],2.16
24.05. 16:00,Moeller E.,2,3,6,7,,,3,5,68%,66% (45/68),50% (16/32),67% (6/9),41% (20/49),38% (12/32),40% (4/10),9,61% (61/100),40% (32/81),51% (93/181),4,80% (12/15),29% (4/14),55% (16/29),[],"['1', '0', '3', '0']","['2', '1', '6', '5']",[],[],1.64
23.05. 13:40,Bonadio R.,2,1,6,6,,,1,0,59%,78% (32/41),41% (12/29),33% (1/3),30% (14/46),52% (11/21),75% (3/4),10,63% (44/70),37% (25/67),50% (69/137),5,83% (10/12),25% (3/12),54% (13/24),[],"['2', '0', '6', '2']","['2', '0']",[],[],1.85
23.05. 13:40,Gomez F. A.,1,6,2,3,,,3,5,69%,70% (32/46),48% (10/21),25% (1/4),22% (9/41),59% (17/29),67% (2/3),8,63% (42/67),37% (26/70),50% (68/137),5,75% (9/12),17% (2/12),46% (11/24),"['2', '0', '4', '0']",[],[],[],[],1.87
22.05. 18:10,Bonadio R.,2,6,7^7,,,,3,2,57%,69% (36/52),44% (17/39),67% (4/6),40% (21/52),39% (7/18),75% (3/4),4,58% (53/91),40% (28/70),50% (81/161),6,82% (9/11),27% (3/11),55% (12/22),"['3', '4', '5', '4']","['1', '0']",[],[],[],1.38
22.05. 18:10,Dedura-Palomero D.,0,4,6^5,,,,1,1,74%,60% (31/52),61% (11/18),25% (1/4),31% (16/52),56% (22/39),33% (2/6),6,60% (42/70),42% (38/91),50% (80/161),3,73% (8/11),18% (2/11),45% (10/22),"['4', '2']","['2', '2']",[],[],[],2.93
20.05. 20:50,Bonadio R.,2,6,6,,,,7,2,50%,75% (18/24),63% (15/24),80% (4/5),44% (18/41),67% (22/33),26% (5/19),7,69% (33/48),54% (40/74),60% (73/122),7,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.71
20.05. 20:50,Naw H.,0,3,0,,,,1,9,55%,56% (23/41),33% (11/33),74% (14/19),25% (6/24),38% (9/24),20% (1/5),3,46% (34/74),31% (15/48),40% (49/122),1,29% (2/7),13% (1/8),20% (3/15),"['1', '2']",[],[],[],[],2.06
CHALLENGER MEN - SINGLES :  Tunis (Tunisia) - Qualification,clay,header
13.05. 16:15,Bonadio R.,1,6,3,4,,,4,3,66%,69% (41/59),53% (16/30),33% (1/3),22% (11/51),39% (14/36),17% (1/6),6,64% (57/89),29% (25/86),47% (82/175),3,86% (12/14),7% (1/15),45% (13/29),"['4', '3']",[],[],[],[],1.79
13.05. 16:15,Vrbensky M.,2,4,6,6,,,5,1,59%,76% (39/51),61% (22/36),83% (5/6),31% (18/59),47% (14/30),67% (2/3),7,71% (61/86),36% (32/89),53% (93/175),3,93% (14/15),14% (2/14),55% (16/29),[],"['4', '2']","['4', '3']",[],[],1.95
12.05. 19:05,Bonadio R.,2,3,6,7^8,,,2,3,58%,79% (42/53),53% (20/38),78% (7/9),22% (11/51),52% (34/66),20% (2/10),5,68% (62/91),38% (45/117),51% (107/208),3,87% (13/15),13% (2/15),50% (15/30),[],"['3', '1']","['3', '4']",[],[],1.41
12.05. 19:05,Bellier A.,1,6,3,6^6,,,9,12,44%,78% (40/51),48% (32/66),80% (8/10),21% (11/53),47% (18/38),22% (2/9),5,62% (72/117),32% (29/91),49% (101/208),3,87% (13/15),13% (2/15),50% (15/30),"['5', '3']",[],"['3', '1']",[],[],2.80
CHALLENGER MEN - SINGLES :  Rome (Italy) - Qualification,clay,header
21.04. 18:45,Bonadio R.,1,4,6,3,,,1,3,64%,64% (41/64),42% (15/36),55% (6/11),31% (15/49),38% (11/29),38% (3/8),5,56% (56/100),33% (26/78),46% (82/178),3,67% (10/15),21% (3/14),45% (13/29),[],"['1', '1', '2', '2', '6', '4']",[],[],[],1.90
21.04. 18:45,Buse I.,2,6,4,6,,,6,0,63%,69% (34/49),62% (18/29),63% (5/8),36% (23/64),58% (21/36),45% (5/11),8,67% (52/78),44% (44/100),54% (96/178),3,79% (11/14),33% (5/15),55% (16/29),"['3', '2']","['1', '0', '2', '1']","['3', '2', '6', '3']",[],[],1.84
CHALLENGER MEN - SINGLES :  Barletta (Italy),clay,header
05.04. 16:35,Bonadio R.,0,5,5,,,,1,1,71%,57% (30/53),55% (12/22),50% (4/8),24% (11/46),59% (20/34),33% (2/6),26,13,43% (3/7),6,56% (42/75),39% (31/80),47% (73/155),3,67% (8/12),17% (2/12),42% (10/24),"['4', '5']","['1', '0']",[],[],[],2.26
05.04. 16:35,Skatov T.,2,7,7,,,,1,3,58%,76% (35/46),41% (14/34),67% (4/6),43% (23/53),45% (10/22),50% (4/8),22,15,67% (10/15),7,61% (49/80),44% (33/75),53% (82/155),3,83% (10/12),33% (4/12),58% (14/24),"['2', '0', '7', '5']","['2', '2', '7', '5']",[],[],[],1.59
04.04. 14:40,Bonadio R.,2,6,6,,,,1,2,60%,75% (21/28),58% (11/19),67% (2/3),49% (18/37),63% (12/19),42% (5/12),14,9,88% (7/8),9,68% (32/47),54% (30/56),60% (62/103),7,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['3', '3', '5', '3']",[],[],[],1.98
04.04. 14:40,Dalla Valle E.,0,1,3,,,,0,0,66%,51% (19/37),37% (7/19),58% (7/12),25% (7/28),42% (8/19),33% (1/3),13,6,56% (9/16),4,46% (26/56),32% (15/47),40% (41/103),3,38% (3/8),13% (1/8),25% (4/16),[],"['2', '1']",[],[],[],1.77
02.04. 20:15,Bonadio R.,2,6,6,,,,1,2,63%,55% (22/40),54% (13/24),67% (6/9),52% (15/29),71% (15/21),60% (6/10),18,3,50% (3/6),6,55% (35/64),60% (30/50),57% (65/114),4,67% (6/9),75% (6/8),71% (12/17),"['2', '0', '4', '2', '6', '2']","['1', '1', '2', '2', '5', '3']",[],[],[],2.09
02.04. 20:15,Fatic N.,0,2,3,,,,2,2,58%,48% (14/29),29% (6/21),40% (4/10),45% (18/40),46% (11/24),33% (3/9),13,11,67% (10/15),5,40% (20/50),45% (29/64),43% (49/114),2,25% (2/8),33% (3/9),29% (5/17),"['1', '2']","['1', '0', '2', '1']",[],[],[],1.70
CHALLENGER MEN - SINGLES :  Zadar (Croatia),clay,header
19.03. 14:55,Bonadio R.,1,4,7^7,3,,,5,2,68%,59% (38/64),63% (19/30),20% (1/5),27% (21/78),53% (17/32),29% (2/7),7,61% (57/94),35% (38/110),47% (95/204),3,73% (11/15),13% (2/16),42% (13/31),[],"['1', '1', '4', '2']",[],[],[],2.80
19.03. 14:55,Kolar Z.,2,6,6^4,6,,,1,3,71%,73% (57/78),47% (15/32),71% (5/7),41% (26/64),37% (11/30),80% (4/5),11,65% (72/110),39% (37/94),53% (109/204),3,88% (14/16),27% (4/15),58% (18/31),"['3', '2']","['1', '0', '4', '5']","['3', '1']",[],[],1.41
CHALLENGER MEN - SINGLES :  Lugano (Switzerland) - Qualification,hard,header
04.03. 14:35,Bonadio R.,0,3,2,,,,5,4,57%,64% (18/28),43% (9/21),63% (5/8),18% (6/33),33% (5/15),0% (0/1),5,55% (27/49),23% (11/48),39% (38/97),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.66
04.03. 14:35,Masur D.,2,6,6,,,,3,1,69%,82% (27/33),67% (10/15),100% (1/1),36% (10/28),57% (12/21),38% (3/8),5,77% (37/48),45% (22/49),61% (59/97),3,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['1', '0', '4', '1']",[],[],[],1.26
03.03. 14:35,Bonadio R.,2,6,4,6,,,5,2,60%,71% (40/56),57% (21/37),80% (4/5),33% (21/63),39% (11/28),60% (3/5),5,66% (61/93),35% (32/91),51% (93/184),3,93% (13/14),20% (3/15),55% (16/29),"['2', '1', '6', '3']",[],"['6', '4']",[],[],1.41
03.03. 14:35,Bondioli F.,1,3,6,4,,,9,3,69%,67% (42/63),61% (17/28),40% (2/5),29% (16/56),43% (16/37),20% (1/5),5,65% (59/91),34% (32/93),49% (91/184),3,80% (12/15),7% (1/14),45% (13/29),[],"['3', '2']",[],[],[],2.80
CHALLENGER MEN - SINGLES :  Tenerife 3 (Spain),hard,header
