Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Zeuch T.,2,,,,,,"['3', '3', '6', '4']","['1', '1', '3', '5']","['4', '2', '5', '3']",[],[],3.79
17.06.,Barreto Sanchez D. A.,2,,,,,,2,0,64%,68% (36/53),43% (13/30),63% (5/8),48% (19/40),52% (14/27),71% (5/7),59% (49/83),49% (33/67),55% (82/150),5,0,70% (7/10),56% (5/9),63% (12/19),"['1', '0', '3', '0', '6', '5']","['2', '0', '4', '0']",[],[],[],1.40
17.06.,Barreiros Reyes M.,0,,,,,,1,5,60%,53% (21/40),48% (13/27),29% (2/7),32% (17/53),57% (17/30),38% (3/8),51% (34/67),41% (34/83),45% (68/150),5,0,44% (4/9),30% (3/10),37% (7/19),"['1', '3', '4', '4', '6', '6']",[],[],[],[],2.81
15.06.,Barreto Sanchez D. A.,2,,,,,,0,1,60%,81% (17/21),79% (11/14),0% (0/0),58% (11/19),67% (10/15),45% (5/11),80% (28/35),62% (21/34),71% (49/69),7,0,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.01
15.06.,Suarez L.,0,,,,,,0,2,56%,42% (8/19),33% (5/15),55% (6/11),19% (4/21),21% (3/14),0% (0/0),38% (13/34),20% (7/35),29% (20/69),3,1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],12.00
10.06.,Collarini A.,2,,,,,,0,1,75%,66% (31/47),56% (9/16),50% (2/4),48% (22/46),33% (6/18),80% (4/5),63% (40/63),44% (28/64),54% (68/127),7,0,82% (9/11),36% (4/11),59% (13/22),"['1', '0', '5', '4']","['1', '0', '6', '5']",[],[],[],1.18
10.06.,Barreto Sanchez D. A.,0,,,,,,1,0,72%,52% (24/46),67% (12/18),20% (1/5),34% (16/47),44% (7/16),50% (2/4),56% (36/64),37% (23/63),46% (59/127),3,0,64% (7/11),18% (2/11),41% (9/22),"['1', '1']","['3', '3']",[],[],[],4.46
09.06.,Leite W.,2,,,,,,1,0,69%,61% (20/33),73% (11/15),75% (3/4),47% (15/32),69% (11/16),100% (5/5),65% (31/48),54% (26/48),59% (57/96),7,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],3.80
09.06.,Barreto Sanchez D. A.,0,,,,,,2,1,67%,53% (17/32),31% (5/16),0% (0/5),39% (13/33),27% (4/15),25% (1/4),46% (22/48),35% (17/48),41% (39/96),3,1,38% (3/8),13% (1/8),25% (4/16),"['1', '1']",[],[],[],[],1.24
08.06.,Barreto Sanchez D. A.,2,,,,,,1,1,74%,77% (27/35),67% (8/12),0% (0/0),50% (14/28),69% (11/16),80% (4/5),74% (35/47),52% (23/44),64% (58/91),8,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '5', '2']",[],[],[],1.24
08.06.,Tenti F.,0,,,,,,0,0,64%,57% (16/28),31% (5/16),20% (1/5),23% (8/35),33% (4/12),0% (0/0),48% (21/44),26% (12/47),36% (33/91),2,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],3.80
30.05.,Damas M.,2,,,,,,"['3', '2', '5', '4']","['1', '2', '3', '4', '4', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.71
30.05.,Barreto Sanchez D. A.,1,,,,,,"['4', '4']","['2', '0', '3', '1', '5', '3']",[],[],[],2.04
29.05.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '3']",[],[],[],1.72
29.05.,Domingues J.,0,,,,,,[],"['2', '3']",[],[],[],2.00
28.05.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['2', '0', '6', '2']",[],[],[],-
28.05.,Segado Esteve R.,0,,,,,,"['2', '3']",[],[],[],[],-
22.05.,Marcondes I.,2,,,,,,"['3', '2', '6', '3']","['4', '2']",[],[],[],-
22.05.,Barreto Sanchez D. A.,0,,,,,,[],[],[],[],[],-
21.05.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['5', '4']",[],[],[],-
21.05.,Horoz A.,0,,,,,,"['1', '2', '2', '5']",[],[],[],[],-
17.05.,Marcondes I.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['2', '0', '5', '1']",[],[],[],1.66
17.05.,Barreto Sanchez D. A.,0,,,,,,"['1', '0']",[],[],[],[],2.11
16.05.,Barreto Sanchez D. A.,2,,,,,,[],"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],-
16.05.,Rottoli L.,1,,,,,,"['4', '3']",[],"['2', '4']",[],[],-
15.05.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '2', '6', '2']",[],[],[],-
15.05.,Aiukhanov A.,0,,,,,,[],[],[],[],[],-
14.05.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '2', '1', '4', '3']",[],[],[],-
14.05.,Allen L.,0,,,,,,[],"['1', '1', '3', '3']",[],[],[],-
01.05.,Djuric B.,2,,,,,,"['1', '0', '3', '0', '5', '4']","['4', '3']",[],[],[],-
01.05.,Barreto Sanchez D. A.,0,,,,,,"['2', '4', '4', '4']",[],[],[],[],-
30.04.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '3', '1', '4', '4', '6', '4']","['2', '0', '3', '1', '6', '4']",[],[],[],-
30.04.,Jeran A.,0,,,,,,"['1', '2', '2', '3', '4', '3']","['1', '2', '3', '4']",[],[],[],-
26.04.,Juhas K.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '5', '2']",[],[],[],-
26.04.,Barreto Sanchez D. A.,0,,,,,,[],"['3', '5']",[],[],[],-
26.04.,Barreto Sanchez D. A.,2,,,,,,"['1', '0', '6', '5']","['2', '1', '4', '1']",[],[],[],1.52
26.04.,Pankin S.,0,,,,,,"['3', '3']",[],[],[],[],2.31
25.04.,Barreto Sanchez D. A.,2,,,,,,[],"['1', '0', '4', '1', '6', '1']",[],[],[],1.33
25.04.,Bastiaansen P.,0,,,,,,[],[],[],[],[],2.95
15.04.,Agwi M.,2,,,,,,"['3', '2']","['2', '1', '5', '4']","['2', '3', '4', '3']",[],[],-
15.04.,Barreto Sanchez D. A.,1,,,,,,"['4', '4', '6', '4']","['3', '3']","['3', '1', '5', '5']",[],[],-
27.03.,Slump S.,2,,,,,,"['4', '3', '6', '3']","['2', '0']",[],[],[],-
27.03.,Barreto Sanchez D. A.,0,,,,,,[],"['1', '2']",[],[],[],-
26.03.,Barreto Sanchez D. A.,2,,,,,,"['3', '1']","['1', '0', '5', '2']",[],[],[],1.50
26.03.,Von der Schulenburg J.,0,,,,,,[],[],[],[],[],2.44
21.03.,Gulin S.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],-
21.03.,Barreto Sanchez D. A.,0,,,,,,[],"['1', '5']",[],[],[],-
20.03.,Barreto Sanchez D. A.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['3', '3', '4', '4', '6', '4']",[],[],[],-
20.03.,Angeloni L.,0,,,,,,"['1', '0']","['3', '2', '4', '3']",[],[],[],-
20.03.,Barreto Sanchez D. A.,2,,,,,,"['2', '0', '5', '3']","['1', '0']","['4', '3', '6', '3']",[],[],1.63
20.03.,Von der Schulenburg J.,1,,,,,,"['1', '2', '4', '5']","['1', '1', '3', '1', '6', '2']",[],[],[],2.09
26.02.,Gobat A.,2,,,,,,"['3', '1']","['4', '5']",[],[],[],-
26.02.,Barreto Sanchez D. A.,0,,,,,,[],"['5', '3']",[],[],[],-
21.02.,Crawford O.,2,,,,,,"['2', '1', '6', '3']",[],"['4', '2']",[],[],-
21.02.,Barreto Sanchez D. A.,1,,,,,,[],"['2', '1']",[],[],[],-
20.02.,Barreto Sanchez D. A.,2,,,,,,[],"['2', '0', '6', '2']","['4', '2', '5', '3']",[],[],-
20.02.,Demin Y.,1,,,,,,"['3', '2', '5', '2']",[],"['3', '4']",[],[],-
19.02.,Barreto Sanchez D. A.,2,,,,,,"['4', '2', '5', '3']","['4', '3', '6', '3']",[],[],[],-
19.02.,Miletich I.,0,,,,,,"['3', '4']",[],[],[],[],-
