Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.07.,Andrade da Silva L.,2,,,,,,[],"['2', '0', '5', '1', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],2.24
19.03.,Ribeiro de Almeida G.,0,,,,,,1,2,60%,52% (13/25),29% (5/17),17% (1/6),36% (19/53),50% (11/22),17% (1/6),43% (18/42),40% (30/75),41% (48/117),0,0,38% (3/8),13% (1/8),25% (4/16),[],"['2', '3']",[],[],[],2.77
17.03.,Ribeiro de Almeida G.,2,,,,,,0,1,67%,65% (26/40),55% (11/20),57% (4/7),43% (24/56),68% (15/22),33% (5/15),62% (37/60),50% (39/78),55% (76/138),7,0,70% (7/10),50% (5/10),60% (12/20),"['2', '2', '4', '4']","['1', '0', '3', '0', '5', '2']",[],[],[],1.41
17.03.,Gimenez I.,0,,,,,,2,4,72%,57% (32/56),32% (7/22),67% (10/15),35% (14/40),45% (9/20),43% (3/7),50% (39/78),38% (23/60),45% (62/138),3,0,50% (5/10),30% (3/10),40% (8/20),"['1', '0', '4', '3']","['1', '3']",[],[],[],2.77
16.03.,Ribeiro de Almeida G.,2,,,,,,4,3,68%,74% (37/50),58% (14/24),75% (3/4),33% (14/42),54% (19/35),36% (4/11),69% (51/74),43% (33/77),56% (84/151),7,0,92% (11/12),33% (4/12),63% (15/24),[],"['2', '0', '6', '2']","['2', '0', '5', '1']",[],[],1.74
16.03.,Monzon I.,1,,,,,,2,6,55%,67% (28/42),46% (16/35),64% (7/11),26% (13/50),42% (10/24),25% (1/4),57% (44/77),31% (23/74),44% (67/151),3,0,67% (8/12),8% (1/12),38% (9/24),"['3', '1']",[],[],[],[],2.00
13.03.,Dutra Da Silva D.,2,,,,,,"['2', '1', '5', '2']","['4', '3']",[],[],[],1.61
13.03.,Ribeiro de Almeida G.,0,,,,,,[],[],[],[],[],2.20
11.03.,Ribeiro de Almeida G.,2,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],1.07
11.03.,Vergara del Puerto M. A.,0,,,,,,[],[],[],[],[],7.00
27.02.,Ambrogi L. E.,2,,,,,,"['4', '4', '7', '5']","['1', '1', '3', '3', '5', '3', '6', '4']",[],[],[],1.13
27.02.,Ribeiro de Almeida G.,0,,,,,,"['2', '1']","['1', '0', '2', '1', '4', '5']",[],[],[],4.85
25.02.,Ribeiro de Almeida G.,2,,,,,,"['4', '4']",[],"['4', '2', '5', '3']",[],[],1.41
25.02.,Del Pino M.,1,,,,,,"['4', '3']","['2', '0']","['3', '4']",[],[],2.73
20.02.,Ambrogi L. E.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '5', '2']",[],[],[],1.33
20.02.,Ribeiro de Almeida G.,0,,,,,,[],[],[],[],[],3.09
19.02.,Ribeiro de Almeida G.,2,,,,,,"['1', '0', '2', '1', '4', '1']","['1', '0', '4', '1', '5', '2']",[],[],[],3.32
19.02.,Kicker N.,0,,,,,,"['1', '1']","['2', '4', '3', '5']",[],[],[],1.29
13.02.,Aboian V.,2,,,,,,"['2', '0', '6', '2']",[],"['4', '2']",[],[],1.42
13.02.,Ribeiro de Almeida G.,1,,,,,,[],"['2', '1', '5', '2']",[],[],[],2.69
01.12.2024,Casanova H.,2,,,,,,"['3', '1', '4', '2']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.17
01.12.2024,Ribeiro de Almeida G.,0,,,,,,"['2', '3']","['1', '5']",[],[],[],4.57
30.11.2024,Ribeiro de Almeida G.,2,,,,,,"['2', '3']","['4', '2']","['1', '0', '4', '1']",[],[],2.10
30.11.2024,La Serna J. M.,1,,,,,,"['2', '0', '4', '2']",[],[],[],[],1.67
29.11.2024,Ribeiro de Almeida G.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '3', '2', '5', '2']",[],[],[],1.21
29.11.2024,Pagani D.,0,,,,,,[],"['2', '2']",[],[],[],4.04
28.11.2024,Ribeiro de Almeida G.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '3', '1', '5', '1']",[],[],[],1.04
28.11.2024,Correa Beguerie L.,0,,,,,,[],"['1', '2']",[],[],[],8.50
26.11.2024,Ribeiro de Almeida G.,2,,,,,,"['3', '3', '7', '5']","['2', '2', '7', '5']",[],[],[],1.99
26.11.2024,Vankan M.,0,,,,,,"['3', '2']","['1', '0']",[],[],[],1.73
22.11.2024,Rodriguez L. J.,2,,,,,,"['1', '1']","['2', '0']","['1', '0', '6', '5']",[],[],1.28
22.11.2024,Ribeiro de Almeida G.,1,,,,,,"['1', '0', '5', '4']","['1', '2']","['2', '2']",[],[],3.40
21.11.2024,Ribeiro de Almeida G.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '4', '0']",[],[],[],2.18
21.11.2024,Ribero F.,0,,,,,,[],[],[],[],[],1.62
20.11.2024,Ribeiro de Almeida G.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '1', '4', '2', '6', '2']",[],[],[],-
20.11.2024,Russo S.,0,,,,,,[],"['1', '2', '2', '3']",[],[],[],-
12.11.2024,Monzon I.,2,,,,,,"['6', '4']","['4', '2', '6', '2']",[],[],[],1.83
12.11.2024,Ribeiro de Almeida G.,0,,,,,,[],[],[],[],[],1.87
08.11.2024,Soto M.,2,,,,,,"['4', '2']","['2', '1', '4', '3']",[],[],[],1.09
08.11.2024,Ribeiro de Almeida G.,0,,,,,,[],"['3', '3', '5', '5']",[],[],[],6.17
07.11.2024,Ribeiro de Almeida G.,2,,,,,,"['4', '3']","['3', '4']",[],[],[],1.18
07.11.2024,Augusto dos Santos R.,0,,,,,,[],"['3', '1']",[],[],[],4.33
