Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
21.08.,Maia H.,2,,,,,,"['3', '2']",[],"['7', '5']",[],[],3.20
30.05.,Lalami Laaroussi Y.,2,,,,,,"['5', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],3.40
30.05.,Reymond A.,0,,,,,,[],"['1', '3']",[],[],[],1.28
29.05.,Lalami Laaroussi Y.,2,,,,,,[],"['2', '1', '3', '4']","['2', '1', '4', '1', '6', '1']",[],[],1.68
29.05.,Torrealba B.,1,,,,,,[],"['2', '2', '4', '2', '6', '4']",[],[],[],2.09
28.05.,Lalami Laaroussi Y.,2,,,,,,"['2', '0', '4', '0']","['4', '5', '6', '5']",[],[],[],2.59
28.05.,Gima S.,0,,,,,,[],"['3', '1']",[],[],[],1.45
22.05.,Blanch D.,2,,,,,,"['1', '0']","['1', '0', '3', '0']","['2', '1', '4', '3', '6', '5']",[],[],1.19
22.05.,Lalami Laaroussi Y.,1,,,,,,"['1', '1', '4', '2', '6', '2']",[],"['2', '2', '4', '4']",[],[],4.24
21.05.,Lalami Laaroussi Y.,2,,,,,,"['2', '1', '5', '2']","['2', '1']","['4', '5']",[],[],1.73
21.05.,Lipp M.,1,,,,,,[],"['3', '3', '6', '4']","['3', '1']",[],[],1.99
23.04.,Bonsach G. K.,2,,,,,,[],"['2', '1']","['6', '4']",[],[],1.53
23.04.,Lalami Laaroussi Y.,1,,,,,,"['4', '2', '6', '2']","['4', '4']",[],[],[],2.37
13.04.,Ouakaa A.,2,,,,,,1,1,63%,72% (31/43),72% (18/25),60% (3/5),39% (21/54),65% (11/17),38% (5/13),72% (49/68),45% (32/71),58% (81/139),5,0,85% (11/13),42% (5/12),64% (16/25),"['2', '0', '4', '0', '6', '0']",[],"['2', '2', '4', '2']",[],[],1.55
13.04.,Lalami Laaroussi Y.,1,,,,,,1,7,76%,61% (33/54),35% (6/17),62% (8/13),28% (12/43),28% (7/25),40% (2/5),55% (39/71),28% (19/68),42% (58/139),5,2,58% (7/12),15% (2/13),36% (9/25),[],"['4', '3']","['2', '1']",[],[],2.34
01.04.,Carreno-Busta P.,2,,,,,,2,1,59%,85% (22/26),72% (13/18),100% (1/1),183 km/h,145 km/h,34% (12/35),74% (17/23),44% (4/9),15,11,82% (9/11),80% (35/44),50% (29/58),63% (64/102),7,0,100% (8/8),50% (4/8),75% (12/16),"['3', '1', '5', '1']","['3', '2', '6', '3']",[],[],[],1.01
01.04.,Lalami Laaroussi Y.,0,,,,,,1,5,60%,66% (23/35),26% (6/23),56% (5/9),195 km/h,150 km/h,15% (4/26),28% (5/18),0% (0/1),11,30,100% (5/5),50% (29/58),20% (9/44),37% (38/102),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],26.00
20.03.,Vankan M.,2,,,,,,"['1', '0', '2', '1', '6', '5']",[],"['6', '5']",[],[],-
20.03.,Lalami Laaroussi Y.,1,,,,,,"['1', '1', '4', '4', '6', '6']","['1', '0', '4', '1', '6', '1']","['6', '6']",[],[],-
19.03.,Lalami Laaroussi Y.,2,,,,,,"['1', '1', '2', '2', '7', '5']","['1', '1', '2', '2', '4', '2', '6', '2']",[],[],[],2.59
19.03.,Sperle J.,0,,,,,,"['1', '0', '2', '1']","['1', '0', '2', '1']",[],[],[],1.45
06.03.,Paz J. P.,2,,,,,,"['2', '0', '3', '1', '5', '1']",[],"['3', '4']",[],[],1.37
06.03.,Lalami Laaroussi Y.,1,,,,,,"['1', '2']","['2', '0', '4', '0', '6', '0']","['3', '1']",[],[],2.99
05.03.,Lalami Laaroussi Y.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '2', '3', '3', '7', '5']",[],[],[],1.14
05.03.,Doskocil M.,0,,,,,,[],"['1', '0', '3', '2']",[],[],[],4.90
16.10.2024,Slump S.,2,,,,,,"['5', '4']","['2', '1', '5', '2']",[],[],[],1.25
16.10.2024,Lalami Laaroussi Y.,0,,,,,,[],[],[],[],[],3.62
15.09.2024,Balleret B.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['4', '2']",[],[],[],-
15.09.2024,Lalami Laaroussi Y.,0,,,,,,"['3', '3']",[],[],[],[],-
05.09.2024,De Krom M.,2,,,,,,[],"['2', '0', '6', '4']","['2', '0', '5', '1']",[],[],1.07
05.09.2024,Lalami Laaroussi Y.,1,,,,,,"['5', '4']","['4', '5']",[],[],[],7.28
04.09.2024,Lalami Laaroussi Y.,2,,,,,,"['2', '0', '6', '2']","['3', '1', '5', '1']",[],[],[],1.19
04.09.2024,Castro F. M.,0,,,,,,[],[],[],[],[],4.37
30.08.2024,Donev G.,2,,,,,,"['5', '4']","['1', '0', '4', '1', '5', '2']",[],[],[],-
30.08.2024,Lalami Laaroussi Y.,0,,,,,,[],"['2', '4']",[],[],[],-
29.08.2024,Lalami Laaroussi Y.,2,,,,,,"['4', '3']","['1', '0', '2', '1', '6', '3']",[],[],[],1.69
29.08.2024,Ivanov S.,0,,,,,,[],"['1', '1']",[],[],[],2.09
28.08.2024,Lalami Laaroussi Y.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['1', '1']","['1', '1', '4', '2']",[],[],-
28.08.2024,Ivanov S. A.,1,,,,,,"['2', '3']","['1', '0', '5', '4']","['1', '0']",[],[],-
21.08.2024,Compagnucci T.,2,,,,,,"['3', '1']","['2', '1', '4', '1']",[],[],[],1.09
21.08.2024,Lalami Laaroussi Y.,0,,,,,,[],[],[],[],[],6.41
15.08.2024,Paz J. P.,2,,,,,,"['2', '1', '4', '1', '6', '1']",[],"['1', '0', '3', '0']",[],[],1.26
15.08.2024,Lalami Laaroussi Y.,1,,,,,,[],"['1', '0', '4', '1', '6', '1']",[],[],[],3.59
13.08.2024,Lalami Laaroussi Y.,2,,,,,,"['1', '1', '2', '2', '6', '4']","['1', '1']","['1', '2', '2', '3', '4', '5', '6', '5']",[],[],1.44
13.08.2024,Jovic N.,1,,,,,,"['1', '0', '2', '1']","['1', '0', '4', '3', '6', '3']","['2', '0', '3', '1', '5', '3']",[],[],2.65
24.07.2024,Badenhorst D.,2,,,,,,"['3', '1', '5', '1']","['3', '2', '6', '3']",[],[],[],1.29
24.07.2024,Lalami Laaroussi Y.,0,,,,,,[],[],[],[],[],3.37
