Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.04.,Vithoontien L.,2,,,,,,[],"['1', '2']","['1', '0', '4', '3']",[],[],-
18.08.2024,Chen C.,2,,,,,,6,3,53%,88% (37/42),47% (18/38),50% (2/4),0 km/h,0 km/h,16% (6/38),55% (27/49),36% (4/11),69% (55/80),38% (33/87),53% (88/167),6,0,87% (13/15),27% (4/15),57% (17/30),[],"['2', '2', '5', '3']","['4', '3', '6', '3']",[],[],2.66
18.08.2024,Nishiwaki K.,1,,,,,,7,15,44%,84% (32/38),45% (22/49),64% (7/11),0 km/h,0 km/h,12% (5/42),53% (20/38),50% (2/4),62% (54/87),31% (25/80),47% (79/167),4,1,73% (11/15),13% (2/15),43% (13/30),"['6', '5']","['2', '1']",[],[],[],1.45
08.08.2024,Ellis B.,2,,,,,,"['4', '4']","['5', '4']",[],[],[],1.13
08.08.2024,Nishiwaki K.,0,,,,,,"['3', '2']",[],[],[],[],5.35
07.08.2024,Nishiwaki K.,2,,,,,,"['4', '2']","['2', '1', '4', '1']",[],[],[],2.36
07.08.2024,Rawat S.,0,,,,,,[],[],[],[],[],1.54
15.07.2024,Ghibaudo A.,2,,,,,,5,0,62%,96% (23/24),87% (13/15),0% (0/0),41% (14/34),50% (13/26),43% (3/7),92% (36/39),45% (27/60),64% (63/99),8,0,100% (9/9),33% (3/9),67% (12/18),"['4', '2']","['1', '0', '6', '3']",[],[],[],1.45
15.07.2024,Nishiwaki K.,0,,,,,,2,2,57%,59% (20/34),50% (13/26),57% (4/7),4% (1/24),13% (2/15),0% (0/0),55% (33/60),8% (3/39),36% (36/99),2,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.61
14.07.2024,Nishiwaki K.,2,,,,,,7,3,55%,72% (33/46),58% (22/38),75% (3/4),22% (10/45),59% (17/29),25% (2/8),65% (55/84),36% (27/74),52% (82/158),8,0,92% (11/12),17% (2/12),54% (13/24),"['4', '4']","['6', '5']",[],[],[],1.41
14.07.2024,Sinha N. K.,0,,,,,,10,3,61%,78% (35/45),41% (12/29),75% (6/8),28% (13/46),42% (16/38),25% (1/4),64% (47/74),35% (29/84),48% (76/158),2,1,83% (10/12),8% (1/12),46% (11/24),"['1', '0']",[],[],[],[],2.77
07.03.2024,Kirkin E.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.18
07.03.2024,Nishiwaki K.,0,,,,,,[],[],[],[],[],4.56
06.03.2024,Nishiwaki K.,2,,,,,,"['3', '2']","['2', '1', '4', '1']",[],[],[],1.07
06.03.2024,Lazaro Juncadella M.,0,,,,,,[],[],[],[],[],7.39
27.02.2024,Tabacco F.,2,,,,,,"['5', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.23
27.02.2024,Nishiwaki K.,0,,,,,,[],"['1', '3']",[],[],[],3.86
26.12.2023,Yamasaki J.,2,,,,,,[],[],[],[],[],1.61
26.12.2023,Nishiwaki K.,0,,,,,,[],[],[],[],[],2.22
20.12.2023,Nishiwaki K.,1,,,,,,[],[],[],[],[],2.36
20.12.2023,Kumasaka T.,0,,,,,,[],[],[],[],[],1.54
26.11.2023,Puttergill C.,2,,,,,,2,2,57%,66% (25/38),59% (17/29),80% (4/5),33% (15/45),68% (19/28),40% (4/10),63% (42/67),47% (34/73),54% (76/140),90% (9/10),40% (4/10),65% (13/20),"['3', '2', '6', '5']","['2', '1', '5', '2']",[],[],[],2.64
26.11.2023,Nishiwaki K.,0,,,,,,6,4,62%,67% (30/45),32% (9/28),60% (6/10),34% (13/38),41% (12/29),20% (1/5),53% (39/73),37% (25/67),46% (64/140),60% (6/10),10% (1/10),35% (7/20),"['5', '5']",[],[],[],[],1.45
05.11.2023,Noguchi R.,2,,,,,,3,0,57%,70% (23/33),56% (14/25),33% (1/3),42% (22/52),63% (15/24),56% (5/9),64% (37/58),49% (37/76),55% (74/134),80% (8/10),50% (5/10),65% (13/20),"['1', '0', '4', '1', '5', '2']","['4', '5', '6', '5']",[],[],[],1.22
05.11.2023,Nishiwaki K.,0,,,,,,4,3,68%,58% (30/52),38% (9/24),44% (4/9),30% (10/33),44% (11/25),67% (2/3),51% (39/76),36% (21/58),45% (60/134),50% (5/10),20% (2/10),35% (7/20),"['2', '4']","['2', '0']",[],[],[],4.02
