Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.08.,Lopez Morillo I.,2,,,,,,4,4,60%,70% (21/30),50% (10/20),60% (3/5),50% (14/28),63% (20/32),50% (6/12),27,30,50% (3/6),62% (31/50),57% (35/61),59% (66/111),5,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0']","['1', '2', '3', '2', '5', '2', '6', '3']",[],[],[],20.0
17.08.,Wiedenmann L.,0,,,,,,1,1,47%,50% (14/28),38% (12/32),50% (6/12),30% (9/30),50% (10/20),40% (2/5),2,21,50% (2/4),43% (26/61),38% (19/50),41% (45/111),5,0,25% (2/8),25% (2/8),25% (4/16),[],"['2', '0', '3', '5']",[],[],[],1.73
16.10.2024,Tepmahc N.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],5.53
08.09.2024,Wiedenmann L.,2,,,,,,1,1,68%,79% (22/28),69% (9/13),50% (1/2),51% (19/37),61% (11/18),42% (5/12),76% (31/41),55% (30/55),64% (61/96),8,0,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '4', '1', '6', '3']","['2', '0', '5', '1']",[],[],[],1.80
08.09.2024,Raynel A.,0,,,,,,0,5,67%,49% (18/37),39% (7/18),58% (7/12),21% (6/28),31% (4/13),50% (1/2),45% (25/55),24% (10/41),36% (35/96),2,0,38% (3/8),13% (1/8),25% (4/16),"['2', '4']",[],[],[],[],1.94
27.08.2024,Michalik R.,2,,,,,,[],"['7', '5']","['2', '0', '5', '1']",[],[],5.35
27.08.2024,Wiedenmann L.,1,,,,,,"['2', '1']",[],[],[],[],1.13
19.08.2024,Nedelchev N.,2,,,,,,6,6,67%,68% (46/68),42% (14/33),64% (7/11),0 km/h,0 km/h,40% (27/68),55% (23/42),29% (5/17),59% (60/101),45% (50/110),52% (110/211),6,0,69% (9/13),36% (5/14),52% (14/27),[],"['1', '0', '4', '1', '6', '1']","['5', '5', '6', '6']",[],[],2.47
19.08.2024,Wiedenmann L.,1,,,,,,3,4,62%,60% (41/68),45% (19/42),71% (12/17),0 km/h,0 km/h,32% (22/68),58% (19/33),36% (4/11),55% (60/110),41% (41/101),48% (101/211),4,2,64% (9/14),31% (4/13),48% (13/27),"['2', '0', '6', '2']",[],"['1', '0', '6', '5']",[],[],1.51
18.08.2024,Wiedenmann L.,2,,,,,,3,1,63%,74% (29/39),61% (14/23),50% (1/2),0 km/h,0 km/h,42% (15/36),49% (17/35),100% (3/3),69% (43/62),45% (32/71),56% (75/133),7,0,90% (9/10),30% (3/10),60% (12/20),"['3', '2', '5', '2']","['4', '5']",[],[],[],1.79
18.08.2024,Ivanov S. A.,0,,,,,,3,1,51%,58% (21/36),51% (18/35),0% (0/3),0 km/h,0 km/h,26% (10/39),39% (9/23),50% (1/2),55% (39/71),31% (19/62),44% (58/133),3,0,70% (7/10),10% (1/10),40% (8/20),[],"['4', '2']",[],[],[],1.95
16.08.2024,Martin A.,2,,,,,,"['1', '0', '2', '1', '5', '2']","['1', '0']",[],[],[],1.24
16.08.2024,Wiedenmann L.,0,,,,,,"['1', '1']",[],[],[],[],3.77
15.08.2024,Wiedenmann L.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.18
15.08.2024,Kelm Y.,0,,,,,,[],"['1', '5']",[],[],[],4.51
14.08.2024,Wiedenmann L.,2,,,,,,"['2', '0', '3', '1', '5', '3']","['2', '1', '6', '3']",[],[],[],1.10
14.08.2024,Fekete J.,0,,,,,,"['1', '2', '2', '3']",[],[],[],[],6.15
30.07.2024,Speziali F.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '4', '0', '6', '2']",[],[],[],3.08
30.07.2024,Wiedenmann L.,0,,,,,,"['3', '2']","['1', '4']",[],[],[],1.34
23.07.2024,Broska F.,2,,,,,,"['2', '3', '4', '5', '6', '5']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],2.24
23.07.2024,Wiedenmann L.,0,,,,,,"['3', '1', '4', '2']","['1', '5']",[],[],[],1.60
27.06.2024,Martin Manzano J. C.,2,,,,,,"['2', '1', '5', '2']",[],"['2', '2', '4', '2']",[],[],4.61
27.06.2024,Wiedenmann L.,1,,,,,,[],"['4', '2']","['2', '1']",[],[],1.17
26.06.2024,Wiedenmann L.,2,,,,,,[],"['4', '5']","['2', '0', '5', '1']",[],[],1.26
26.06.2024,Speziali F.,1,,,,,,"['1', '0', '6', '3']","['5', '3']",[],[],[],3.59
21.06.2024,Vrbensky M.,2,,,,,,"['3', '1', '6', '2']","['2', '0']",[],[],[],1.33
21.06.2024,Wiedenmann L.,0,,,,,,[],[],[],[],[],3.12
20.06.2024,Wiedenmann L.,2,,,,,,"['1', '0', '5', '2']","['1', '2']",[],[],[],1.20
20.06.2024,Fix D.,0,,,,,,[],"['2', '0']",[],[],[],4.22
19.06.2024,Wiedenmann L.,2,,,,,,"['2', '1']","['2', '1', '4', '1']",[],[],[],1.75
19.06.2024,Vale D.,0,,,,,,[],"['2', '4']",[],[],[],1.98
20.05.2024,Dutra Da Silva D.,2,,,,,,7,4,48%,78% (28/36),49% (19/39),78% (7/9),37% (16/43),50% (10/20),57% (4/7),63% (47/75),41% (26/63),53% (73/138),7,0,80% (8/10),40% (4/10),60% (12/20),"['1', '1', '3', '1', '6', '2']","['5', '5']",[],[],[],1.47
20.05.2024,Wiedenmann L.,0,,,,,,3,1,68%,63% (27/43),50% (10/20),43% (3/7),22% (8/36),51% (20/39),22% (2/9),59% (37/63),37% (28/75),47% (65/138),3,0,60% (6/10),20% (2/10),40% (8/20),"['1', '0']","['1', '0']",[],[],[],2.59
19.05.2024,Wiedenmann L.,2,,,,,,1,2,67%,74% (28/38),37% (7/19),71% (5/7),42% (18/43),70% (16/23),56% (5/9),61% (35/57),52% (34/66),56% (69/123),5,0,78% (7/9),50% (5/10),63% (12/19),"['3', '2', '6', '3']","['2', '0', '4', '0', '6', '4']",[],[],[],2.14
19.05.2024,Kivattsev K.,0,,,,,,4,3,65%,58% (25/43),30% (7/23),44% (4/9),26% (10/38),63% (12/19),29% (2/7),48% (32/66),39% (22/57),44% (54/123),5,0,50% (5/10),22% (2/9),37% (7/19),[],"['1', '4', '4', '5']",[],[],[],1.67
15.11.2023,Koepfer D.,2,,,,,,7,6,67%,73% (43/59),52% (15/29),71% (5/7),35% (14/40),48% (16/33),50% (5/10),66% (58/88),41% (30/73),55% (88/161),86% (12/14),36% (5/14),61% (17/28),"['1', '0']","['1', '0', '5', '2']","['2', '1', '5', '2']",[],[],1.07
15.11.2023,Wiedenmann L.,1,,,,,,2,2,55%,65% (26/40),52% (17/33),50% (5/10),27% (16/59),48% (14/29),29% (2/7),59% (43/73),34% (30/88),45% (73/161),64% (9/14),14% (2/14),39% (11/28),"['5', '5', '7', '5']",[],[],[],[],7.46
