Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
15.08.,Shin W.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '5', '2']",[],[],[],1.61
25.05.2023,Esquici L.,1,,,,,,"['3', '1', '4', '2', '6', '2']","['1', '3', '3', '5']","['3', '5']",[],[],2.90
23.05.2023,Nidunjianzan F.,2,,,,,,"['2', '0', '4', '0']","['2', '3']","['2', '4', '3', '5', '5', '5', '7', '5']",[],[],7.50
23.05.2023,Kwiatkowski T. S.,1,,,,,,[],"['3', '1', '5', '3']","['1', '0', '3', '0', '5', '2']",[],[],1.06
19.10.2022,Mayo A.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '4']",[],[],[],1.40
19.10.2022,Nidunjianzan F.,0,,,,,,[],"['1', '1']",[],[],[],2.81
19.08.2022,Clark E.,2,,,,,,"['1', '0', '2', '1', '3', '2', '5', '2']","['1', '0']",[],[],[],1.42
19.08.2022,Nidunjianzan F.,0,,,,,,"['1', '1', '2', '2']",[],[],[],[],2.82
18.08.2022,Nidunjianzan F.,2,,,,,,"['4', '2']","['6', '5']",[],[],[],1.13
18.08.2022,Menichella S.,0,,,,,,[],[],[],[],[],5.40
18.08.2022,Nidunjianzan F.,2,,,,,,"['4', '2']","['1', '0', '4', '1']",[],[],[],1.03
18.08.2022,Vukovic L.,0,,,,,,[],[],[],[],[],9.80
09.08.2022,Riffice S.,2,,,,,,"['1', '0', '5', '2']",[],[],[],[],1.32
09.08.2022,Nidunjianzan F.,0,,,,,,[],[],[],[],[],3.28
