Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.06.,Boulais J.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['3', '1']",[],[],[],1.31
28.01.,Hulme M.,0,,,,,,5,0,79%,54% (34/63),47% (8/17),56% (5/9),22% (7/32),35% (7/20),50% (1/2),53% (42/80),27% (14/52),42% (56/132),5,2,64% (7/11),10% (1/10),38% (8/21),"['5', '5']",[],[],[],[],5.55
27.01.,Hulme M.,2,,,,,,6,2,71%,71% (60/85),68% (23/34),86% (6/7),23% (16/69),44% (16/36),100% (2/2),70% (83/119),30% (32/105),51% (115/224),6,2,94% (16/17),12% (2/17),53% (18/34),[],"['4', '4']","['2', '1']",[],[],1.49
27.01.,Delaney Je.,1,,,,,,5,9,66%,77% (53/69),56% (20/36),0% (0/2),29% (25/85),32% (11/34),14% (1/7),70% (73/105),30% (36/119),49% (109/224),4,1,88% (15/17),6% (1/17),47% (16/34),[],"['3', '2']",[],[],[],2.51
26.01.,Hulme M.,2,,,,,,6,0,73%,74% (40/54),50% (10/20),75% (3/4),30% (13/43),54% (15/28),29% (2/7),68% (50/74),39% (28/71),54% (78/145),5,0,91% (10/11),18% (2/11),55% (12/22),[],"['2', '3', '4', '3']",[],[],[],2.73
26.01.,Sheehy J.,0,,,,,,8,4,61%,70% (30/43),46% (13/28),71% (5/7),26% (14/54),50% (10/20),25% (1/4),61% (43/71),32% (24/74),46% (67/145),5,1,82% (9/11),9% (1/11),45% (10/22),[],"['2', '0']",[],[],[],1.42
30.12.2024,Branger L.,2,,,,,,5,2,62%,88% (28/32),65% (13/20),0% (0/0),38% (15/40),29% (4/14),50% (2/4),79% (41/52),35% (19/54),57% (60/106),5,0,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['2', '1']",[],[],[],1.69
30.12.2024,Hulme M.,0,,,,,,0,1,74%,63% (25/40),71% (10/14),50% (2/4),13% (4/32),35% (7/20),0% (0/0),65% (35/54),21% (11/52),43% (46/106),5,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.07
20.10.2024,Watanabe S.,2,,,,,,3,6,66%,75% (52/69),39% (14/36),60% (6/10),30% (21/69),41% (13/32),40% (2/5),61% (68/111),34% (32/95),49% (100/206),7,2,73% (11/15),14% (2/14),45% (13/29),"['2', '1']",[],"['4', '4']",[],[],2.36
20.10.2024,Hulme M.,1,,,,,,7,3,68%,70% (48/69),59% (19/32),60% (3/5),25% (17/69),61% (22/36),40% (4/10),66% (63/95),39% (43/111),51% (106/206),3,2,86% (12/14),27% (4/15),55% (16/29),[],"['2', '0', '4', '0']","['3', '2']",[],[],1.55
09.10.2024,Pade C.,2,,,,,,[],"['4', '3', '6', '3']",[],[],[],6.99
09.10.2024,Hulme M.,0,,,,,,[],[],[],[],[],1.07
04.10.2024,Winter E.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '6', '2']",[],[],[],1.26
04.10.2024,Hulme M.,0,,,,,,[],[],[],[],[],3.54
02.10.2024,Hulme M.,2,,,,,,"['3', '1', '6', '2']","['5', '3']",[],[],[],1.40
02.10.2024,Loof T.,0,,,,,,[],[],[],[],[],2.77
20.09.2024,Jasika O.,2,,,,,,"['6', '4']","['5', '3']",[],[],[],1.08
20.09.2024,Hulme M.,0,,,,,,[],[],[],[],[],7.06
19.09.2024,Hulme M.,2,,,,,,"['7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],1.27
19.09.2024,Cook E.,0,,,,,,[],[],[],[],[],3.51
10.09.2024,Vickery L.,2,,,,,,"['3', '2']","['5', '4']",[],[],[],3.02
10.09.2024,Hulme M.,0,,,,,,[],[],[],[],[],1.35
04.06.2024,Knaff A.,2,,,,,,"['3', '1', '5', '1']",[],[],[],[],1.27
04.06.2024,Hulme M.,1,,,,,,[],"['2', '0']",[],[],[],3.51
28.05.2024,Kuhar M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '3']","['6', '4']",[],[],1.99
28.05.2024,Hulme M.,1,,,,,,[],"['2', '0', '5', '3']",[],[],[],1.74
25.04.2024,Bass F.,2,,,,,,"['2', '1']","['1', '0']",[],[],[],1.86
25.04.2024,Hulme M.,0,,,,,,[],[],[],[],[],1.86
24.04.2024,Hulme M.,2,,,,,,[],"['2', '0', '6', '4']","['7', '5']",[],[],1.30
24.04.2024,Simkiss L.,1,,,,,,"['3', '2']","['3', '4']",[],[],[],3.34
