Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA) - Qualification,hard,header
20.05. 13:45,Debru G.,1,6,3,5,,,6,2,59%,54% (30/56),56% (22/39),44% (4/9),30% (18/60),53% (24/45),33% (4/12),28,43,57% (8/14),8,55% (52/95),40% (42/105),47% (94/200),3,67% (10/15),25% (4/16),45% (14/31),"['5', '4']","['1', '4']","['2', '2', '5', '5']",[],[],3.04
CHALLENGER MEN - SINGLES :  Tunis (Tunisia),clay,header
17.05. 18:55,Vacherot V.,0,6^5,4,,,,3,2,55%,78% (29/37),60% (18/30),67% (2/3),14% (5/35),36% (13/36),0% (0/3),5,70% (47/67),25% (18/71),47% (65/138),1,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],1.41
17.05. 18:55,Royer V.,2,7^7,6,,,,6,3,49%,86% (30/35),64% (23/36),100% (3/3),22% (8/37),40% (12/30),33% (1/3),4,75% (53/71),30% (20/67),53% (73/138),3,100% (11/11),9% (1/11),55% (12/22),[],"['4', '3']",[],[],[],2.75
16.05. 21:20,Vacherot V.,2,6,6,,,,3,2,63%,72% (23/32),68% (13/19),100% (5/5),38% (9/24),68% (13/19),44% (4/9),7,71% (36/51),51% (22/43),62% (58/94),5,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '4', '0']","['3', '2', '5', '2']",[],[],[],1.70
16.05. 21:20,Skatov T.,0,1,2,,,,1,3,56%,63% (15/24),32% (6/19),56% (5/9),28% (9/32),32% (6/19),0% (0/5),4,49% (21/43),29% (15/51),38% (36/94),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.07
15.05. 16:15,Vacherot V.,2,6,6,,,,4,2,60%,72% (18/25),65% (11/17),100% (2/2),44% (11/25),65% (17/26),71% (5/7),5,69% (29/42),55% (28/51),61% (57/93),5,100% (7/7),71% (5/7),86% (12/14),"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.55
15.05. 16:15,Hardt N.,0,1,1,,,,1,7,49%,56% (14/25),35% (9/26),29% (2/7),28% (7/25),35% (6/17),0% (0/2),5,45% (23/51),31% (13/42),39% (36/93),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],2.37
14.05. 18:05,Vacherot V.,2,6,6,,,,8,3,54%,85% (22/26),68% (15/22),67% (2/3),27% (6/22),63% (26/41),36% (4/11),6,77% (37/48),51% (32/63),62% (69/111),3,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '5', '1']","['2', '1', '4', '3']",[],[],[],1.60
14.05. 18:05,Basilashvili N.,0,1,4,,,,1,8,35%,73% (16/22),37% (15/41),64% (7/11),15% (4/26),32% (7/22),33% (1/3),4,49% (31/63),23% (11/48),38% (42/111),2,50% (4/8),11% (1/9),29% (5/17),[],"['3', '3']",[],[],[],2.26
ATP - SINGLES :  Rome (Italy) - Qualification,clay,header
06.05. 13:40,Vacherot V.,0,3,3,,,,2,0,64%,57% (28/49),44% (12/27),73% (8/11),21% (6/29),7% (1/14),0% (0/0),10,13,67% (8/12),4,53% (40/76),16% (7/43),39% (47/119),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.73
06.05. 13:40,Mayot H.,2,6,6,,,,7,0,67%,79% (23/29),93% (13/14),0% (0/0),43% (21/49),56% (15/27),27% (3/11),17,7,55% (6/11),12,84% (36/43),47% (36/76),61% (72/119),3,100% (9/9),33% (3/9),67% (12/18),"['3', '2', '6', '3']","['5', '3']",[],[],[],2.12
CHALLENGER MEN - SINGLES :  Aix en Provence (France),clay,header
04.05. 20:00,Vacherot V.,1,6,1,3,,,9,3,64%,64% (30/47),58% (15/26),56% (5/9),19% (9/47),55% (16/29),14% (1/7),7,62% (45/73),33% (25/76),47% (70/149),3,69% (9/13),8% (1/12),40% (10/25),"['3', '1']",[],[],[],[],3.02
04.05. 20:00,Tabilo A.,2,3,6,6,,,7,2,62%,81% (38/47),45% (13/29),86% (6/7),36% (17/47),42% (11/26),44% (4/9),7,67% (51/76),38% (28/73),53% (79/149),4,92% (11/12),31% (4/13),60% (15/25),[],"['2', '0', '5', '1']","['4', '3', '6', '3']",[],[],1.35
03.05. 20:45,Vacherot V.,2,6,6,,,,4,1,72%,69% (29/42),69% (11/16),67% (2/3),30% (13/43),67% (16/24),38% (3/8),6,69% (40/58),43% (29/67),55% (69/125),3,90% (9/10),33% (3/9),63% (12/19),"['3', '1']","['1', '0', '4', '1']",[],[],[],2.13
03.05. 20:45,Gasquet R.,0,3,4,,,,4,1,64%,70% (30/43),33% (8/24),63% (5/8),31% (13/42),31% (5/16),33% (1/3),6,57% (38/67),31% (18/58),45% (56/125),3,67% (6/9),10% (1/10),37% (7/19),[],"['3', '5']",[],[],[],1.66
03.05. 16:20,Vacherot V.,2,6,3,7^7,,,8,1,66%,77% (43/56),59% (17/29),67% (4/6),30% (18/60),38% (12/32),50% (2/4),5,71% (60/85),33% (30/92),51% (90/177),3,87% (13/15),13% (2/15),50% (15/30),"['4', '2']",[],"['4', '4']",[],[],2.04
03.05. 16:20,Meligeni Alves F.,1,3,6,6^4,,,5,0,65%,70% (42/60),63% (20/32),50% (2/4),23% (13/56),41% (12/29),33% (2/6),7,67% (62/92),29% (25/85),49% (87/177),3,87% (13/15),13% (2/15),50% (15/30),[],"['4', '2']","['1', '0']",[],[],1.72
01.05. 19:15,Vacherot V.,2,7,7^7,,,,10,0,64%,70% (33/47),73% (19/26),67% (4/6),24% (11/46),54% (27/50),38% (3/8),6,71% (52/73),40% (38/96),53% (90/169),4,83% (10/12),25% (3/12),54% (13/24),"['5', '5', '7', '5']","['1', '1']",[],[],[],1.98
01.05. 19:15,Kovacevic A.,0,5,6^5,,,,7,3,48%,76% (35/46),46% (23/50),63% (5/8),30% (14/47),27% (7/26),33% (2/6),4,60% (58/96),29% (21/73),47% (79/169),3,75% (9/12),17% (2/12),46% (11/24),"['2', '1']","['1', '0']",[],[],[],1.77
CHALLENGER MEN - SINGLES :  Aix en Provence (France) - Qualification,clay,header
30.04. 14:40,Vacherot V.,2,6,6,,,,4,2,65%,84% (27/32),47% (8/17),50% (1/2),39% (11/28),59% (13/22),57% (4/7),6,71% (35/49),48% (24/50),60% (59/99),4,89% (8/9),50% (4/8),71% (12/17),"['3', '1']","['2', '1', '3', '2', '5', '2']",[],[],[],3.13
30.04. 14:40,Medjedovic H.,0,3,2,,,,3,2,56%,61% (17/28),41% (9/22),43% (3/7),16% (5/32),53% (9/17),50% (1/2),5,52% (26/50),29% (14/49),40% (40/99),1,50% (4/8),11% (1/9),29% (5/17),[],"['2', '2']",[],[],[],1.34
29.04. 14:40,Vacherot V.,2,7^7,7^7,,,,7,1,69%,71% (39/55),64% (16/25),75% (3/4),25% (11/44),45% (15/33),20% (1/5),6,69% (55/80),34% (26/77),52% (81/157),2,92% (11/12),8% (1/12),50% (12/24),"['2', '2']",[],[],[],[],1.34
29.04. 14:40,Debru G.,0,6^2,6^5,,,,3,3,57%,75% (33/44),55% (18/33),80% (4/5),29% (16/55),36% (9/25),25% (1/4),5,66% (51/77),31% (25/80),48% (76/157),2,92% (11/12),8% (1/12),50% (12/24),"['2', '1']",[],[],[],[],3.13
ATP - SINGLES :  Madrid (Spain) - Qualification,clay,header
23.04. 16:15,Vacherot V.,0,4,2,,,,6,2,74%,65% (24/37),46% (6/13),40% (2/5),13% (4/32),50% (11/22),0% (0/2),16,6,69% (9/13),5,60% (30/50),28% (15/54),43% (45/104),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.12
23.04. 16:15,Kovacevic A.,2,6,6,,,,6,3,59%,88% (28/32),50% (11/22),100% (2/2),35% (13/37),54% (7/13),60% (3/5),21,9,71% (5/7),7,72% (39/54),40% (20/50),57% (59/104),5,100% (9/9),33% (3/9),67% (12/18),"['1', '0']","['1', '0', '3', '0']",[],[],[],1.69
22.04. 18:00,Vacherot V.,2,6,2,6,,,4,4,69%,70% (43/61),39% (11/28),67% (6/9),32% (12/37),55% (16/29),80% (4/5),6,61% (54/89),42% (28/66),53% (82/155),5,77% (10/13),33% (4/12),56% (14/25),"['3', '3', '5', '3']",[],"['3', '2', '5', '2']",[],[],2.54
22.04. 18:00,Rodionov J.,1,3,6,2,,,3,4,56%,68% (25/37),45% (13/29),20% (1/5),30% (18/61),61% (17/28),33% (3/9),7,58% (38/66),39% (35/89),47% (73/155),3,67% (8/12),23% (3/13),44% (11/25),"['2', '1']","['3', '1', '6', '2']",[],[],[],1.52
ATP - SINGLES :  Bucharest (Romania),clay,header
16.04. 14:55,Vacherot V.,0,6^8,2,,,,2,2,65%,68% (30/44),42% (10/24),63% (5/8),32% (20/62),42% (10/24),10% (1/10),6,59% (40/68),35% (30/86),45% (70/154),3,70% (7/10),10% (1/10),40% (8/20),"['3', '1']",[],[],[],[],3.53
16.04. 14:55,Fucsovics M.,2,7^10,6,,,,6,1,72%,68% (42/62),58% (14/24),90% (9/10),32% (14/44),58% (14/24),38% (3/8),8,65% (56/86),41% (28/68),55% (84/154),5,90% (9/10),30% (3/10),60% (12/20),"['3', '4']","['2', '0', '6', '2']",[],[],[],1.31
ATP - SINGLES :  Bucharest (Romania) - Qualification,clay,header
15.04. 15:40,Vacherot V.,2,6,6,,,,2,5,70%,71% (41/58),44% (11/25),88% (7/8),33% (15/45),71% (10/14),75% (3/4),8,63% (52/83),42% (25/59),54% (77/142),3,90% (9/10),33% (3/9),63% (12/19),"['4', '2']","['3', '2', '4', '3']",[],[],[],2.10
15.04. 15:40,Bonzi B.,0,3,4,,,,1,0,76%,67% (30/45),29% (4/14),25% (1/4),29% (17/58),56% (14/25),13% (1/8),5,58% (34/59),37% (31/83),46% (65/142),1,67% (6/9),10% (1/10),37% (7/19),[],"['3', '3']",[],[],[],1.74
14.04. 17:25,Vacherot V.,2,6,6,,,,2,1,67%,73% (24/33),63% (10/16),50% (1/2),37% (11/30),61% (17/28),44% (4/9),10,69% (34/49),48% (28/58),58% (62/107),4,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '5', '1']","['2', '3', '4', '3']",[],[],[],1.04
14.04. 17:25,Pavel B.,0,1,4,,,,5,0,52%,63% (19/30),39% (11/28),56% (5/9),27% (9/33),38% (6/16),50% (1/2),8,52% (30/58),31% (15/49),42% (45/107),2,50% (4/8),11% (1/9),29% (5/17),[],"['3', '1']",[],[],[],9.15
ATP - SINGLES :  Monte Carlo (Monaco),clay,header
08.04. 16:25,Vacherot V.,0,5,2,,,,0,4,68%,60% (24/40),53% (10/19),33% (2/6),26% (7/27),32% (9/28),100% (1/1),8,20,31% (5/16),5,58% (34/59),29% (16/55),44% (50/114),1,60% (6/10),10% (1/10),35% (7/20),"['1', '0']",[],[],[],[],8.05
08.04. 16:25,Dimitrov G.,2,7,6,,,,3,3,49%,74% (20/27),68% (19/28),0% (0/1),40% (16/40),47% (9/19),67% (4/6),20,9,85% (11/13),7,71% (39/55),42% (25/59),56% (64/114),3,90% (9/10),40% (4/10),65% (13/20),"['1', '1', '7', '5']","['3', '1', '6', '2']",[],[],[],1.09
ATP - SINGLES :  Houston (USA) - Qualification,clay,header
31.03. 21:40,Vacherot V.,0,6^4,6^5,,,,3,1,70%,69% (44/64),54% (15/28),100% (8/8),18% (9/49),29% (7/24),0% (0/1),4,64% (59/92),22% (16/73),45% (75/165),1,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],1.74
31.03. 21:40,Ritschard A.,2,7^7,7^7,,,,4,4,67%,82% (40/49),71% (17/24),100% (1/1),31% (20/64),46% (13/28),0% (0/8),9,78% (57/73),36% (33/92),55% (90/165),3,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],2.10
31.03. 00:05,Vacherot V.,2,3,6,6,,,4,1,68%,66% (39/59),64% (18/28),80% (8/10),33% (19/57),37% (10/27),60% (3/5),6,66% (57/87),35% (29/84),50% (86/171),3,86% (12/14),21% (3/14),54% (15/28),[],"['2', '0']","['1', '0', '3', '2']",[],[],1.47
31.03. 00:05,Quinn E.,1,6,3,4,,,4,2,68%,67% (38/57),63% (17/27),40% (2/5),34% (20/59),36% (10/28),20% (2/10),7,65% (55/84),34% (30/87),50% (85/171),3,79% (11/14),14% (2/14),46% (13/28),"['3', '1']",[],"['1', '1']",[],[],2.59
CHALLENGER MEN - SINGLES :  San Luis Potosi (Mexico),clay,header
26.03. 05:00,Vacherot V.,1,2,6,3,,,13,7,73%,62% (43/69),42% (11/26),67% (8/12),28% (12/43),34% (10/29),40% (2/5),6,57% (54/95),31% (22/72),46% (76/167),3,69% (9/13),15% (2/13),42% (11/26),[],"['2', '0']","['1', '0']",[],[],1.28
26.03. 05:00,Tomic B.,2,6,3,6,,,6,1,60%,72% (31/43),66% (19/29),60% (3/5),38% (26/69),58% (15/26),33% (4/12),7,69% (50/72),43% (41/95),54% (91/167),5,85% (11/13),31% (4/13),58% (15/26),"['1', '0', '3', '0']",[],"['2', '2', '4', '2']",[],[],3.48
ATP - SINGLES :  Miami (USA) - Qualification,hard,header
19.03. 23:05,Vacherot V.,1,2,6,6^3,,,3,5,66%,66% (46/70),36% (13/36),58% (7/12),25% (13/53),51% (18/35),100% (4/4),18,17,53% (25/47),6,56% (59/106),35% (31/88),46% (90/194),7,67% (10/15),27% (4/15),47% (14/30),[],"['2', '4', '4', '4', '6', '4']","['3', '3']",[],[],1.90
19.03. 23:05,Vavassori A.,2,6,4,7^7,,,5,3,60%,75% (40/53),49% (17/35),0% (0/4),34% (24/70),64% (23/36),42% (5/12),33,12,68% (21/31),11,65% (57/88),44% (47/106),54% (104/194),9,73% (11/15),33% (5/15),53% (16/30),"['3', '2', '5', '2']","['1', '0', '3', '0']","['3', '2']",[],[],1.90
19.03. 00:30,Vacherot V.,2,6,6,,,,4,1,60%,77% (24/31),76% (16/21),0% (0/0),32% (11/34),38% (5/13),100% (2/2),14,7,73% (8/11),7,77% (40/52),34% (16/47),57% (56/99),3,100% (10/10),22% (2/9),63% (12/19),"['5', '3']","['5', '4']",[],[],[],2.54
19.03. 00:30,Garin C.,0,3,4,,,,4,1,72%,68% (23/34),62% (8/13),0% (0/2),23% (7/31),24% (5/21),0% (0/0),12,7,33% (3/9),5,66% (31/47),23% (12/52),43% (43/99),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.52
CHALLENGER MEN - SINGLES :  New Delhi (India),hard,header
27.02. 11:40,Vacherot V.,2,6,6^5,7^7,,,4,5,60%,67% (48/72),55% (27/49),50% (3/6),28% (19/68),53% (29/55),44% (4/9),6,62% (75/121),39% (48/123),50% (123/244),3,82% (14/17),24% (4/17),53% (18/34),"['4', '3']","['2', '3', '3', '4']","['3', '3']",[],[],1.46
27.02. 11:40,Forejtek J.,1,4,7^7,6^4,,,9,7,55%,72% (49/68),47% (26/55),56% (5/9),33% (24/72),45% (22/49),50% (3/6),5,61% (75/123),38% (46/121),50% (121/244),3,76% (13/17),18% (3/17),47% (16/34),[],"['2', '0', '4', '2']","['1', '0']",[],[],2.62
CHALLENGER MEN - SINGLES :  Pune (India),hard,header
25.02. 16:40,Vacherot V.,2,3,7^7,7^7,,,13,4,71%,73% (57/78),47% (15/32),50% (4/8),29% (23/79),41% (15/37),30% (3/10),6,65% (72/110),33% (38/116),49% (110/226),3,75% (12/16),18% (3/17),45% (15/33),"['1', '0']","['2', '0']","['3', '2']",[],[],1.93
25.02. 16:40,Walton A.,1,6,6^5,6^5,,,7,0,68%,71% (56/79),59% (22/37),70% (7/10),27% (21/78),53% (17/32),50% (4/8),7,67% (78/116),35% (38/110),51% (116/226),5,82% (14/17),25% (4/16),55% (18/33),"['3', '3', '5', '3']","['4', '5']","['5', '5']",[],[],1.81
24.02. 16:45,Vacherot V.,2,4,6,6,,,6,4,64%,75% (41/55),61% (19/31),80% (4/5),30% (12/40),35% (9/26),100% (3/3),10,70% (60/86),32% (21/66),53% (81/152),3,93% (13/14),21% (3/14),57% (16/28),[],"['2', '0', '6', '2']","['6', '4']",[],[],1.43
24.02. 16:45,Sweeny D.,1,6,2,4,,,2,4,61%,70% (28/40),65% (17/26),0% (0/3),25% (14/55),39% (12/31),20% (1/5),5,68% (45/66),30% (26/86),47% (71/152),3,79% (11/14),7% (1/14),43% (12/28),"['5', '4']",[],[],[],[],2.68
23.02. 13:10,Vacherot V.,2,7^7,6,,,,6,3,61%,80% (33/41),65% (17/26),75% (3/4),24% (11/45),50% (15/30),25% (2/8),7,75% (50/67),35% (26/75),54% (76/142),3,91% (10/11),18% (2/11),55% (12/22),[],"['2', '1', '4', '3']",[],[],[],1.64
23.02. 13:10,Couacaud E.,0,6^2,4,,,,6,5,60%,76% (34/45),50% (15/30),75% (6/8),20% (8/41),35% (9/26),25% (1/4),5,65% (49/75),25% (17/67),46% (66/142),2,82% (9/11),9% (1/11),45% (10/22),[],"['3', '3']",[],[],[],2.17
21.02. 13:15,Vacherot V.,2,6,6,,,,5,3,56%,87% (20/23),67% (12/18),0% (0/0),20% (5/25),90% (18/20),44% (4/9),8,78% (32/41),51% (23/45),64% (55/86),5,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '4', '0']","['2', '1', '4', '1']",[],[],[],1.57
21.02. 13:15,Schoolkate T.,0,1,2,,,,5,4,56%,80% (20/25),10% (2/20),56% (5/9),13% (3/23),33% (6/18),0% (0/0),4,49% (22/45),22% (9/41),36% (31/86),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.33
20.02. 13:05,Vacherot V.,2,6,7,,,,9,3,68%,86% (31/36),76% (13/17),0% (0/0),34% (10/29),33% (9/27),33% (2/6),7,83% (44/53),34% (19/56),58% (63/109),3,100% (11/11),20% (2/10),62% (13/21),"['3', '1']","['6', '5']",[],[],[],1.70
20.02. 13:05,Pospisil V.,0,3,5,,,,3,1,52%,66% (19/29),67% (18/27),67% (4/6),14% (5/36),24% (4/17),0% (0/0),4,66% (37/56),17% (9/53),42% (46/109),1,80% (8/10),0% (0/11),38% (8/21),[],[],[],[],[],2.07
ATP - SINGLES :  Delray Beach (USA) - Qualification,hard,header
11.02. 01:40,Vacherot V.,0,4,4,,,,5,7,62%,82% (31/38),35% (8/23),50% (2/4),23% (9/40),38% (6/16),0% (0/1),13,14,69% (9/13),6,64% (39/61),27% (15/56),46% (54/117),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.97
11.02. 01:40,Diallo G.,2,6,6,,,,7,2,71%,78% (31/40),63% (10/16),100% (1/1),18% (7/38),65% (15/23),50% (2/4),14,8,33% (2/6),5,73% (41/56),36% (22/61),54% (63/117),3,100% (10/10),20% (2/10),60% (12/20),"['4', '3']","['1', '0']",[],[],[],1.37
ATP - SINGLES :  Davis Cup - World Group II (World) - Preliminary,-,header
05.02. 02:40,Vacherot V.,2,6^0,6,6,,,[],"['3', '2']","['1', '0', '3', '0', '5', '2']",[],[],1.41
05.02. 02:40,Vallejo D.,1,7^7,4,4,,,[],[],"['1', '3', '3', '5']",[],[],2.80
04.02. 02:35,Vacherot V.,2,6,6,,,,"['3', '1', '4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],1.02
04.02. 02:35,Vergara del Puerto M. A.,0,2,1,,,,"['2', '3']",[],[],[],[],11.60
CHALLENGER MEN - SINGLES :  Nonthaburi 2 (Thailand),hard,header
13.01. 10:40,Vacherot V.,2,7,7^7,,,,11,1,72%,70% (39/56),59% (13/22),60% (3/5),32% (15/47),44% (14/32),30% (3/10),7,67% (52/78),37% (29/79),52% (81/157),5,83% (10/12),25% (3/12),54% (13/24),"['3', '1', '7', '5']","['2', '0']",[],[],[],1.50
13.01. 10:40,Guinard M.,0,5,6^5,,,,8,3,59%,68% (32/47),56% (18/32),70% (7/10),30% (17/56),41% (9/22),40% (2/5),7,63% (50/79),33% (26/78),48% (76/157),3,75% (9/12),17% (2/12),46% (11/24),"['4', '5']","['2', '3']",[],[],[],2.50
11.01. 11:15,Vacherot V.,2,7^7,6,,,,8,4,68%,67% (32/48),61% (14/23),33% (1/3),36% (21/58),57% (12/21),38% (3/8),8,65% (46/71),42% (33/79),53% (79/150),5,82% (9/11),27% (3/11),55% (12/22),"['3', '1']","['3', '4', '5', '4']",[],[],[],2.02
11.01. 11:15,Novak D.,0,6^3,4,,,,4,3,73%,64% (37/58),43% (9/21),63% (5/8),33% (16/48),39% (9/23),67% (2/3),7,58% (46/79),35% (25/71),47% (71/150),3,73% (8/11),18% (2/11),45% (10/22),"['2', '3']","['2', '0']",[],[],[],1.72
10.01. 10:35,Vacherot V.,2,6^2,7^7,6,,,16,4,65%,86% (54/63),59% (20/34),0% (0/1),23% (15/66),39% (14/36),33% (2/6),7,76% (74/97),28% (29/102),52% (103/199),3,94% (16/17),12% (2/17),53% (18/34),[],"['4', '4']","['4', '3']",[],[],1.60
10.01. 10:35,Sandgren T.,1,7^7,6^2,4,,,11,0,65%,77% (51/66),61% (22/36),67% (4/6),14% (9/63),41% (14/34),100% (1/1),7,72% (73/102),24% (23/97),48% (96/199),3,88% (15/17),6% (1/17),47% (16/34),[],"['2', '1']",[],[],[],2.26
09.01. 08:35,Vacherot V.,2,6,6,,,,8,3,74%,77% (33/43),67% (10/15),100% (1/1),32% (14/44),57% (12/21),29% (2/7),7,74% (43/58),40% (26/65),56% (69/123),3,100% (10/10),22% (2/9),63% (12/19),"['6', '4']","['3', '1']",[],[],[],1.40
09.01. 08:35,Ramanathan R.,0,4,3,,,,9,0,68%,68% (30/44),43% (9/21),71% (5/7),23% (10/43),33% (5/15),0% (0/1),4,60% (39/65),26% (15/58),44% (54/123),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.84
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
06.01. 11:40,Pouille L.,0,2,,,,,2,0,70%,29% (2/7),67% (2/3),0% (0/1),33% (5/15),55% (6/11),50% (1/2),5,40% (4/10),42% (11/26),42% (15/36),1,50% (1/2),33% (1/3),40% (2/5),"['1', '0']",[],[],[],[],1.31
06.01. 11:40,Vacherot V.,0,3,,,,,1,1,58%,67% (10/15),45% (5/11),50% (1/2),71% (5/7),33% (1/3),100% (1/1),8,58% (15/26),60% (6/10),58% (21/36),2,67% (2/3),50% (1/2),60% (3/5),"['1', '1']",[],[],[],[],3.31
05.01. 11:00,Vacherot V.,2,6,7^7,,,,12,2,69%,84% (42/50),45% (10/22),100% (2/2),36% (14/39),30% (10/33),20% (1/5),5,72% (52/72),33% (24/72),53% (76/144),3,100% (11/11),10% (1/10),57% (12/21),"['3', '1']",[],[],[],[],2.07
