Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Wuhan (China) - Qualification,hard,header
13.04. 17:15,Boulter K.,2,7,6,,,,0,5,65%,67% (33/49),46% (12/26),86% (6/7),42% (14/33),64% (18/28),50% (5/10),22,28,100% (2/2),6,60% (45/75),52% (31/60),59% (79/135),9,89% (8/9),56% (5/9),72% (13/18),"['5', '5', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],0
WTA - SINGLES :  Miami (USA),hard,header
20.03. 00:15,Burel C.,0,1,4,,,,2,7,53%,50% (16/32),36% (10/28),55% (6/11),21% (6/29),48% (11/23),40% (2/5),5,43% (26/60),33% (17/52),38% (43/112),2,38% (3/8),22% (2/9),29% (5/17),"['1', '2']","['3', '5']",[],[],[],2.40
20.03. 00:15,Wozniacki C.,2,6,6,,,,0,2,56%,79% (23/29),52% (12/23),60% (3/5),50% (16/32),64% (18/28),45% (5/11),13,67% (35/52),57% (34/60),62% (69/112),4,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '3', '1', '5', '1']","['3', '2', '5', '2']",[],[],[],1.59
WTA - SINGLES :  Indian Wells (USA),hard,header
10.03. 00:40,Burel C.,1,6,3,6^4,,,1,6,51%,59% (26/44),42% (18/43),29% (2/7),35% (23/65),67% (24/36),43% (6/14),7,51% (44/87),47% (47/101),48% (91/188),6,64% (9/14),40% (6/15),52% (15/29),"['2', '1', '3', '2', '5', '2']","['1', '0']","['2', '0', '4', '0']",[],[],5.55
10.03. 00:40,Gauff C.,2,2,6,7^7,,,2,10,64%,65% (42/65),33% (12/36),57% (8/14),41% (18/44),58% (25/43),71% (5/7),8,53% (54/101),49% (43/87),52% (97/188),5,60% (9/15),36% (5/14),48% (14/29),"['2', '2']","['2', '2', '4', '2']","['1', '4', '4', '5']",[],[],1.15
08.03. 00:40,Burel C.,2,4,6,6,,,5,6,55%,74% (37/50),41% (17/41),43% (3/7),41% (30/73),58% (26/45),50% (6/12),9,59% (54/91),47% (56/118),53% (110/209),5,71% (10/14),43% (6/14),57% (16/28),"['1', '0']","['3', '2', '5', '2']","['1', '2', '3', '2', '4', '3']",[],[],2.22
08.03. 00:40,Wang Xiy.,1,6,2,4,,,3,9,62%,59% (43/73),42% (19/45),50% (6/12),26% (13/50),59% (24/41),57% (4/7),10,53% (62/118),41% (37/91),47% (99/209),3,57% (8/14),29% (4/14),43% (12/28),"['3', '3', '6', '4']",[],"['2', '0', '3', '3']",[],[],1.68
WTA - SINGLES :  Dubai (United Arab Emirates),hard,header
18.02. 17:50,Burel C.,1,4,6,2,,,1,8,60%,66% (39/59),35% (14/40),55% (6/11),40% (23/58),54% (13/24),33% (4/12),5,54% (53/99),44% (36/82),49% (89/181),5,62% (8/13),33% (4/12),48% (12/25),"['3', '5']","['3', '1', '5', '1']","['1', '2']",[],[],1.83
18.02. 17:50,Stephens S.,2,6,1,6,,,0,2,71%,60% (35/58),46% (11/24),67% (8/12),34% (20/59),65% (26/40),45% (5/11),5,56% (46/82),46% (46/99),51% (92/181),4,67% (8/12),38% (5/13),52% (13/25),"['1', '0', '5', '2']",[],"['2', '0', '4', '2', '6', '2']",[],[],1.98
WTA - SINGLES :  Dubai (United Arab Emirates) - Qualification,hard,header
17.02. 11:40,Burel C.,2,6,6,,,,5,2,52%,60% (15/25),52% (12/23),0% (0/2),54% (21/39),75% (15/20),47% (7/15),6,56% (27/48),61% (36/59),59% (63/107),5,71% (5/7),88% (7/8),80% (12/15),"['1', '0', '3', '2', '5', '2']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.62
17.02. 11:40,Lys E.,0,2,1,,,,0,5,66%,46% (18/39),25% (5/20),53% (8/15),40% (10/25),48% (11/23),100% (2/2),8,39% (23/59),44% (21/48),41% (44/107),2,13% (1/8),29% (2/7),20% (3/15),"['2', '2']","['1', '1']",[],[],[],2.31
16.02. 13:30,Burel C.,2,3,6,6,,,5,9,57%,62% (38/61),41% (19/46),57% (8/14),39% (22/56),53% (25/47),50% (6/12),6,53% (57/107),46% (47/103),50% (104/210),7,60% (9/15),43% (6/14),52% (15/29),"['2', '0', '3', '5']","['3', '4', '5', '4']","['1', '0', '3', '2']",[],[],1.74
16.02. 13:30,Sasnovich A.,1,6,4,4,,,7,7,54%,61% (34/56),47% (22/47),50% (6/12),38% (23/61),59% (27/46),43% (6/14),8,54% (56/103),47% (50/107),50% (106/210),5,57% (8/14),40% (6/15),48% (14/29),"['1', '2', '3', '2', '5', '2', '6', '3']","['3', '1']","['2', '2']",[],[],2.10
WTA - SINGLES :  Linz (Austria),hard,header
