Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.04.,Aguilar Cardozo J.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '3', '4', '3', '6', '3']",[],[],[],1.11
30.08.2024,Iannaccone F.,2,,,,,,"['2', '0', '5', '1', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.22
30.08.2024,Simonit E.,0,,,,,,"['2', '5']","['2', '1']",[],[],[],3.96
28.08.2024,Simonit E.,2,,,,,,"['1', '0', '3', '4', '5', '4']","['4', '3', '6', '5']",[],[],[],3.59
28.08.2024,Castagnola L.,0,,,,,,"['1', '1', '3', '1']","['4', '4']",[],[],[],1.26
05.08.2024,Ovcharenko O.,1,,,,,,"['2', '0', '3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.08
05.08.2024,Simonit E.,0,,,,,,"['1', '2']",[],[],[],[],7.01
24.07.2024,De Vincentis M.,2,,,,,,"['2', '2', '4', '2']","['1', '2', '2', '3', '4', '3', '6', '3']",[],[],[],-
24.07.2024,Simonit E.,0,,,,,,"['1', '0']","['2', '0', '3', '1']",[],[],[],-
09.07.2024,Piraino G.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['1', '1', '4', '2', '6', '2']",[],[],[],1.23
09.07.2024,Simonit E.,0,,,,,,"['2', '3']","['1', '0']",[],[],[],3.86
15.04.2024,Corwin F.,2,,,,,,7,5,51%,85% (50/59),45% (25/56),67% (4/6),41% (30/73),44% (19/43),33% (4/12),65% (75/115),42% (49/116),54% (124/231),8,3,88% (14/16),27% (4/15),58% (18/31),"['3', '3']","['3', '4']","['3', '1', '5', '1']",[],[],1.68
15.04.2024,Simonit E.,1,,,,,,2,7,63%,59% (43/73),56% (24/43),67% (8/12),15% (9/59),55% (31/56),33% (2/6),58% (67/116),35% (40/115),46% (107/231),2,0,73% (11/15),13% (2/16),42% (13/31),"['3', '2']","['2', '0']",[],[],[],2.13
14.04.2024,Simonit E.,2,,,,,,2,3,49%,79% (15/19),50% (10/20),67% (2/3),63% (15/24),63% (17/27),60% (6/10),64% (25/39),63% (32/51),63% (57/90),8,0,86% (6/7),75% (6/8),80% (12/15),"['2', '1', '3', '2', '5', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.29
14.04.2024,Iamachkine P.,0,,,,,,0,2,47%,38% (9/24),37% (10/27),40% (4/10),21% (4/19),50% (10/20),33% (1/3),37% (19/51),36% (14/39),37% (33/90),2,0,25% (2/8),14% (1/7),20% (3/15),"['2', '2']",[],[],[],[],3.43
21.09.2023,Barreiros Reyes M.,2,,,,,,[],[],[],[],[],1.42
21.09.2023,Simonit E.,0,,,,,,[],[],[],[],[],2.70
20.09.2023,Simonit E.,2,,,,,,[],[],[],[],[],1.47
20.09.2023,Leal V.,0,,,,,,[],[],[],[],[],2.54
08.08.2023,Carraro L.,2,,,,,,"['5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],-
08.08.2023,Simonit E.,0,,,,,,[],[],[],[],[],-
16.04.2023,Leite W.,2,,,,,,0,0,55%,73% (19/26),62% (13/21),75% (3/4),50% (20/40),68% (15/22),50% (5/10),68% (32/47),56% (35/62),61% (67/109),88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0', '6', '2']","['3', '1', '5', '1']",[],[],[],1.23
16.04.2023,Simonit E.,0,,,,,,1,1,65%,50% (20/40),32% (7/22),50% (5/10),27% (7/26),38% (8/21),25% (1/4),44% (27/62),32% (15/47),39% (42/109),29% (2/7),13% (1/8),20% (3/15),"['1', '4']",[],[],[],[],3.90
10.11.2022,Dellien Velasco M. A.,2,,,,,,[],[],[],[],[],1.17
10.11.2022,Simonit E.,0,,,,,,[],[],[],[],[],4.58
08.11.2022,Simonit E.,2,,,,,,[],[],[],[],[],1.59
08.11.2022,Ratti L.,1,,,,,,[],[],[],[],[],2.27
