Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.07.,McHugh A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0']","['3', '2']",[],[],1.06
30.06.2024,Okonkwo O.,0,,,,,,8,3,74%,71% (32/45),44% (7/16),50% (2/4),14% (5/37),44% (7/16),0% (0/1),64% (39/61),23% (12/53),45% (51/114),5,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],3.19
20.06.2024,Kotzen A.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '5', '2']",[],[],[],1.26
20.06.2024,Okonkwo O.,0,,,,,,[],"['2', '4']",[],[],[],3.59
19.06.2024,Okonkwo O.,2,,,,,,"['1', '2']","['2', '2', '5', '3']","['3', '2', '4', '3']",[],[],2.16
19.06.2024,Rollins P.,1,,,,,,"['2', '0', '4', '2']","['1', '0']","['3', '3']",[],[],1.64
13.11.2023,Heck H.,2,,,,,,6,2,61%,62% (32/52),52% (17/33),73% (8/11),48% (19/40),65% (17/26),63% (5/8),58% (49/85),55% (36/66),56% (85/151),70% (7/10),50% (5/10),60% (12/20),"['2', '2', '5', '3', '6', '6']","['3', '2', '5', '2']",[],[],[],1.29
13.11.2023,Okonkwo O.,0,,,,,,1,3,61%,53% (21/40),35% (9/26),38% (3/8),38% (20/52),48% (16/33),27% (3/11),45% (30/66),42% (36/85),44% (66/151),50% (5/10),30% (3/10),40% (8/20),"['2', '1', '4', '5', '6', '5']",[],[],[],[],3.41
12.11.2023,Okonkwo O.,2,,,,,,2,4,63%,68% (45/66),55% (21/38),50% (3/6),29% (19/65),36% (10/28),100% (3/3),63% (66/104),31% (29/93),48% (95/197),80% (12/15),19% (3/16),48% (15/31),"['4', '3']",[],"['2', '2', '4', '4']",[],[],6.02
12.11.2023,Harrison C.,1,,,,,,2,4,70%,71% (46/65),64% (18/28),0% (0/3),32% (21/66),45% (17/38),50% (3/6),69% (64/93),37% (38/104),52% (102/197),81% (13/16),20% (3/15),52% (16/31),[],"['2', '0']","['2', '1', '3', '2']",[],[],1.11
14.09.2023,Maloney P.,2,,,,,,"['4', '3', '6', '3']","['3', '1', '5', '1']",[],[],[],1.10
14.09.2023,Okonkwo O.,0,,,,,,[],[],[],[],[],6.11
13.09.2023,Okonkwo O.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1']","['2', '0', '4', '0']",[],[],2.57
13.09.2023,Yunis F.,1,,,,,,[],"['1', '0', '2', '1']",[],[],[],1.46
03.08.2023,Mitsui S.,2,,,,,,[],"['3', '3', '6', '4']",[],[],[],1.08
03.08.2023,Okonkwo O.,0,,,,,,[],"['3', '2']",[],[],[],7.20
21.06.2023,Ganesan A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['5', '3']",[],[],[],2.86
21.06.2023,Okonkwo O.,0,,,,,,[],[],[],[],[],1.38
14.11.2022,Montes-De La Torre I.,2,,,,,,1,4,73%,69% (25/36),54% (7/13),80% (4/5),42% (15/36),77% (17/22),38% (5/13),65% (32/49),55% (32/58),60% (64/107),88% (7/8),63% (5/8),75% (12/16),"['2', '0', '4', '0']","['2', '1', '5', '2', '6', '3']",[],[],[],1.04
14.11.2022,Okonkwo O.,0,,,,,,5,0,62%,58% (21/36),23% (5/22),62% (8/13),31% (11/36),46% (6/13),20% (1/5),45% (26/58),35% (17/49),40% (43/107),38% (3/8),13% (1/8),25% (4/16),[],"['3', '5']",[],[],[],9.60
14.09.2022,Ross G.,2,,,,,,"['1', '0', '3', '2', '4', '3', '6', '3']",[],"['2', '0', '5', '1']",[],[],1.12
14.09.2022,Okonkwo O.,1,,,,,,"['2', '2', '3', '3']","['2', '1']",[],[],[],5.70
16.07.2019,Dougaz A.,2,,,,,,[],"['3', '2']",[],[],[],1.14
16.07.2019,Okonkwo O.,0,,,,,,[],[],[],[],[],5.05
