Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
07.07.,Vales A.,2,,,,,,1,1,62%,67% (30/45),64% (18/28),40% (2/5),32% (16/50),45% (13/29),50% (2/4),66% (48/73),37% (29/79),51% (77/152),5,0,77% (10/13),17% (2/12),48% (12/25),[],"['5', '3']","['3', '2']",[],[],2.93
07.07.,Whitehouse M.,1,,,,,,2,2,63%,68% (34/50),55% (16/29),50% (2/4),33% (15/45),36% (10/28),60% (3/5),63% (50/79),34% (25/73),49% (75/152),5,3,83% (10/12),23% (3/13),52% (13/25),"['1', '0', '3', '0', '5', '0']",[],[],[],[],1.37
11.06.,Fernandez Canovas A.,2,,,,,,[],"['3', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.66
03.03.,Whitehouse M.,0,,,,,,1,3,75%,62% (31/50),29% (5/17),0% (0/4),17% (4/24),38% (9/24),33% (1/3),54% (36/67),27% (13/48),43% (49/115),3,0,60% (6/10),11% (1/9),37% (7/19),[],"['1', '0']",[],[],[],5.44
16.11.2024,Ferreira Silva F.,2,,,,,,"['1', '0', '5', '2', '6', '3']","['4', '2', '6', '2']",[],[],[],1.13
16.11.2024,Whitehouse M.,0,,,,,,"['3', '5']",[],[],[],[],4.77
12.11.2024,Whitehouse M.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.71
12.11.2024,Bass F.,0,,,,,,"['2', '5']",[],[],[],[],2.01
31.10.2024,Broom C.,2,,,,,,[],"['5', '5', '7', '5']","['3', '1']",[],[],1.23
31.10.2024,Whitehouse M.,1,,,,,,"['3', '2']","['2', '1']",[],[],[],3.81
29.10.2024,Whitehouse M.,2,,,,,,"['2', '1', '4', '1']",[],[],[],[],1.70
29.10.2024,Simkiss L.,0,,,,,,[],[],[],[],[],2.03
24.10.2024,Strombachs R.,2,,,,,,"['7', '5']",[],"['5', '5', '7', '5']",[],[],1.10
24.10.2024,Whitehouse M.,1,,,,,,[],"['1', '0']","['1', '0']",[],[],6.01
23.10.2024,Whitehouse M.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.05
23.10.2024,Ponomar O.,0,,,,,,[],[],[],[],[],8.40
09.10.2024,Marrero Curbelo I.,2,,,,,,"['7', '5']","['2', '4', '4', '4']",[],[],[],1.41
09.10.2024,Whitehouse M.,0,,,,,,[],"['1', '0', '3', '0']",[],[],[],2.73
26.09.2024,Prihodko O.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '5', '3']",[],[],[],1.09
26.09.2024,Whitehouse M.,0,,,,,,[],"['3', '4']",[],[],[],6.23
25.09.2024,Whitehouse M.,2,,,,,,"['2', '3']","['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],1.23
25.09.2024,Van Herck L.,1,,,,,,"['2', '0', '4', '2']",[],[],[],[],3.81
28.08.2024,Beckley A.,2,,,,,,"['2', '0']","['3', '1', '5', '3']","['1', '0', '4', '1']",[],[],1.23
28.08.2024,Whitehouse M.,1,,,,,,"['3', '4', '5', '4']","['3', '4']",[],[],[],4.26
13.08.2024,Herman L.,2,,,,,,"['1', '0', '6', '3']","['2', '2', '4', '2']","['2', '1', '5', '2']",[],[],1.61
13.08.2024,Whitehouse M.,1,,,,,,[],"['1', '0', '3', '4']","['3', '5']",[],[],2.22
18.07.2024,Mott B.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '6', '3']",[],[],[],1.43
18.07.2024,Whitehouse M.,0,,,,,,[],[],[],[],[],2.68
17.07.2024,Whitehouse M.,2,,,,,,"['2', '3', '4', '5', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],1.39
17.07.2024,Habib A.,0,,,,,,"['3', '1', '4', '2']",[],[],[],[],2.83
10.07.2024,McCabe J.,2,,,,,,[],"['3', '1', '4', '2']","['1', '0', '3', '2', '4', '3', '6', '3']",[],[],1.16
10.07.2024,Whitehouse M.,1,,,,,,"['3', '2']","['2', '3']","['2', '2', '3', '3']",[],[],4.71
09.07.2024,Whitehouse M.,2,,,,,,"['2', '1', '3', '2', '5', '4']","['3', '2']",[],[],[],2.10
09.07.2024,Story J.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],1.58
31.03.2024,Gimeno Valero C.,2,,,,,,0,1,83%,76% (25/33),71% (5/7),100% (3/3),61% (14/23),63% (12/19),71% (5/7),6,3,0% (0/3),75% (30/40),62% (26/42),68% (56/82),8,0,100% (7/7),71% (5/7),86% (12/14),"['2', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.18
31.03.2024,Whitehouse M.,0,,,,,,0,3,55%,39% (9/23),37% (7/19),29% (2/7),24% (8/33),29% (2/7),0% (0/3),9,14,82% (9/11),38% (16/42),25% (10/40),32% (26/82),2,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],4.47
14.12.2023,Barreto Sanchez D. A.,2,,,,,,[],"['3', '4', '5', '4']","['2', '1', '6', '3']",[],[],1.53
14.12.2023,Whitehouse M.,1,,,,,,"['2', '1', '6', '3']","['2', '0']",[],[],[],2.39
12.12.2023,Whitehouse M.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '5', '2']",[],[],[],1.04
12.12.2023,Chacon Huertas R.,0,,,,,,[],[],[],[],[],8.90
14.11.2023,Kypson P.,2,,,,,,11,2,65%,86% (31/36),68% (13/19),100% (2/2),26% (10/39),57% (16/28),38% (3/8),80% (44/55),39% (26/67),57% (70/122),100% (9/9),30% (3/10),63% (12/19),"['2', '1', '4', '1', '6', '1']",[],[],[],[],1.12
14.11.2023,Whitehouse M.,0,,,,,,9,2,58%,74% (29/39),43% (12/28),63% (5/8),14% (5/36),32% (6/19),0% (0/2),61% (41/67),20% (11/55),43% (52/122),70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],5.65
13.11.2023,Whitehouse M.,2,,,,,,8,3,57%,86% (37/43),66% (21/32),50% (1/2),26% (16/62),53% (9/17),100% (1/1),77% (58/75),32% (25/79),54% (83/154),92% (11/12),8% (1/12),50% (12/24),[],"['1', '2']",[],[],[],2.87
13.11.2023,Smith K.,0,,,,,,15,2,78%,74% (46/62),47% (8/17),0% (0/1),14% (6/43),34% (11/32),50% (1/2),68% (54/79),23% (17/75),46% (71/154),92% (11/12),8% (1/12),50% (12/24),[],"['2', '0']",[],[],[],1.39
12.11.2023,Whitehouse M.,2,,,,,,12,2,60%,78% (38/49),47% (15/32),50% (2/4),35% (18/52),56% (20/36),36% (4/11),65% (53/81),43% (38/88),54% (91/169),86% (12/14),31% (4/13),59% (16/27),"['1', '3']","['2', '0', '4', '0']","['2', '1']",[],[],3.41
12.11.2023,Boitan G. A.,1,,,,,,2,6,59%,65% (34/52),44% (16/36),64% (7/11),22% (11/49),53% (17/32),50% (2/4),57% (50/88),35% (28/81),46% (78/169),69% (9/13),14% (2/14),41% (11/27),"['1', '0', '3', '0']",[],[],[],[],1.29
09.11.2023,Markes C.,2,,,,,,[],"['2', '0', '5', '5', '7', '5']","['3', '4', '5', '6', '8', '6', '9', '6']",[],[],1.84
09.11.2023,Whitehouse M.,1,,,,,,"['2', '0', '5', '1']","['1', '2', '3', '2']","['3', '2', '5', '4']",[],[],1.87
08.11.2023,Whitehouse M.,2,,,,,,[],"['2', '1', '6', '5']","['2', '1', '3', '2', '6', '3']",[],[],1.31
08.11.2023,Mesarovic M.,1,,,,,,"['7', '5']","['3', '3']","['2', '2']",[],[],3.22
01.11.2023,Wallin O.,2,,,,,,"['3', '2', '5', '4']","['3', '3', '5', '5', '7', '5']","['5', '5']",[],[],1.88
01.11.2023,Whitehouse M.,1,,,,,,"['3', '3', '5', '5']","['3', '2', '4', '3']","['1', '0']",[],[],1.83
25.10.2023,Stice T.,2,,,,,,"['3', '1', '5', '1']",[],"['2', '0']",[],[],2.27
25.10.2023,Whitehouse M.,1,,,,,,[],"['3', '1']",[],[],[],1.58
18.10.2023,Sinha A.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '4', '1']",[],[],[],1.73
18.10.2023,Whitehouse M.,0,,,,,,"['3', '1']",[],[],[],[],2.00
08.10.2023,Zhu E.,2,,,,,,3,2,73%,74% (26/35),54% (7/13),80% (4/5),41% (11/27),71% (20/28),42% (5/12),69% (33/48),56% (31/55),62% (64/103),88% (7/8),63% (5/8),75% (12/16),"['2', '0', '5', '1', '6', '2']","['2', '0', '6', '2']",[],[],[],1.67
08.10.2023,Whitehouse M.,0,,,,,,0,7,49%,59% (16/27),29% (8/28),58% (7/12),26% (9/35),46% (6/13),20% (1/5),44% (24/55),31% (15/48),38% (39/103),38% (3/8),13% (1/8),25% (4/16),"['2', '5']",[],[],[],[],2.13
