Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.08.,Von der Schulenburg J.,2,,,,,,[],"['2', '0', '4', '2']","['2', '3', '5', '4', '6', '5']",[],[],3.30
04.06.,Ribecai M.,1,,,,,,[],"['5', '3']",[],[],[],1.53
22.05.,Ovcharenko O.,2,,,,,,"['5', '3']","['1', '0', '4', '1', '6', '5']",[],[],[],-
22.05.,Ribecai M.,0,,,,,,[],"['2', '4', '5', '5']",[],[],[],-
20.05.,Ribecai M.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '3', '1', '5', '1']",[],[],[],1.73
20.05.,Kravchenko G.,0,,,,,,[],"['1', '2']",[],[],[],1.99
15.05.,Gill F.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['1', '1', '5', '3']",[],[],[],1.34
15.05.,Ribecai M.,0,,,,,,"['1', '1']","['1', '0']",[],[],[],3.04
13.05.,Ribecai M.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0']",[],[],[],1.07
13.05.,Fossati C.,0,,,,,,[],[],[],[],[],6.65
07.05.,Nijboer R.,2,,,,,,"['4', '4', '6', '4']","['4', '2', '6', '2']",[],[],[],1.46
07.05.,Ribecai M.,0,,,,,,"['2', '1']",[],[],[],[],2.56
05.05.,Ribecai M.,2,,,,,,"['2', '1', '6', '3']","['2', '2', '3', '3', '5', '3', '6', '4']",[],[],[],3.46
05.05.,Broady L.,0,,,,,,[],"['1', '0', '3', '2', '4', '5']",[],[],[],1.27
30.04.,Sanchez Jover C.,2,,,,,,"['2', '5']","['2', '0', '4', '0']","['3', '4', '5', '4', '6', '5']",[],[],1.24
30.04.,Ribecai M.,1,,,,,,"['3', '1', '5', '1']",[],"['4', '2', '5', '5']",[],[],3.72
29.04.,Ribecai M.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['2', '1', '5', '2']",[],[],[],1.12
29.04.,Toffanin N.,0,,,,,,"['1', '0']",[],[],[],[],5.40
15.04.,Picchione A.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '2', '1', '4', '1']",[],[],[],1.62
15.04.,Ribecai M.,0,,,,,,[],"['1', '1']",[],[],[],2.18
08.04.,Sanchez Jover C.,2,,,,,,"['2', '2', '3', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],1.24
08.04.,Ribecai M.,0,,,,,,"['2', '1', '3', '2']",[],[],[],[],3.72
02.04.,Bondioli F.,2,,,,,,"['3', '1', '5', '1']","['2', '1']","['3', '3', '5', '3']",[],[],2.02
02.04.,Ribecai M.,1,,,,,,[],"['2', '2', '5', '3']","['1', '0']",[],[],1.74
20.03.,Gengel M.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '0', '3', '0']",[],[],[],1.25
20.03.,Ribecai M.,0,,,,,,"['1', '1']",[],[],[],[],3.62
19.03.,Ribecai M.,2,,,,,,"['2', '1']","['5', '4', '6', '5']",[],[],[],1.21
19.03.,Bassem Sobhy M.,0,,,,,,[],"['5', '5']",[],[],[],4.04
14.03.,Purtseladze S.,2,,,,,,"['4', '3']","['5', '4']",[],[],[],1.45
14.03.,Ribecai M.,0,,,,,,[],[],[],[],[],2.59
13.03.,Ribecai M.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '1']",[],[],[],2.07
13.03.,Pieczkowski O.,0,,,,,,[],[],[],[],[],1.69
05.03.,Genier T.,2,,,,,,"['1', '0', '3', '2']","['2', '1']",[],[],[],4.80
05.03.,Ribecai M.,0,,,,,,"['2', '2']",[],[],[],[],1.14
21.02.,Binda A.,2,,,,,,"['2', '1']","['5', '5', '7', '5']","['3', '3', '5', '3']",[],[],1.51
21.02.,Ribecai M.,1,,,,,,"['4', '4']","['4', '3']","['3', '2']",[],[],2.42
20.02.,Ribecai M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '2', '4', '3', '6', '3']",[],[],[],2.06
20.02.,Cadenasso G.,0,,,,,,[],"['2', '0']",[],[],[],1.68
