Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.06.2024,Oliel Y.,0,,,,,,1,6,63%,65% (40/62),43% (16/37),56% (5/9),24% (12/50),63% (27/43),67% (4/6),57% (56/99),42% (39/93),49% (95/192),3,0,67% (8/12),33% (4/12),50% (12/24),"['3', '4']","['1', '3', '3', '3', '5', '3']",[],[],[],1.82
31.05.2024,Kuhn N.,2,,,,,,"['2', '1', '4', '1']","['3', '2', '5', '2']",[],[],[],1.33
31.05.2024,Oliel Y.,0,,,,,,[],[],[],[],[],3.12
30.05.2024,Oliel Y.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.05
30.05.2024,Sevilla I.,0,,,,,,"['1', '4']",[],[],[],[],8.45
29.05.2024,Oliel Y.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.01
29.05.2024,Machado M. A.,0,,,,,,[],[],[],[],[],13.10
21.05.2024,Ramanathan R.,2,,,,,,15,1,72%,89% (32/36),86% (12/14),0% (0/0),26% (10/39),56% (9/16),29% (2/7),88% (44/50),35% (19/55),60% (63/105),10,0,100% (11/11),20% (2/10),62% (13/21),"['5', '3']","['6', '5']",[],[],[],1.83
21.05.2024,Oliel Y.,0,,,,,,4,3,71%,74% (29/39),44% (7/16),71% (5/7),11% (4/36),14% (2/14),0% (0/0),65% (36/55),12% (6/50),40% (42/105),0,0,80% (8/10),0% (0/11),38% (8/21),[],[],[],[],[],1.91
15.04.2024,Kivattsev K.,2,,,,,,"['3', '3']","['3', '2', '5', '2']","['2', '1']",[],[],1.87
15.04.2024,Oliel Y.,1,,,,,,"['2', '1', '4', '3', '6', '3']",[],[],[],[],1.85
