Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
08.06.2022,Jenicek J.,0,1,2,,,,['-'],['-'],['-'],['-'],['-'],7.70
ITF MEN - SINGLES :  M15 Antalya 14 (Turkey),clay,header
13.05.2022,Rajski M.,0,1,1,,,,['-'],['-'],['-'],['-'],['-'],2.83
13.05.2022,Kuzuhara B.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.44
12.05.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.27
12.05.2022,Ciurletti A. G.,0,4,0,,,,['-'],['-'],['-'],['-'],['-'],3.64
11.05.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.28
11.05.2022,Scott F.,0,1,1,,,,['-'],['-'],['-'],['-'],['-'],3.62
ITF MEN - SINGLES :  M15 Antalya 2 (Turkey),clay,header
20.01.2022,Rajski M.,1,6^2,6,8,,,['-'],['-'],['-'],['-'],['-'],1.83
20.01.2022,Nam Ji S.,2,7^7,1,10,,,['-'],['-'],['-'],['-'],['-'],1.83
18.01.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],2.18
18.01.2022,Lopez Montagud C.,0,4,4,,,,['-'],['-'],['-'],['-'],['-'],1.66
ITF MEN - SINGLES :  M15 Antalya (Turkey),clay,header
