Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.,Lazarov G.,2,,,,,,"['2', '1', '5', '4']","['2', '0', '5', '1']",[],[],[],1.08
05.03.2023,Leite W.,2,,,,,,0,0,63%,83% (20/24),71% (10/14),100% (3/3),50% (13/26),69% (11/16),83% (5/6),79% (30/38),57% (24/42),68% (54/80),100% (7/7),63% (5/8),80% (12/15),"['1', '0', '5', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.23
05.03.2023,Bancalari A.,0,,,,,,0,2,62%,50% (13/26),31% (5/16),17% (1/6),17% (4/24),29% (4/14),0% (0/3),43% (18/42),21% (8/38),33% (26/80),38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],3.90
22.01.2023,Boscardin Dias P.,2,,,,,,3,6,60%,77% (24/31),38% (8/21),60% (3/5),47% (14/30),55% (11/20),63% (5/8),62% (32/52),50% (25/50),56% (57/102),78% (7/9),56% (5/9),67% (12/18),"['1', '0', '3', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.03
22.01.2023,Bancalari A.,0,,,,,,1,2,60%,53% (16/30),45% (9/20),38% (3/8),23% (7/31),62% (13/21),40% (2/5),50% (25/50),38% (20/52),44% (45/102),44% (4/9),22% (2/9),33% (6/18),"['1', '3']","['1', '3']",[],[],[],9.70
16.10.2022,Carou I.,2,,,,,,0,3,78%,77% (30/39),45% (5/11),100% (3/3),46% (13/28),53% (9/17),67% (4/6),70% (35/50),49% (22/45),60% (57/95),100% (8/8),50% (4/8),75% (12/16),"['2', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.06
16.10.2022,Bancalari A.,0,,,,,,1,1,62%,54% (15/28),47% (8/17),33% (2/6),23% (9/39),55% (6/11),0% (0/3),51% (23/45),30% (15/50),40% (38/95),50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],8.20
13.03.2022,Juarez F.,2,,,,,,0,3,56%,67% (12/18),79% (11/14),75% (3/4),70% (21/30),71% (10/14),58% (7/12),72% (23/32),70% (31/44),71% (54/76),83% (5/6),100% (7/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.02
13.03.2022,Bancalari A.,0,,,,,,0,0,68%,30% (9/30),29% (4/14),42% (5/12),33% (6/18),0% (0/14),25% (1/4),30% (13/44),28% (9/32),29% (22/76),0% (0/7),17% (1/6),8% (1/13),[],"['1', '5']",[],[],[],13.00
14.02.2021,Gutierrez O. J.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.06
14.02.2021,Bancalari A.,0,,,,,,"['1', '4']",[],[],[],[],8.20
