Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.,Salazar A.,2,,,,,,"['2', '2']","['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],-
21.05.,Stankovic S.,0,,,,,,"['1', '1', '2', '4', '3', '5']","['2', '1', '6', '5']",[],[],[],1.33
15.05.,Lipp M.,2,,,,,,"['2', '0', '4', '2', '5', '3', '6', '4']","['2', '0', '3', '1', '5', '3']",[],[],[],1.73
15.05.,Mujakic A.,0,,,,,,"['2', '3', '3', '4', '4', '5']","['1', '2', '3', '4']",[],[],[],1.99
14.05.,Mujakic A.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.06
14.05.,Lulic N.,0,,,,,,[],"['1', '5']",[],[],[],7.40
12.02.,Fajta P.,2,,,,,,[],"['2', '0']","['3', '2']",[],[],1.27
12.02.,Mujakic A.,1,,,,,,"['1', '0', '3', '0', '5', '0']",[],[],[],[],3.46
14.01.,Krajci M.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.85
14.01.,Mujakic A.,0,,,,,,[],[],[],[],[],1.85
29.10.2024,Jadoun N.,2,,,,,,"['3', '2']","['2', '3', '4', '3', '6', '3']","['1', '1', '3', '1', '5', '1']",[],[],1.61
29.10.2024,Mujakic A.,1,,,,,,"['5', '5', '7', '5']","['2', '0']","['1', '0']",[],[],2.20
17.10.2024,Ejupovic E.,2,,,,,,"['2', '1', '5', '2']",[],"['2', '0', '4', '0', '6', '0']",[],[],1.21
17.10.2024,Mujakic A.,1,,,,,,[],"['5', '3']",[],[],[],4.04
05.09.2024,Gentzsch T.,2,,,,,,"['2', '0', '4', '2']","['1', '0', '3', '2']",[],[],[],1.20
05.09.2024,Mujakic A.,0,,,,,,"['1', '2']","['2', '2']",[],[],[],4.17
05.09.2024,Mujakic A.,2,,,,,,"['2', '1', '6', '5']","['4', '3']",[],[],[],2.07
05.09.2024,Balciunas M.,0,,,,,,"['5', '5']",[],[],[],[],1.70
27.08.2024,Mujakic A.,1,,,,,,"['2', '3']",[],[],[],[],2.97
27.08.2024,Chepelev A.,1,,,,,,"['2', '0']","['4', '3', '6', '3']","['2', '0', '4', '0']",[],[],1.36
20.08.2024,Raynel A.,2,,,,,,"['2', '4', '3', '5']","['2', '0', '4', '0', '6', '0']","['3', '3', '5', '3', '6', '4']",[],[],1.32
20.08.2024,Mujakic A.,1,,,,,,"['1', '0', '3', '0', '5', '2']",[],"['2', '1', '4', '5']",[],[],3.18
20.06.2024,Bobrov B.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],1.17
20.06.2024,Mujakic A.,1,,,,,,"['4', '2']",[],[],[],[],4.61
18.06.2024,Mujakic A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '1']",[],[],[],1.22
18.06.2024,Veldkamp Y.,0,,,,,,[],[],[],[],[],3.96
13.02.2024,Poertner L.,2,,,,,,"['3', '1', '5', '3', '6', '4']","['3', '1', '5', '1']",[],[],[],1.97
13.02.2024,Mujakic A.,0,,,,,,"['2', '3', '4', '5']",[],[],[],[],1.76
31.08.2023,Arutiunian E.,2,,,,,,[],[],[],[],[],2.13
31.08.2023,Mujakic A.,1,,,,,,[],[],[],[],[],1.64
30.08.2023,Mujakic A.,2,,,,,,[],[],[],[],[],1.84
30.08.2023,Gandolfi G.,0,,,,,,[],[],[],[],[],1.87
16.02.2022,Gueymard Wayenburg S.,2,,,,,,"['1', '0', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.04
16.02.2022,Mujakic A.,0,,,,,,"['4', '4']",[],[],[],[],10.50
31.10.2021,Zverev M.,2,,,,,,2,3,47%,72% (13/18),75% (15/20),0% (0/0),45% (10/22),46% (13/28),50% (5/10),74% (28/38),56% (28/50),64% (56/88),100% (7/7),63% (5/8),80% (12/15),"['2', '1', '5', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.04
31.10.2021,Mujakic A.,0,,,,,,1,5,44%,55% (12/22),36% (10/28),50% (5/10),28% (5/18),10% (2/20),0% (0/0),44% (22/50),26% (10/38),36% (32/88),38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],10.00
31.08.2021,Galarza J. I.,2,,,,,,"['2', '0', '4', '2']","['1', '0', '5', '2']",[],[],[],1.06
31.08.2021,Mujakic A.,0,,,,,,"['1', '2']",[],[],[],[],8.80
