Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.02.,Henning P.,2,,,,,,[],"['1', '0', '4', '3']","['3', '2']",[],[],1.09
08.08.2024,Bulus C.,2,,,,,,[],"['3', '1', '5', '3']","['1', '0', '4', '1']",[],[],1.59
08.08.2024,Kielan S.,1,,,,,,"['3', '1']","['3', '4']",[],[],[],2.24
07.08.2024,Bulus C.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '5', '1']",[],[],[],2.62
07.08.2024,Heinonen A.,0,,,,,,[],[],[],[],[],1.45
02.08.2024,Parisca I.,2,,,,,,"['2', '0', '4', '2']","['3', '2', '5', '2', '6', '3']",[],[],[],1.86
02.08.2024,Bulus C.,0,,,,,,"['1', '2']","['3', '5']",[],[],[],1.86
01.08.2024,Bulus C.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['3', '1', '5', '3', '6', '4']",[],[],[],1.79
01.08.2024,Sevilla I.,0,,,,,,[],"['2', '3', '4', '5']",[],[],[],1.93
31.07.2024,Bulus C.,2,,,,,,"['1', '0', '4', '1']",[],"['1', '0', '2', '1', '4', '1']",[],[],1.45
31.07.2024,Loof T.,1,,,,,,[],"['6', '4']","['1', '1']",[],[],2.62
20.07.2024,Bulus C.,2,,,,,,"['1', '0', '5', '2', '6', '3']","['3', '1', '5', '1', '6', '2']",[],[],[],-
20.07.2024,Asaba A.,0,,,,,,"['3', '5']","['2', '5']",[],[],[],-
20.07.2024,Bulus C.,2,,,,,,"['2', '3', '4', '3', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],-
20.07.2024,Gandonou P.,0,,,,,,"['3', '1', '4', '4']",[],[],[],[],-
18.07.2024,Bulus C.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],-
18.07.2024,Coulibaly F.,0,,,,,,[],[],[],[],[],-
17.07.2024,van Schalkwyk C. H.,2,,,,,,[],[],"['1', '0', '4', '1', '6', '1']",[],[],-
17.07.2024,Bulus C.,1,,,,,,"['5', '3']",[],[],[],[],-
16.07.2024,Bulus C.,2,,,,,,"['3', '5']","['2', '1', '4', '1', '5', '2']","['1', '0', '2', '1', '4', '1', '6', '3']",[],[],3.72
16.07.2024,Lock B.,1,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '4']","['1', '1', '3', '5']",[],[],1.26
20.06.2024,Vithoontien L.,2,,,,,,"['4', '2', '6', '2']","['3', '3', '6', '4']",[],[],[],1.62
20.06.2024,Bulus C.,0,,,,,,[],"['1', '0']",[],[],[],2.20
19.06.2024,Bulus C.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['2', '0']",[],[],[],1.18
19.06.2024,Perera M.,0,,,,,,"['1', '4']",[],[],[],[],4.47
05.06.2024,Schachter N.,2,,,,,,"['1', '1', '2', '4', '4', '4']","['4', '5']","['2', '1', '3', '2', '5', '4']",[],[],1.84
05.06.2024,Bulus C.,1,,,,,,"['1', '0', '2', '1', '4', '1']","['3', '1', '6', '4']","['2', '2', '3', '3']",[],[],1.88
03.03.2024,Kozlov S.,2,,,,,,7,5,61%,91% (30/33),62% (13/21),100% (1/1),38% (21/55),45% (10/22),38% (3/8),80% (43/54),40% (31/77),56% (74/131),6,0,100% (10/10),30% (3/10),65% (13/20),"['1', '0', '4', '1']","['6', '5']",[],[],[],1.09
03.03.2024,Bulus C.,0,,,,,,3,1,71%,62% (34/55),55% (12/22),63% (5/8),9% (3/33),38% (8/21),0% (0/1),60% (46/77),20% (11/54),44% (57/131),4,2,70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],6.58
26.02.2024,Schachter N.,2,,,,,,7,5,62%,83% (35/42),62% (16/26),100% (3/3),28% (12/43),43% (13/30),17% (1/6),75% (51/68),34% (25/73),54% (76/141),6,0,100% (11/11),9% (1/11),55% (12/22),[],"['1', '0']",[],[],[],1.48
26.02.2024,Bulus C.,0,,,,,,2,1,59%,72% (31/43),57% (17/30),83% (5/6),17% (7/42),38% (10/26),0% (0/3),66% (48/73),25% (17/68),46% (65/141),4,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],2.56
25.02.2024,Bulus C.,2,,,,,,1,1,73%,74% (26/35),62% (8/13),100% (3/3),40% (10/25),75% (15/20),83% (5/6),71% (34/48),56% (25/45),63% (59/93),9,0,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0', '5', '0']","['2', '1', '5', '2']",[],[],[],1.01
25.02.2024,Muhire J.,0,,,,,,1,5,56%,60% (15/25),25% (5/20),17% (1/6),26% (9/35),38% (5/13),0% (0/3),44% (20/45),29% (14/48),37% (34/93),1,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],14.00
18.01.2024,Bernard A.,2,,,,,,"['1', '0', '4', '1', '6', '3']","['2', '0', '4', '2', '7', '5']",[],[],[],1.53
18.01.2024,Bulus C.,0,,,,,,"['3', '5']","['2', '3', '3', '4']",[],[],[],2.39
17.01.2024,Bulus C.,2,,,,,,"['2', '0', '4', '2']","['1', '0', '5', '2', '6', '3']",[],[],[],1.54
17.01.2024,Stakusic M.,0,,,,,,"['1', '2']","['3', '5']",[],[],[],2.36
05.10.2023,Draxl L.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '4', '1']",[],[],[],1.06
05.10.2023,Bulus C.,0,,,,,,"['1', '0']",[],[],[],[],7.60
04.10.2023,Bulus C.,2,,,,,,"['2', '0']","['2', '1']","['3', '2', '5', '2']",[],[],3.28
04.10.2023,Sinha A.,1,,,,,,"['1', '2']",[],[],[],[],1.30
13.09.2023,Clark E.,2,,,,,,"['1', '4', '3', '4', '5', '4']","['1', '0', '3', '0']",[],[],[],1.25
13.09.2023,Bulus C.,0,,,,,,"['2', '0', '4', '0']",[],[],[],[],3.64
