Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Simkiss L.,2,,,,,,"['1', '2']","['1', '1', '6', '4']","['2', '2', '4', '2']",[],[],1.65
15.11.2023,Van Emburgh J.,0,,,,,,[],[],[],[],[],1.97
26.10.2023,Jin J.,2,,,,,,"['2', '0']","['2', '2', '4', '2', '6', '4']","['3', '1']",[],[],1.86
26.10.2023,Murgett F.,1,,,,,,"['1', '2', '3', '2', '5', '2']","['2', '1', '3', '4']",[],[],[],1.85
25.10.2023,Halfinger R.,1,,,,,,[],"['1', '0', '2', '1', '4', '5']",[],[],[],2.95
25.10.2023,Murgett F.,1,,,,,,[],"['1', '1', '2', '2', '4', '2', '7', '5']",[],[],[],1.36
07.09.2023,Kaukovalta P.,2,,,,,,[],[],[],[],[],1.53
07.09.2023,Murgett F.,1,,,,,,[],[],[],[],[],2.38
06.09.2023,Murgett F.,2,,,,,,[],[],[],[],[],1.91
06.09.2023,Vales A.,0,,,,,,[],[],[],[],[],1.80
01.08.2023,Pinnington Jones J.,2,,,,,,"['1', '0', '3', '0', '5', '2', '6', '3']","['2', '0', '5', '3']",[],[],[],1.19
01.08.2023,Murgett F.,0,,,,,,"['1', '3', '3', '5']","['1', '2']",[],[],[],4.28
18.07.2023,Monday J.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['2', '0']",[],[],[],1.23
18.07.2023,Murgett F.,0,,,,,,"['1', '0']",[],[],[],[],3.81
03.08.2022,Schoolkate T.,2,,,,,,"['4', '5', '6', '5']","['1', '0', '5', '2']",[],[],[],1.35
03.08.2022,Murgett F.,0,,,,,,"['3', '1']",[],[],[],[],3.03
02.08.2022,Murgett F.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '0']",[],[],[],1.13
02.08.2022,Magimay K.,0,,,,,,"['2', '3']",[],[],[],[],5.85
12.07.2022,Schoolkate T.,2,,,,,,"['1', '0', '5', '4']","['5', '5']",[],[],[],1.24
12.07.2022,Murgett F.,1,,,,,,"['2', '2', '5', '5']","['5', '4']",[],[],[],3.94
25.09.2019,Carr S.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['2', '1', '4', '1']",[],[],[],1.05
25.09.2019,Murgett F.,0,,,,,,"['1', '1']",[],[],[],[],9.30
24.09.2019,Murgett F.,2,,,,,,"['3', '4', '6', '5']","['5', '4']",[],[],[],2.21
24.09.2019,Jones A.,0,,,,,,"['4', '2']",[],[],[],[],1.65
