Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.07.,Sweeny D.,2,,,,,,[],"['5', '3']","['2', '1', '5', '2']",[],[],2.08
19.03.,Smith K.,2,,,,,,"['2', '4', '3', '5', '5', '5', '7', '5']","['2', '2', '4', '2', '6', '2']",[],[],[],1.08
19.03.,Canter A.,0,,,,,,"['1', '0', '4', '1', '5', '2']","['1', '0']",[],[],[],6.40
11.03.,Skatov T.,2,,,,,,0,4,54%,81% (30/37),68% (21/31),100% (1/1),33% (17/51),50% (12/24),10% (1/10),75% (51/68),39% (29/75),56% (80/143),6,0,100% (11/11),10% (1/10),57% (12/21),[],"['5', '3']",[],[],[],1.27
11.03.,Smith K.,0,,,,,,7,1,68%,67% (34/51),50% (12/24),90% (9/10),19% (7/37),32% (10/31),0% (0/1),61% (46/75),25% (17/68),44% (63/143),4,2,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],3.54
10.03.,Smith K.,2,,,,,,6,3,76%,67% (30/45),57% (8/14),67% (2/3),42% (13/31),53% (10/19),44% (4/9),64% (38/59),46% (23/50),56% (61/109),8,0,89% (8/9),44% (4/9),67% (12/18),"['2', '0']","['1', '0', '4', '3', '6', '3']",[],[],[],1.39
10.03.,Jones M.,0,,,,,,3,4,62%,58% (18/31),47% (9/19),56% (5/9),33% (15/45),43% (6/14),33% (1/3),54% (27/50),36% (21/59),44% (48/109),2,0,56% (5/9),11% (1/9),33% (6/18),[],"['2', '2']",[],[],[],2.85
09.03.,Smith K.,2,,,,,,5,2,72%,71% (41/58),43% (10/23),63% (5/8),41% (15/37),47% (15/32),100% (4/4),63% (51/81),43% (30/69),54% (81/150),7,0,73% (8/11),40% (4/10),57% (12/21),"['1', '1', '2', '2', '4', '2']","['3', '4']",[],[],[],1.17
09.03.,Latinovic S.,0,,,,,,4,5,54%,59% (22/37),53% (17/32),0% (0/4),29% (17/58),57% (13/23),38% (3/8),57% (39/69),37% (30/81),46% (69/150),3,1,60% (6/10),27% (3/11),43% (9/21),"['1', '0', '2', '1']","['3', '1']",[],[],[],4.75
04.03.,Butvilas E.,2,,,,,,4,2,74%,81% (30/37),62% (8/13),100% (3/3),43% (21/49),56% (10/18),38% (3/8),76% (38/50),46% (31/67),59% (69/117),7,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '5', '1']","['4', '3']",[],[],[],1.32
04.03.,Smith K.,0,,,,,,1,3,73%,57% (28/49),44% (8/18),63% (5/8),19% (7/37),38% (5/13),0% (0/3),54% (36/67),24% (12/50),41% (48/117),3,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.20
03.03.,Smith K.,2,,,,,,3,2,76%,70% (43/61),53% (10/19),86% (6/7),29% (11/38),56% (15/27),38% (3/8),66% (53/80),40% (26/65),54% (79/145),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['1', '0']",[],[],[],2.53
03.03.,Gombos N.,0,,,,,,4,3,58%,71% (27/38),44% (12/27),63% (5/8),30% (18/61),47% (9/19),14% (1/7),60% (39/65),34% (27/80),46% (66/145),4,1,67% (6/9),10% (1/10),37% (7/19),[],"['3', '3']",[],[],[],1.48
02.03.,Smith K.,2,,,,,,1,3,75%,70% (39/56),47% (9/19),63% (5/8),39% (19/49),57% (20/35),75% (6/8),64% (48/75),46% (39/84),55% (87/159),7,0,77% (10/13),46% (6/13),62% (16/26),"['2', '0', '5', '1']","['1', '0']","['1', '2', '4', '3', '6', '3']",[],[],1.10
02.03.,Grevelius E.,1,,,,,,5,4,58%,61% (30/49),43% (15/35),25% (2/8),30% (17/56),53% (10/19),38% (3/8),54% (45/84),36% (27/75),45% (72/159),3,0,54% (7/13),23% (3/13),38% (10/26),[],"['4', '4', '6', '4']","['2', '0']",[],[],6.05
16.02.,Wiskandt M.,2,,,,,,6,2,57%,82% (28/34),58% (15/26),75% (3/4),35% (16/46),52% (12/23),38% (3/8),72% (43/60),41% (28/69),55% (71/129),8,0,90% (9/10),27% (3/11),57% (12/21),"['4', '2']","['4', '3', '6', '3']",[],[],[],1.70
16.02.,Smith K.,0,,,,,,3,1,67%,65% (30/46),48% (11/23),63% (5/8),18% (6/34),42% (11/26),25% (1/4),59% (41/69),28% (17/60),45% (58/129),2,0,73% (8/11),10% (1/10),43% (9/21),"['3', '4']",[],[],[],[],2.06
14.02.,Broady L.,2,,,,,,"['1', '0']","['3', '2']","['3', '3', '5', '5', '7', '5']",[],[],1.34
14.02.,Smith K.,1,,,,,,[],"['4', '4']","['1', '0', '5', '4']",[],[],3.04
13.02.,Smith K.,2,,,,,,[],[],"['4', '3', '6', '3']",[],[],2.66
13.02.,Bertola R.,1,,,,,,"['4', '3']",[],[],[],[],1.43
11.02.,Smith K.,2,,,,,,"['3', '1']","['3', '2']",[],[],[],2.32
11.02.,Story J.,0,,,,,,[],[],[],[],[],1.55
28.01.,Loffhagen G.,2,,,,,,"['4', '3', '6', '3']",[],"['2', '0', '4', '0', '6', '0']",[],[],1.29
28.01.,Smith K.,1,,,,,,[],"['3', '2']",[],[],[],3.32
21.01.,Jones B.,2,,,,,,[],"['7', '5']","['3', '1']",[],[],2.07
21.01.,Smith K.,1,,,,,,"['4', '2']",[],[],[],[],1.69
09.01.,Papamalamis T.,2,,,,,,"['3', '2', '4', '3']","['1', '0']",[],[],[],2.00
09.01.,Smith K.,0,,,,,,"['3', '3']",[],[],[],[],1.72
08.01.,Smith K.,2,,,,,,"['3', '3']","['3', '2']","['2', '2', '5', '3']",[],[],1.42
08.01.,Shick B.,1,,,,,,"['2', '1']","['4', '4']","['1', '0']",[],[],2.69
14.12.2024,Bertran P.,2,,,,,,"['2', '1', '4', '1']","['2', '1']",[],[],[],2.53
14.12.2024,Smith K.,0,,,,,,"['2', '4']",[],[],[],[],1.47
13.12.2024,Smith K.,2,,,,,,"['3', '4']","['5', '3']",[],[],[],1.53
13.12.2024,Ganesan A.,0,,,,,,"['4', '2']",[],[],[],[],2.37
12.12.2024,Smith K.,1,,,,,,"['2', '1', '4', '1']","['1', '0']",[],[],[],1.19
12.12.2024,Bianchi J. J.,0,,,,,,[],[],[],[],[],4.23
11.12.2024,Smith K.,2,,,,,,"['4', '2', '6', '2']",[],"['6', '5']",[],[],1.01
11.12.2024,Chayka A.,1,,,,,,[],[],[],[],[],11.50
07.12.2024,Draxl L.,2,,,,,,"['3', '2']","['2', '0', '6', '2']","['6', '4']",[],[],1.09
07.12.2024,Smith K.,1,,,,,,"['3', '3']",[],[],[],[],6.17
06.12.2024,Smith K.,2,,,,,,"['2', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.18
06.12.2024,Zhu E.,0,,,,,,[],[],[],[],[],4.43
