Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Todi (Italy),clay,header
08.05. 17:25,Blancaneaux G.,0,6^6,3,,,,3,4,43%,63% (19/30),56% (22/39),50% (3/6),36% (20/55),41% (11/27),22% (2/9),6,59% (41/69),38% (31/82),48% (72/151),3,70% (7/10),18% (2/11),43% (9/21),"['2', '4', '7']","['4', '5']",[],[],[],2.03
08.05. 17:25,Fonio G.,2,7^8,6,,,,1,1,67%,64% (35/55),59% (16/27),78% (7/9),37% (11/30),44% (17/39),50% (3/6),5,62% (51/82),41% (28/69),52% (79/151),3,82% (9/11),30% (3/10),57% (12/21),"['3', '4']",['3'],[],[],[],1.73
CHALLENGER MEN - SINGLES :  Rome (Italy),clay,header
23.04. 16:00,Blancaneaux G.,1,6,3,2,,,3,3,57%,64% (32/50),43% (16/37),55% (6/11),33% (19/58),56% (14/25),43% (3/7),8,55% (48/87),40% (33/83),48% (81/170),3,62% (8/13),23% (3/13),42% (11/26),['2'],['3'],"['1', '3', '5']",[],[],1.66
23.04. 16:00,Martineau M.,2,3,6,6,,,3,3,70%,67% (39/58),44% (11/25),57% (4/7),36% (18/50),57% (21/37),45% (5/11),6,60% (50/83),45% (39/87),52% (89/170),5,77% (10/13),38% (5/13),58% (15/26),"['2', '5']",[],['1'],[],[],2.16
CHALLENGER MEN - SINGLES :  Oeiras 3 (Portugal),clay,header
16.04. 14:40,Blancaneaux G.,1,3,6,3,,,1,4,80%,51% (38/74),58% (11/19),67% (12/18),38% (28/73),58% (15/26),31% (5/16),6,53% (49/93),43% (43/99),48% (92/192),3,54% (7/13),36% (5/14),44% (12/27),"['2', '4']",['1'],"['2', '3', '5']",[],[],1.72
16.04. 14:40,Agamenone F.,2,6,3,6,,,2,4,74%,62% (45/73),42% (11/26),69% (11/16),49% (36/74),42% (8/19),33% (6/18),7,57% (56/99),47% (44/93),52% (100/192),4,64% (9/14),46% (6/13),56% (15/27),['2'],"['2', '4']","['1', '3']",[],[],2.04
CHALLENGER MEN - SINGLES :  Sarasota (USA),clay,header
11.04. 19:40,Blancaneaux G.,0,3,5,,,,0,6,68%,56% (28/50),25% (6/24),40% (4/10),33% (12/36),55% (11/20),50% (3/6),6,46% (34/74),41% (23/56),44% (57/130),3,45% (5/11),30% (3/10),38% (8/21),"['1', '3', '6']","['1', '5', '7']",[],[],[],1.74
