Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W75 Ismaning (Germany),hard,header
ITF WOMEN - SINGLES :  W100 Les Franqueses del Valles (Spain),hard,header
ITF WOMEN - SINGLES :  W100 Shrewsbury (United Kingdom),hard,header
ITF WOMEN - SINGLES :  W100 Cornellà de Llobregat (Spain),hard,header
ITF WOMEN - SINGLES :  W75 Lisbon (Portugal),clay,header
WTA - SINGLES :  Monastir (Tunisia),hard,header
11.03. 19:40,Preston T.,1,6,3,5,,,0,5,67%,51% (32/63),45% (14/31),43% (6/14),36% (24/67),59% (33/56),27% (6/22),49% (46/94),46% (57/123),47% (103/217),2,0,50% (8/16),40% (6/15),45% (14/31),"['1', '1', '5', '3', '6', '4']","['3', '5']","['1', '0', '4', '3']",[],[],1.62
10.03. 20:30,Bassols M.,2,6,6,,,,1,2,49%,71% (17/24),36% (9/25),25% (1/4),54% (14/26),74% (26/35),53% (8/15),53% (26/49),66% (40/61),60% (66/110),6,0,57% (4/7),100% (8/8),80% (12/15),"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '1', '4', '1']",[],[],[],0
10.03. 20:30,Chang S.,0,1,2,,,,0,6,43%,46% (12/26),26% (9/35),47% (7/15),29% (7/24),64% (16/25),75% (3/4),34% (21/61),47% (23/49),40% (44/110),4,0,0% (0/8),43% (3/7),20% (3/15),"['1', '5']",[],[],[],[],0
WTA - SINGLES :  Indian Wells (USA) - Qualification,hard,header
04.03. 06:30,Bassols M.,0,4,4,,,,2,6,59%,62% (31/50),46% (16/35),76% (13/17),20% (6/30),48% (12/25),50% (2/4),55% (47/85),33% (18/55),46% (65/140),2,1,60% (6/10),20% (2/10),40% (8/20),"['2', '2', '3', '5']",[],[],[],[],2.56
04.03. 06:30,Montgomery R.,2,6,6,,,,6,5,55%,80% (24/30),52% (13/25),50% (2/4),38% (19/50),54% (19/35),24% (4/17),67% (37/55),45% (38/85),54% (75/140),8,0,80% (8/10),40% (4/10),60% (12/20),"['2', '1', '3', '2', '5', '2']","['5', '4']",[],[],[],1.48
ITF WOMEN - SINGLES :  W75 Porto (Portugal),hard,header
ITF WOMEN - SINGLES :  W75 Altenkirchen (Germany),hard,header
WTA - SINGLES :  Cluj-Napoca (Romania),hard,header
06.02. 21:40,Bassols M.,0,3,2,,,,1,2,44%,52% (11/21),52% (14/27),57% (4/7),18% (5/28),26% (6/23),0% (0/4),52% (25/48),22% (11/51),36% (36/99),4,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
06.02. 21:40,Cristian J.,2,6,6,,,,4,2,55%,82% (23/28),74% (17/23),100% (4/4),48% (10/21),48% (13/27),43% (3/7),78% (40/51),48% (23/48),64% (63/99),6,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['2', '1', '4', '1']",[],[],[],0
