Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
09.07.,Singh K.,2,,,,,,"['3', '6']","['3', '1', '6', '2']","['2', '0', '5', '3']",[],[],1.58
20.04.,Sharipov M.,2,,,,,,16,5,57%,80% (41/51),51% (20/39),50% (3/6),45% (22/49),47% (15/32),50% (6/12),68% (61/90),46% (37/81),57% (98/171),5,0,80% (12/15),46% (6/13),64% (18/28),"['2', '0', '5', '1']","['1', '0', '3', '4']","['1', '1', '3', '1']",[],[],1.19
20.04.,Jones H.,1,,,,,,4,3,60%,55% (27/49),53% (17/32),50% (6/12),20% (10/51),49% (19/39),50% (3/6),54% (44/81),32% (29/90),43% (73/171),5,1,54% (7/13),20% (3/15),36% (10/28),[],"['1', '1', '4', '2']","['1', '0']",[],[],4.41
28.03.,Donnet E.,2,,,,,,"['1', '0', '3', '0', '4', '1']","['1', '0', '5', '4']",[],[],[],1.29
28.03.,Jones H.,0,,,,,,"['1', '3']","['3', '3']",[],[],[],3.32
27.03.,Jones H.,2,,,,,,"['3', '1']",[],"['2', '0', '5', '1']",[],[],2.50
27.03.,Castelnuovo L.,1,,,,,,[],"['4', '2']",[],[],[],1.48
25.03.,Jones H.,2,,,,,,"['2', '0', '5', '3']","['3', '4']",[],[],[],1.32
25.03.,Chen K. S.,0,,,,,,"['1', '2']","['4', '2']",[],[],[],3.14
19.03.,Peliwo F.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.72
19.03.,Jones H.,0,,,,,,[],[],[],[],[],2.00
11.03.,Donnet E.,2,,,,,,"['5', '3']","['4', '3', '6', '3']",[],[],[],1.45
11.03.,Jones H.,0,,,,,,[],[],[],[],[],2.59
05.03.,Kukasian A.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '6', '2']",[],[],[],1.97
05.03.,Jones H.,0,,,,,,[],[],[],[],[],1.74
25.02.,Chanta T.,2,,,,,,"['4', '4']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],2.08
25.02.,Jones H.,0,,,,,,"['3', '2']","['1', '3']",[],[],[],1.69
11.02.,Hsu Y. H.,2,,,,,,"['2', '0', '4', '2']","['2', '1', '4', '1']",[],[],[],1.30
11.02.,Jones H.,0,,,,,,"['2', '3']",[],[],[],[],3.30
03.02.,Weber A.,2,,,,,,2,1,78%,69% (34/49),64% (9/14),80% (8/10),39% (14/36),75% (12/16),63% (5/8),68% (43/63),50% (26/52),60% (69/115),8,0,80% (8/10),56% (5/9),68% (13/19),"['2', '0', '5', '5', '7', '5']","['2', '0', '5', '1']",[],[],[],2.12
03.02.,Jones H.,0,,,,,,1,2,69%,61% (22/36),25% (4/16),38% (3/8),31% (15/49),36% (5/14),20% (2/10),50% (26/52),32% (20/63),40% (46/115),2,0,44% (4/9),20% (2/10),32% (6/19),"['1', '2', '3', '2']",[],[],[],[],1.67
02.02.,Jones H.,2,,,,,,5,0,54%,73% (30/41),60% (21/35),75% (3/4),47% (22/47),48% (12/25),57% (4/7),68% (55/81),45% (30/67),57% (85/148),8,0,92% (12/13),36% (4/11),67% (16/24),"['1', '0', '3', '0', '6', '1']",[],"['3', '1', '5', '1']",[],[],1.69
02.02.,Mochizuki Y.,1,,,,,,1,3,65%,53% (25/47),52% (13/25),43% (3/7),27% (11/41),40% (14/35),25% (1/4),55% (37/67),32% (26/81),43% (63/148),2,0,64% (7/11),8% (1/13),33% (8/24),[],"['5', '4']",[],[],[],2.09
27.01.,Hijikata R.,2,,,,,,5,2,56%,67% (33/49),62% (24/39),67% (4/6),36% (28/77),62% (29/47),26% (6/23),65% (57/88),46% (57/124),54% (114/212),8,0,86% (12/14),43% (6/14),64% (18/28),"['5', '5']","['2', '3', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],1.08
27.01.,Jones H.,1,,,,,,11,3,62%,64% (49/77),38% (18/47),74% (17/23),33% (16/49),38% (15/39),33% (2/6),54% (67/124),35% (31/88),46% (98/212),2,0,57% (8/14),14% (2/14),36% (10/28),"['5', '4']","['2', '0']",[],[],[],8.00
07.01.,Holmgren A.,2,,,,,,16,4,65%,85% (62/73),50% (20/40),75% (3/4),29% (27/93),35% (12/34),0% (0/9),58,36,58% (11/19),73% (82/113),31% (39/127),50% (121/240),4,1,94% (16/17),0% (0/17),47% (16/34),[],[],[],[],[],1.17
07.01.,Jones H.,1,,,,,,4,3,73%,71% (66/93),65% (22/34),100% (9/9),15% (11/73),50% (20/40),25% (1/4),36,27,74% (14/19),69% (88/127),27% (31/113),50% (119/240),6,1,100% (17/17),6% (1/17),53% (18/34),[],"['6', '4']",[],[],[],4.91
29.12.2024,Kasnikowski M.,2,,,,,,9,4,64%,80% (63/79),55% (24/44),80% (4/5),29% (24/82),38% (16/42),25% (1/4),71% (87/123),32% (40/124),51% (127/247),7,0,94% (17/18),6% (1/18),50% (18/36),"['3', '1']",[],[],[],[],1.12
29.12.2024,Jones H.,1,,,,,,12,5,66%,71% (58/82),62% (26/42),75% (3/4),20% (16/79),45% (20/44),20% (1/5),68% (84/124),29% (36/123),49% (120/247),3,2,94% (17/18),6% (1/18),50% (18/36),"['2', '3']",[],[],[],[],5.45
29.11.2024,Dellavedova M.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.25
29.11.2024,Jones H.,0,,,,,,[],"['2', '5']",[],[],[],3.62
28.11.2024,Jones H.,2,,,,,,"['2', '0', '7', '5']",[],"['3', '2']",[],[],1.51
28.11.2024,Court J.,1,,,,,,"['3', '4']",[],[],[],[],2.42
27.11.2024,Jones H.,2,,,,,,[],"['3', '2']",[],[],[],1.86
27.11.2024,Klintcharov A.,1,,,,,,"['4', '2', '6', '2']",[],[],[],[],1.84
22.11.2024,Jones H.,2,,,,,,"['4', '5', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.48
22.11.2024,Markovina D.,0,,,,,,"['5', '3']",[],[],[],[],2.50
21.11.2024,Jones H.,2,,,,,,"['2', '0', '3', '1']","['3', '2']",[],[],[],1.45
21.11.2024,Hewitt C.,0,,,,,,"['1', '2']","['5', '5']",[],[],[],2.63
13.11.2024,Langmo C.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.30
13.11.2024,Jones H.,0,,,,,,"['3', '3']",[],[],[],[],3.26
29.10.2024,Imamura M.,2,,,,,,2,0,55%,76% (25/33),63% (17/27),0% (0/1),39% (22/57),48% (14/29),30% (3/10),71% (42/59),41% (34/82),54% (76/141),7,0,90% (9/10),27% (3/11),57% (12/21),"['1', '0', '6', '3']","['3', '3']",[],[],[],1.20
29.10.2024,Jones H.,0,,,,,,4,4,66%,61% (35/57),52% (15/29),70% (7/10),24% (8/33),37% (10/27),100% (1/1),59% (48/82),29% (17/59),46% (65/141),3,1,73% (8/11),10% (1/10),43% (9/21),[],"['2', '1']",[],[],[],4.22
02.10.2024,Court J.,2,,,,,,"['3', '2']",[],"['5', '4']",[],[],3.04
02.10.2024,Jones H.,1,,,,,,[],"['4', '2', '6', '2']",[],[],[],1.34
01.09.2024,Mosejczuk D.,2,,,,,,"['3', '2', '4', '3', '6', '3']",[],[],[],[],-
01.09.2024,Jones H.,0,,,,,,"['3', '3']",[],[],[],[],-
