Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Giustino L.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '5', '2', '6', '3']",[],[],[],1.02
12.09.2024,Garcia Mestre J.,0,,,,,,[],[],[],[],[],6.90
11.09.2024,Garcia Mestre J.,2,,,,,,"['3', '4', '6', '5']","['1', '4', '3', '4', '4', '5', '6', '5']",[],[],[],1.35
11.09.2024,De Felipe Garcia S.,0,,,,,,"['4', '2']","['2', '0', '4', '0', '5', '3']",[],[],[],3.02
04.09.2024,Gonzalez Fernandez M.,2,,,,,,"['2', '1', '4', '3']","['1', '0']","['4', '2', '6', '2']",[],[],1.12
04.09.2024,Garcia Mestre J.,1,,,,,,"['2', '2']","['2', '2', '4', '2']",[],[],[],5.61
27.08.2024,Zusman R.,1,,,,,,"['2', '0']","['1', '0', '4', '5', '6', '5']","['1', '2', '3', '2', '5', '2']",[],[],2.88
27.08.2024,Garcia Mestre J.,1,,,,,,"['1', '2']","['3', '3', '5', '3']","['2', '0']",[],[],1.38
14.08.2024,Rejchtman Vinciguerra W.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '6', '2']",[],[],[],1.43
14.08.2024,Garcia Mestre J.,0,,,,,,[],[],[],[],[],2.68
03.04.2024,Alcala Gurri M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.08
03.04.2024,Garcia Mestre J.,0,,,,,,[],[],[],[],[],7.06
27.03.2024,Cesar Porras J.,2,,,,,,"['1', '1', '3', '1']","['2', '1', '4', '1']",[],[],[],1.06
27.03.2024,Garcia Mestre J.,0,,,,,,"['1', '0']",[],[],[],[],8.00
16.11.2023,Gaubas V.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1', '4', '4', '6', '4']",[],[],[],1.05
16.11.2023,Garcia Mestre J.,0,,,,,,[],"['1', '0', '3', '2']",[],[],[],8.40
15.11.2023,Garcia Mestre J.,2,,,,,,"['3', '3', '5', '3']","['2', '3', '4', '3']",[],[],[],6.49
15.11.2023,Echeverria J.,0,,,,,,"['3', '2', '4', '5']","['2', '0']",[],[],[],1.09
08.11.2023,Sanchez Quilez A.,2,,,,,,"['3', '2', '6', '3']","['3', '3', '5', '3']",[],[],[],1.01
08.11.2023,Garcia Mestre J.,0,,,,,,[],"['1', '0']",[],[],[],12.50
12.07.2023,Palan D.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['4', '2']",[],[],[],1.01
12.07.2023,Garcia Mestre J.,0,,,,,,[],[],[],[],[],11.70
05.04.2023,Genov A.,2,,,,,,"['2', '0', '3', '1', '5', '1', '6', '2']","['2', '2', '3', '3', '4', '4', '6', '4']",[],[],[],-
05.04.2023,Garcia Mestre J.,0,,,,,,"['1', '2', '2', '5']","['2', '1', '3', '2', '4', '3']",[],[],[],-
20.03.2023,Kawakami R.,2,,,,,,0,0,69%,80% (20/25),73% (8/11),0% (0/0),48% (12/25),74% (14/19),56% (5/9),78% (28/36),59% (26/44),68% (54/80),100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.07
20.03.2023,Garcia Mestre J.,0,,,,,,0,5,57%,52% (13/25),26% (5/19),44% (4/9),20% (5/25),27% (3/11),0% (0/0),41% (18/44),22% (8/36),33% (26/80),29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],7.70
30.08.2022,Curras Abasolo T.,2,,,,,,"['2', '1']","['2', '0', '4', '0']",[],[],[],-
30.08.2022,Garcia Mestre J.,0,,,,,,"['3', '3']","['2', '5']",[],[],[],-
03.08.2022,Carretero P.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.89
03.08.2022,Garcia Mestre J.,0,,,,,,"['2', '0']",[],[],[],[],1.83
08.06.2022,Alcala Gurri M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.06
08.06.2022,Garcia Mestre J.,0,,,,,,[],[],[],[],[],8.70
31.05.2022,Lokoli L.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.01
31.05.2022,Garcia Mestre J.,0,,,,,,[],[],[],[],[],14.00
06.04.2022,Regas Luis Ni.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['5', '5']",[],[],[],1.44
06.04.2022,Garcia Mestre J.,0,,,,,,[],"['3', '2']",[],[],[],2.50
