Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
06.05. 23:10,Siegemund L.,2,6,6,,,,0,4,72%,65% (28/43),47% (8/17),71% (5/7),52% (13/25),57% (20/35),63% (5/8),8,60% (36/60),55% (33/60),58% (69/120),3,78% (7/9),56% (5/9),67% (12/18),"['2', '1', '3', '2', '6', '3']","['3', '1', '5', '3']",[],[],[],1.06
06.05. 23:10,Ricci B.,0,3,3,,,,2,9,42%,48% (12/25),43% (15/35),38% (3/8),35% (15/43),53% (9/17),29% (2/7),4,45% (27/60),40% (24/60),43% (51/120),2,44% (4/9),22% (2/9),33% (6/18),"['2', '2']","['2', '3']",[],[],[],8.30
WTA - SINGLES :  Madrid (Spain),clay,header
24.04. 16:50,Siegemund L.,0,1,2,,,,1,2,78%,49% (19/39),45% (5/11),60% (6/10),29% (9/31),35% (7/20),0% (0/0),4,48% (24/50),31% (16/51),40% (40/101),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],1.70
24.04. 16:50,Vekic D.,2,6,6,,,,3,3,61%,71% (22/31),65% (13/20),0% (0/0),51% (20/39),55% (6/11),40% (4/10),7,69% (35/51),52% (26/50),60% (61/101),7,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '5', '1']","['1', '0', '3', '0']",[],[],[],2.17
WTA - SINGLES :  Madrid (Spain) - Qualification,clay,header
23.04. 22:00,Siegemund L.,2,6,6,,,,1,0,83%,76% (26/34),57% (4/7),0% (0/1),52% (16/31),65% (13/20),45% (5/11),7,73% (30/41),57% (29/51),64% (59/92),5,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],1.10
23.04. 22:00,Martinez Cirez C.,0,1,2,,,,0,2,61%,48% (15/31),35% (7/20),55% (6/11),24% (8/34),43% (3/7),100% (1/1),4,43% (22/51),27% (11/41),36% (33/92),1,29% (2/7),13% (1/8),20% (3/15),"['1', '4']",[],[],[],[],6.99
22.04. 21:35,Siegemund L.,2,4,6,6,,,0,1,83%,63% (38/60),58% (7/12),56% (5/9),47% (21/45),50% (19/38),54% (7/13),7,63% (45/72),48% (40/83),55% (85/155),5,69% (9/13),54% (7/13),62% (16/26),"['1', '0', '2', '1']","['1', '0', '5', '2']","['1', '0', '4', '1', '5', '2']",[],[],1.13
22.04. 21:35,Grant T. C.,1,6,2,2,,,0,4,54%,53% (24/45),50% (19/38),46% (6/13),37% (22/60),42% (5/12),44% (4/9),5,52% (43/83),38% (27/72),45% (70/155),2,46% (6/13),31% (4/13),38% (10/26),"['1', '1', '2', '2', '6', '4']",[],"['2', '4']",[],[],6.02
WTA - SINGLES :  Stuttgart (Germany),clay,header
17.04. 18:25,Siegemund L.,1,3,7^7,4,,,0,6,80%,52% (44/85),29% (6/21),50% (9/18),39% (34/87),71% (36/51),35% (7/20),10,47% (50/106),51% (70/138),49% (120/244),3,40% (6/15),44% (7/16),42% (13/31),"['1', '0']","['1', '1', '5', '5', '6', '6']","['1', '0', '2', '3', '3', '4']",[],[],2.17
17.04. 18:25,Kostyuk M.,2,6,6^4,6,,,0,15,63%,61% (53/87),29% (15/51),65% (13/20),48% (41/85),71% (15/21),50% (9/18),7,49% (68/138),53% (56/106),51% (124/244),4,56% (9/16),60% (9/15),58% (18/31),"['1', '1', '3', '1']","['1', '0', '3', '2', '6', '5']","['1', '1', '3', '1', '4', '2', '6', '4']",[],[],1.70
WTA - SINGLES :  Billie Jean King Cup - World Group (World) - Qualification,-,header
13.04. 03:20,Siegemund L.,2,6,6,,,,0,2,65%,63% (22/35),58% (11/19),50% (2/4),49% (18/37),76% (13/17),71% (5/7),10,11,8% (1/13),7,61% (33/54),57% (31/54),59% (64/108),6,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '3', '2', '5', '4']","['1', '0', '3', '0']",[],[],[],2.84
13.04. 03:20,Haddad Maia B.,0,4,2,,,,0,3,69%,51% (19/37),24% (4/17),29% (2/7),37% (13/35),42% (8/19),50% (2/4),11,34,0% (0/15),5,43% (23/54),39% (21/54),41% (44/108),2,44% (4/9),22% (2/9),33% (6/18),"['1', '1', '4', '4']",[],[],[],[],1.40
WTA - SINGLES :  Bogota (Colombia),clay,header
06.04. 04:05,Siegemund L.,1,6,2,5,,,0,1,68%,69% (45/65),47% (14/30),77% (10/13),31% (21/67),51% (19/37),25% (2/8),6,62% (59/95),38% (40/104),50% (99/199),3,79% (11/14),14% (2/14),46% (13/28),"['1', '0', '5', '2']",[],[],[],[],2.40
06.04. 04:05,Bouzkova M.,2,2,6,7,,,1,6,64%,69% (46/67),49% (18/37),75% (6/8),31% (20/65),53% (16/30),23% (3/13),6,62% (64/104),38% (36/95),50% (100/199),3,86% (12/14),21% (3/14),54% (15/28),[],"['3', '1', '6', '2']","['7', '5']",[],[],1.59
05.04. 08:15,Siegemund L.,2,6^4,6,6,,,0,4,72%,55% (36/65),48% (12/25),50% (6/12),45% (29/65),65% (28/43),50% (9/18),6,53% (48/90),53% (57/108),53% (105/198),5,60% (9/15),60% (9/15),60% (18/30),"['1', '1', '4', '4', '5', '5']","['2', '3', '3', '4', '5', '4']","['1', '0', '3', '2', '5', '2']",[],[],1.40
05.04. 08:15,Jones F.,1,7^7,4,2,,,0,7,60%,55% (36/65),35% (15/43),50% (9/18),45% (29/65),52% (13/25),50% (6/12),5,47% (51/108),47% (42/90),47% (93/198),3,40% (6/15),40% (6/15),40% (12/30),"['1', '0', '4', '3', '5', '4']","['3', '1', '4', '2']","['1', '1']",[],[],3.00
03.04. 04:35,Siegemund L.,2,7^7,7,,,,0,3,73%,56% (31/55),45% (9/20),40% (4/10),42% (19/45),65% (24/37),64% (7/11),8,53% (40/75),52% (43/82),53% (83/157),4,50% (6/12),58% (7/12),54% (13/24),"['1', '1', '4', '4', '5', '5']","['1', '0', '3', '0', '5', '2', '6', '5']",[],[],[],1.29
03.04. 04:35,Shymanovich I.,0,6^5,5,,,,0,5,55%,58% (26/45),35% (13/37),36% (4/11),44% (24/55),55% (11/20),60% (6/10),6,48% (39/82),47% (35/75),47% (74/157),3,42% (5/12),50% (6/12),46% (11/24),"['1', '0', '2', '1', '5', '4']","['1', '3', '3', '5', '5', '5']",[],[],[],3.74
WTA - SINGLES :  Miami (USA),hard,header
22.03. 02:15,Siegemund L.,0,6^3,4,,,,4,2,84%,58% (37/64),33% (4/12),56% (5/9),20% (8/40),56% (22/39),50% (3/6),7,54% (41/76),38% (30/80),46% (71/156),3,64% (7/11),27% (3/11),45% (10/22),"['1', '0', '4', '5']","['3', '3']",[],[],[],3.53
22.03. 02:15,Ostapenko J.,2,7^7,6,,,,3,8,51%,83% (33/40),44% (17/39),50% (3/6),42% (27/64),67% (8/12),44% (4/9),8,63% (50/80),46% (35/76),54% (85/156),5,73% (8/11),36% (4/11),55% (12/22),"['2', '2', '4', '2']","['2', '1', '5', '4']",[],[],[],1.31
19.03. 22:35,Siegemund L.,2,4,6,6,,,1,2,73%,58% (39/67),44% (11/25),55% (6/11),44% (29/66),76% (28/37),44% (8/18),9,54% (50/92),55% (57/103),55% (107/195),8,62% (8/13),62% (8/13),62% (16/26),"['2', '3', '4', '5']","['2', '1', '3', '2', '5', '2']","['1', '0', '3', '0', '5', '2']",[],[],1.21
19.03. 22:35,Krunic A.,1,6,2,2,,,3,3,64%,56% (37/66),24% (9/37),56% (10/18),42% (28/67),56% (14/25),45% (5/11),6,45% (46/103),46% (42/92),45% (88/195),3,38% (5/13),38% (5/13),38% (10/26),"['2', '0', '4', '2', '6', '4']","['2', '2']","['2', '4']",[],[],4.52
WTA - SINGLES :  Miami (USA) - Qualification,hard,header
18.03. 22:10,Siegemund L.,2,6,6,,,,0,1,79%,62% (26/42),73% (8/11),100% (2/2),48% (12/25),79% (11/14),71% (5/7),5,64% (34/53),59% (23/39),62% (57/92),6,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0', '5', '0']","['2', '1', '5', '2']",[],[],[],1.30
18.03. 22:10,Semenistaja D.,0,0,2,,,,0,0,64%,52% (13/25),21% (3/14),29% (2/7),38% (16/42),27% (3/11),0% (0/2),4,41% (16/39),36% (19/53),38% (35/92),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],3.37
