Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
29.01. 07:15,Kubler J.,1,3,7^8,6^3,,,15,6,54%,78% (45/58),47% (23/49),67% (6/9),26% (19/74),44% (16/36),29% (2/7),64% (68/107),32% (35/110),47% (103/217),3,5,81% (13/16),12% (2/17),45% (15/33),[],[],[],[],[],1.27
27.01. 11:15,Tomic B.,2,6,0,7^7,,,13,4,70%,75% (46/61),35% (9/26),63% (5/8),37% (22/60),40% (10/25),25% (2/8),63% (55/87),38% (32/85),51% (87/172),7,0,77% (10/13),17% (2/12),48% (12/25),[],[],[],[],[],1.68
27.01. 11:15,Broom C.,1,1,6,6^3,,,7,3,71%,63% (38/60),60% (15/25),75% (6/8),25% (15/61),65% (17/26),38% (3/8),62% (53/85),37% (32/87),49% (85/172),3,1,83% (10/12),23% (3/13),52% (13/25),[],[],[],[],[],2.11
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
07.01. 06:15,Tomic B.,0,3,1,,,,3,1,58%,62% (18/29),33% (7/21),33% (2/6),22% (7/32),31% (4/13),0% (0/0),7,19,100% (3/3),50% (25/50),24% (11/45),38% (36/95),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.70
07.01. 06:15,Kovalik J.,2,6,6,,,,6,2,71%,78% (25/32),69% (9/13),0% (0/0),38% (11/29),67% (14/21),67% (4/6),26,15,76% (13/17),76% (34/45),50% (25/50),62% (59/95),8,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],2.15
CHALLENGER MEN - SINGLES :  Noumea (New Caledonia),hard,header
30.12.2024,Tomic B.,0,4,1,,,,3,2,52%,73% (19/26),29% (7/24),43% (3/7),30% (14/47),56% (5/9),20% (1/5),52% (26/50),34% (19/56),42% (45/106),3,0,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],2.69
30.12.2024,Brouwer G.,2,6,6,,,,7,1,84%,70% (33/47),44% (4/9),80% (4/5),27% (7/26),71% (17/24),57% (4/7),66% (37/56),48% (24/50),58% (61/106),7,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],1.43
CHALLENGER MEN - SINGLES :  Sao Paulo 5 (Brazil),hard,header
21.11.2024,Tomic B.,1,4,6,4,,,10,5,55%,81% (39/48),48% (19/40),50% (3/6),22% (11/50),46% (12/26),67% (2/3),66% (58/88),30% (23/76),49% (81/164),2,0,80% (12/15),14% (2/14),48% (14/29),[],[],[],[],[],2.48
21.11.2024,Meligeni Alves F.,2,6,3,6,,,16,1,66%,78% (39/50),54% (14/26),33% (1/3),19% (9/48),53% (21/40),50% (3/6),70% (53/76),34% (30/88),51% (83/164),8,0,86% (12/14),20% (3/15),52% (15/29),[],[],[],[],[],1.50
19.11.2024,Tomic B.,2,6,6^2,6,,,14,5,53%,85% (35/41),44% (16/36),50% (2/4),43% (29/68),57% (20/35),44% (7/16),66% (51/77),48% (49/103),56% (100/180),8,0,85% (11/13),47% (7/15),64% (18/28),[],[],[],[],[],1.54
19.11.2024,Bueno G.,1,3,7^7,1,,,4,5,66%,57% (39/68),43% (15/35),56% (9/16),15% (6/41),56% (20/36),50% (2/4),52% (54/103),34% (26/77),44% (80/180),2,1,53% (8/15),15% (2/13),36% (10/28),[],[],[],[],[],2.38
CHALLENGER MEN - SINGLES :  Drummondville (Canada),hard,header
14.11.2024,Tomic B.,0,2,,,,,0,0,63%,65% (11/17),30% (3/10),33% (1/3),21% (4/19),57% (4/7),0% (0/0),52% (14/27),31% (8/26),42% (22/53),3,0,50% (2/4),0% (0/4),25% (2/8),[],[],[],[],[],1.62
14.11.2024,Ghibaudo A.,1,6,,,,,3,1,73%,79% (15/19),43% (3/7),0% (0/0),35% (6/17),70% (7/10),67% (2/3),69% (18/26),48% (13/27),58% (31/53),7,0,100% (4/4),50% (2/4),75% (6/8),[],[],[],[],[],2.21
13.11.2024,Tomic B.,2,6,3,6,,,2,3,54%,72% (33/46),49% (19/39),50% (3/6),33% (18/55),50% (19/38),21% (4/19),61% (52/85),40% (37/93),50% (89/178),7,0,79% (11/14),31% (4/13),56% (15/27),[],[],[],[],[],1.31
13.11.2024,Catry R.,1,3,6,3,,,8,6,59%,67% (37/55),50% (19/38),79% (15/19),28% (13/46),51% (20/39),50% (3/6),60% (56/93),39% (33/85),50% (89/178),3,1,69% (9/13),21% (3/14),44% (12/27),[],[],[],[],[],3.26
CHALLENGER MEN - SINGLES :  Knoxville (USA),hard,header
06.11.2024,Tomic B.,1,6,3,5,,,8,2,64%,71% (45/63),46% (16/35),73% (8/11),19% (8/42),37% (19/51),33% (2/6),62% (61/98),29% (27/93),46% (88/191),2,0,80% (12/15),13% (2/16),45% (14/31),[],[],[],[],[],1.67
06.11.2024,Clarke J.,2,4,6,7,,,11,1,45%,81% (34/42),63% (32/51),67% (4/6),29% (18/63),54% (19/35),27% (3/11),71% (66/93),38% (37/98),54% (103/191),8,0,88% (14/16),20% (3/15),55% (17/31),[],[],[],[],[],2.12
05.11.2024,Tomic B.,2,7,7,,,,8,1,65%,70% (42/60),55% (18/33),92% (11/12),27% (14/51),59% (13/22),38% (3/8),65% (60/93),37% (27/73),52% (87/166),7,0,92% (11/12),25% (3/12),58% (14/24),[],[],[],[],[],1.69
05.11.2024,Kodat T.,0,5,5,,,,5,3,70%,73% (37/51),41% (9/22),63% (5/8),30% (18/60),45% (15/33),8% (1/12),63% (46/73),35% (33/93),48% (79/166),3,0,75% (9/12),8% (1/12),42% (10/24),[],[],[],[],[],2.07
CHALLENGER MEN - SINGLES :  Charlottesville (USA),hard,header
29.10.2024,Tomic B.,0,3,0,,,,4,0,56%,52% (14/27),38% (8/21),33% (2/6),17% (5/30),41% (7/17),0% (0/7),46% (22/48),26% (12/47),36% (34/95),2,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.77
