Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
02.11.2024,Oliveira G.,2,7^7,6,,,,9,4,65%,90% (35/39),52% (11/21),100% (3/3),33% (18/54),61% (20/33),20% (3/15),77% (46/60),44% (38/87),57% (84/147),7,0,100% (9/9),30% (3/10),63% (12/19),[],"['1', '0', '4', '1', '6', '1']",[],[],[],1.99
02.11.2024,Rodriguez Taverna S.,0,6^3,1,,,,10,4,62%,67% (36/54),39% (13/33),80% (12/15),10% (4/39),48% (10/21),0% (0/3),56% (49/87),23% (14/60),43% (63/147),3,1,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.75
01.11.2024,Oliveira G.,2,6,6,,,,6,4,67%,79% (33/42),43% (9/21),75% (3/4),41% (14/34),50% (8/16),75% (3/4),67% (42/63),44% (22/50),57% (64/113),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '3', '6', '4']","['3', '1']",[],[],[],1.14
01.11.2024,Javia D.,0,4,3,,,,4,3,68%,59% (20/34),50% (8/16),25% (1/4),21% (9/42),57% (12/21),25% (1/4),56% (28/50),33% (21/63),43% (49/113),4,0,67% (6/9),10% (1/10),37% (7/19),"['1', '0']",[],[],[],[],5.13
30.10.2024,Oliveira G.,2,6,6,,,,5,0,64%,81% (22/27),73% (11/15),100% (2/2),39% (14/36),58% (14/24),40% (4/10),79% (33/42),47% (28/60),60% (61/102),6,0,100% (8/8),44% (4/9),71% (12/17),"['1', '0', '3', '0']","['2', '1', '6', '3']",[],[],[],1.02
30.10.2024,Brown P.,0,2,3,,,,7,6,60%,61% (22/36),42% (10/24),60% (6/10),19% (5/27),27% (4/15),0% (0/2),53% (32/60),21% (9/42),40% (41/102),4,2,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],11.30
28.10.2024,Oliveira G.,2,6,6,,,,3,2,64%,86% (18/21),58% (7/12),100% (1/1),50% (14/28),83% (19/23),40% (6/15),76% (25/33),65% (33/51),69% (58/84),8,0,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],0
28.10.2024,Bataljin L.,0,0,1,,,,1,4,55%,50% (14/28),17% (4/23),60% (9/15),14% (3/21),42% (5/12),0% (0/1),35% (18/51),24% (8/33),31% (26/84),2,0,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],14.00
CHALLENGER MEN - SINGLES :  Taipei 2 (Taiwan),hard,header
24.10.2024,Oliveira G.,1,7^7,6^6,4,,,7,6,55%,71% (55/78),48% (30/63),77% (10/13),29% (23/79),48% (21/44),67% (2/3),60% (85/141),36% (44/123),49% (129/264),3,1,82% (14/17),12% (2/17),47% (16/34),[],"['3', '3']","['3', '2']",[],[],2.53
