Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.07.,Novakovic N.,2,,,,,,"['3', '2']",[],"['1', '0', '6', '5']",[],[],3.46
04.05.,Nunez D. A.,0,,,,,,2,2,60%,61% (22/36),33% (8/24),33% (2/6),28% (11/40),56% (9/16),100% (2/2),50% (30/60),36% (20/56),43% (50/116),4,0,56% (5/9),20% (2/10),37% (7/19),"['2', '1', '4', '3']",[],[],[],[],2.36
01.04.,Bueno G.,2,,,,,,0,7,54%,61% (31/51),51% (22/43),69% (11/16),38% (18/47),68% (32/47),47% (8/17),56% (53/94),53% (50/94),55% (103/188),8,0,62% (8/13),57% (8/14),59% (16/27),"['2', '1', '3', '2', '5', '2']","['2', '3', '3', '4']","['1', '0', '4', '3', '6', '3']",[],[],1.11
01.04.,Nunez D. A.,1,,,,,,0,8,50%,62% (29/47),32% (15/47),53% (9/17),39% (20/51),49% (21/43),31% (5/16),47% (44/94),44% (41/94),45% (85/188),2,0,43% (6/14),38% (5/13),41% (11/27),"['2', '2']","['3', '1', '4', '2', '6', '4']","['2', '2']",[],[],5.70
31.03.,Nunez D. A.,2,,,,,,3,4,43%,72% (18/25),55% (18/33),50% (2/4),48% (16/33),67% (14/21),67% (6/9),62% (36/58),56% (30/54),59% (66/112),8,0,78% (7/9),67% (6/9),72% (13/18),"['2', '0', '4', '0', '6', '0']","['4', '2', '5', '5', '7', '5']",[],[],[],3.38
31.03.,Schiessl J. E.,0,,,,,,0,2,61%,52% (17/33),33% (7/21),33% (3/9),28% (7/25),45% (15/33),50% (2/4),44% (24/54),38% (22/58),41% (46/112),2,0,33% (3/9),22% (2/9),28% (5/18),[],"['3', '4', '5', '4']",[],[],[],1.30
30.03.,Nunez D. A.,2,,,,,,3,2,45%,68% (13/19),61% (14/23),50% (2/4),50% (12/24),64% (21/33),55% (6/11),64% (27/42),58% (33/57),61% (60/99),8,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.32
30.03.,Carou I.,0,,,,,,4,10,42%,50% (12/24),36% (12/33),45% (5/11),32% (6/19),39% (9/23),50% (2/4),42% (24/57),36% (15/42),39% (39/99),2,0,25% (2/8),25% (2/8),25% (4/16),"['2', '5']","['2', '1']",[],[],[],3.20
23.03.,Boscardin Dias P.,2,,,,,,3,1,63%,82% (27/33),63% (12/19),100% (4/4),42% (14/33),50% (7/14),75% (3/4),75% (39/52),45% (21/47),61% (60/99),9,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['5', '4']",[],[],[],1.15
23.03.,Nunez D. A.,0,,,,,,1,1,70%,58% (19/33),50% (7/14),25% (1/4),18% (6/33),37% (7/19),0% (0/4),55% (26/47),25% (13/52),39% (39/99),1,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],4.94
10.03.,Justo G. I.,2,,,,,,4,4,53%,72% (21/29),65% (17/26),100% (2/2),43% (13/30),62% (16/26),36% (4/11),69% (38/55),52% (29/56),60% (67/111),7,0,100% (8/8),50% (4/8),75% (12/16),"['5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.23
10.03.,Nunez D. A.,0,,,,,,0,4,54%,57% (17/30),38% (10/26),64% (7/11),28% (8/29),35% (9/26),0% (0/2),48% (27/56),31% (17/55),40% (44/111),3,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.90
09.03.,Nunez D. A.,2,,,,,,8,4,62%,68% (46/68),52% (22/42),70% (7/10),37% (22/60),45% (19/42),40% (4/10),62% (68/110),40% (41/102),51% (109/212),7,0,81% (13/16),25% (4/16),53% (17/32),"['4', '4']","['4', '2', '7', '5']","['6', '4']",[],[],2.48
09.03.,Pereira J.,1,,,,,,4,6,59%,63% (38/60),55% (23/42),60% (6/10),32% (22/68),48% (20/42),30% (3/10),60% (61/102),38% (42/110),49% (103/212),3,0,75% (12/16),19% (3/16),47% (15/32),"['3', '2', '5', '4']","['3', '4']",[],[],[],1.50
22.01.,Casanova H.,1,,,,,,"['1', '0', '4', '3']","['1', '0']",[],[],[],-
22.01.,Nunez D. A.,0,,,,,,"['1', '1']",[],[],[],[],-
18.01.,Casanova H.,2,,,,,,"['2', '2', '4', '4']","['3', '3', '5', '3']","['1', '0', '5', '2']",[],[],1.13
18.01.,Nunez D. A.,1,,,,,,"['2', '1', '4', '3', '6', '5']","['3', '2']","['3', '5']",[],[],5.00
17.01.,Nunez D. A.,2,,,,,,[],"['5', '3']","['1', '0', '3', '0']",[],[],4.57
17.01.,Rodriguez L. J.,1,,,,,,"['6', '5']",[],"['1', '3']",[],[],1.17
16.01.,Nunez D. A.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.22
16.01.,Cabrera M. A.,0,,,,,,[],[],[],[],[],3.91
15.01.,Nunez D. A.,2,,,,,,"['3', '1', '6', '4']","['2', '0', '4', '0']",[],[],[],1.14
15.01.,Linde Palacios S. A.,0,,,,,,"['3', '4']",[],[],[],[],4.90
03.12.2024,Leite W.,2,,,,,,"['2', '0', '4', '2']","['1', '2', '4', '3']",[],[],[],1.66
03.12.2024,Nunez D. A.,0,,,,,,"['1', '2']","['2', '0']",[],[],[],2.11
28.11.2024,Li C.,2,,,,,,"['2', '3']","['6', '4']","['2', '0', '3', '1', '5', '1', '6', '4']",[],[],1.90
28.11.2024,Nunez D. A.,1,,,,,,"['3', '1', '4', '2']",[],"['1', '2', '2', '5', '4', '5']",[],[],1.80
27.11.2024,Nunez D. A.,2,,,,,,"['7', '5']",[],"['2', '0', '5', '1']",[],[],1.10
27.11.2024,Valente R.,1,,,,,,[],"['3', '2', '5', '2']",[],[],[],6.07
26.11.2024,Nunez D. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '2', '4', '2', '6', '2']",[],[],[],1.14
26.11.2024,De Dios F.,0,,,,,,[],"['1', '0']",[],[],[],5.10
17.11.2024,Ambrogi L. E.,2,,,,,,4,1,60%,87% (27/31),57% (12/21),100% (1/1),39% (12/31),55% (11/20),50% (3/6),75% (39/52),45% (23/51),60% (62/103),7,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['2', '1', '5', '2']",[],[],[],1.40
17.11.2024,Nunez D. A.,0,,,,,,0,3,61%,61% (19/31),45% (9/20),50% (3/6),13% (4/31),43% (9/21),0% (0/1),55% (28/51),25% (13/52),40% (41/103),3,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.81
15.11.2024,Ribeiro E.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '6', '2']",[],[],[],1.26
15.11.2024,Nunez D. A.,0,,,,,,[],[],[],[],[],3.54
14.11.2024,Nunez D. A.,2,,,,,,"['5', '4']","['2', '1', '3', '2', '4', '3']",[],[],[],1.14
14.11.2024,Wendler Filho J.,0,,,,,,[],"['2', '2', '3', '3']",[],[],[],5.00
13.11.2024,Nunez D. A.,2,,,,,,"['2', '1']","['1', '2', '3', '2', '4', '3', '6', '5']",[],[],[],1.44
13.11.2024,Yamacita F.,0,,,,,,[],"['2', '0', '3', '3', '4', '4']",[],[],[],2.62
07.11.2024,Soto M.,2,,,,,,"['3', '2', '5', '4']","['3', '4', '5', '4']",[],[],[],1.13
07.11.2024,Nunez D. A.,0,,,,,,"['4', '4']","['3', '1']",[],[],[],5.31
05.11.2024,Nunez D. A.,2,,,,,,"['1', '2']",[],"['5', '4']",[],[],1.92
05.11.2024,Cavallo F.,1,,,,,,"['2', '0']",[],[],[],[],1.78
