Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.07.,Agamenone F.,2,,,,,,"['1', '2', '5', '4']","['2', '0', '3', '1', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],1.13
27.03.,Ghazouani Durand Y.,1,,,,,,"['4', '3']","['2', '0', '4', '0']","['3', '4']",[],[],1.39
26.03.,Freire Da Silva A.,2,,,,,,[],"['2', '2', '5', '5']","['1', '0', '4', '3', '6', '5']",[],[],3.09
26.03.,Vandermeersch C.,1,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '3']","['3', '3', '5', '5']",[],[],1.33
13.03.,Vylegzhanin N.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.23
13.03.,Freire Da Silva A.,0,,,,,,"['2', '4', '3', '5']",[],[],[],[],3.79
11.03.,Freire Da Silva A.,2,,,,,,"['1', '1', '3', '1', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.11
11.03.,Larue L.,0,,,,,,"['1', '0', '3', '4']",[],[],[],[],5.45
06.03.,Stewart H.,2,,,,,,"['3', '2', '5', '2']",[],[],[],[],1.16
06.03.,Freire Da Silva A.,0,,,,,,[],[],[],[],[],4.67
18.02.,Berkieta T.,2,,,,,,"['4', '5']","['7', '5']","['3', '1', '5', '1']",[],[],2.18
18.02.,Freire Da Silva A.,1,,,,,,"['5', '3']",[],[],[],[],1.62
24.01.,Marionneau L.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '5', '2']",[],[],[],2.42
24.01.,Freire Da Silva A.,0,,,,,,[],[],[],[],[],1.51
23.01.,Freire Da Silva A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.32
23.01.,Vaksmann R.,0,,,,,,[],[],[],[],[],3.14
21.01.,Freire Da Silva A.,2,,,,,,"['4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],-
21.01.,Pierre H.,0,,,,,,[],[],[],[],[],-
30.11.2024,Radulov I.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '3', '2']",[],[],[],1.26
30.11.2024,Freire Da Silva A.,0,,,,,,[],"['2', '2']",[],[],[],3.54
29.11.2024,Freire Da Silva A.,2,,,,,,"['1', '1']","['5', '3', '6', '4']","['3', '1', '5', '3']",[],[],3.09
29.11.2024,Perez Contri S.,1,,,,,,"['1', '0', '2', '1', '5', '2']","['4', '5']","['3', '4']",[],[],1.33
28.11.2024,Freire Da Silva A.,2,,,,,,"['2', '0']","['1', '0']","['3', '2', '6', '5']",[],[],2.24
28.11.2024,Pascual Ferra R.,1,,,,,,[],"['2', '2', '6', '4']","['5', '5']",[],[],1.59
27.11.2024,Freire Da Silva A.,2,,,,,,"['2', '2', '6', '4']","['3', '1', '5', '1']",[],[],[],1.16
27.11.2024,Puig McCallan K.,0,,,,,,"['1', '0']",[],[],[],[],4.62
19.11.2024,Onclin G.,2,,,,,,"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.08
19.11.2024,Freire Da Silva A.,0,,,,,,[],[],[],[],[],6.77
24.10.2024,Paris T.,2,,,,,,[],"['4', '3']",[],[],[],1.22
24.10.2024,Freire Da Silva A.,0,,,,,,[],[],[],[],[],3.91
23.10.2024,Freire Da Silva A.,1,,,,,,"['2', '0']",[],[],[],[],6.88
23.10.2024,Rosenkranz M.,0,,,,,,[],[],[],[],[],1.08
17.10.2024,Gobat A.,2,,,,,,"['5', '3']",[],[],[],[],1.19
17.10.2024,Freire Da Silva A.,0,,,,,,[],[],[],[],[],4.24
16.10.2024,Freire Da Silva A.,2,,,,,,"['3', '2', '6', '5']",[],"['2', '0', '4', '0']",[],[],2.16
16.10.2024,Pietri B.,1,,,,,,"['4', '4']","['2', '0']",[],[],[],1.63
03.09.2024,Garcian A.,2,,,,,,"['2', '1', '4', '3']","['6', '4']",[],[],[],-
03.09.2024,Freire Da Silva A.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],-
